Ticker,Holding name,% of market value,Sector,Region,Market value,Shares,yticker
NVDA,NVIDIA Corp,4.3361%,Technology,US,"US$2,255,730,834.00","12,744,242",NVDA
AAPL,Apple Inc,4.2542%,Technology,US,"US$2,213,148,237.30","7,936,698",AAPL
MSFT,Microsoft Corp,3.8181%,Technology,US,"US$1,986,285,698.84","4,037,084",MSFT
AMZN,Amazon.com Inc,2.3416%,Consumer Discretionary,US,"US$1,218,169,163.64","5,223,262",AMZN
GOOGL,Alphabet Inc,1.9504%,Technology,US,"US$1,014,636,332.08","3,168,956",GOOGL
AVGO,Broadcom Inc,1.9486%,Technology,US,"US$1,013,731,710.48","2,515,713",AVGO
GOOG,Alphabet Inc,1.5837%,Technology,US,"US$823,894,444.60","2,573,705",GOOG
META,Meta Platforms Inc,1.481%,Technology,US,"US$770,430,692.60","1,189,028",META
TSLA,Tesla Inc,1.2667%,Consumer Discretionary,US,"US$658,978,283.34","1,531,902",TSLA
2330,Taiwan Semiconductor Manufacturing Co Ltd,1.1681%,Technology,TW,"US$607,658,435.56","13,244,000",2330.TW
JPM,JPMorgan Chase & Co,0.9081%,Financials,US,"US$472,403,907.36","1,508,892",JPM
LLY,Eli Lilly & Co,0.9026%,Health Care,US,"US$469,562,032.17","436,611",LLY
BRK/B,Berkshire Hathaway Inc,0.7531%,Financials,US,"US$391,793,484.06","762,526",BRKU
V,Visa Inc,0.5967%,Industrials,US,"US$310,410,820.44","928,151",V
XOM,Exxon Mobil Corp,0.5235%,Energy,US,"US$272,356,706.16","2,349,523",XOM
JNJ,Johnson & Johnson,0.5208%,Health Care,US,"US$270,946,427.92","1,309,426",JNJ
700,Tencent Holdings Ltd,0.5114%,Technology,HK,"US$266,045,070.00","3,387,278",7004.KL
WMT,Walmart Inc,0.5018%,Consumer Discretionary,US,"US$261,062,303.91","2,362,341",WMT
NFLX,Netflix Inc,0.4768%,Consumer Discretionary,US,"US$248,054,521.44","2,305,768",NFLX
