This file was downloaded on 13 Jan 2026;;;;;;
;;;;;;
Holdings details;;;;;;
Vanguard FTSE All-World UCITS ETF (USD) Distributing;;;;;;
As at 30 Nov 2025;;;;;;
;;;;;;
Ticker;Holding name;% of market value;Sector;Region;Market value;Shares
NVDA;NVIDIA Corp;4.3361%;Technology;US;US$2,255,730,834.00;12,744,242
AAPL;Apple Inc;4.2542%;Technology;US;US$2,213,148,237.30;7,936,698
MSFT;Microsoft Corp;3.8181%;Technology;US;US$1,986,285,698.84;4,037,084
AMZN;Amazon.com Inc;2.3416%;Consumer Discretionary;US;US$1,218,169,163.64;5,223,262
GOOGL;Alphabet Inc;1.9504%;Technology;US;US$1,014,636,332.08;3,168,956
AVGO;Broadcom Inc;1.9486%;Technology;US;US$1,013,731,710.48;2,515,713
GOOG;Alphabet Inc;1.5837%;Technology;US;US$823,894,444.60;2,573,705
META;Meta Platforms Inc;1.481%;Technology;US;US$770,430,692.60;1,189,028
TSLA;Tesla Inc;1.2667%;Consumer Discretionary;US;US$658,978,283.34;1,531,902
2330;Taiwan Semiconductor Manufacturing Co Ltd;1.1681%;Technology;TW;US$607,658,435.56;13,244,000
JPM;JPMorgan Chase & Co;0.9081%;Financials;US;US$472,403,907.36;1,508,892
LLY;Eli Lilly & Co;0.9026%;Health Care;US;US$469,562,032.17;436,611
BRK/B;Berkshire Hathaway Inc;0.7531%;Financials;US;US$391,793,484.06;762,526
V;Visa Inc;0.5967%;Industrials;US;US$310,410,820.44;928,151
XOM;Exxon Mobil Corp;0.5235%;Energy;US;US$272,356,706.16;2,349,523
JNJ;Johnson & Johnson;0.5208%;Health Care;US;US$270,946,427.92;1,309,426
700;Tencent Holdings Ltd;0.5114%;Technology;HK;US$266,045,070.00;3,387,278
WMT;Walmart Inc;0.5018%;Consumer Discretionary;US;US$261,062,303.91;2,362,341
NFLX;Netflix Inc;0.4768%;Consumer Discretionary;US;US$248,054,521.44;2,305,768
MA;Mastercard Inc;0.467%;Industrials;US;US$242,963,202.78;441,326
ASML;ASML Holding NV;0.4321%;Technology;NL;US$224,781,525.01;214,396
COST;Costco Wholesale Corp;0.4239%;Consumer Discretionary;US;US$220,503,168.81;241,359
ABBV;AbbVie Inc;0.4215%;Health Care;US;US$219,260,527.20;962,936
PLTR;Palantir Technologies Inc;0.3861%;Technology;US;US$200,865,844.20;1,192,436
BAC;Bank of America Corp;0.3772%;Financials;US;US$196,246,656.90;3,657,906
HD;Home Depot Inc/The;0.37%;Consumer Discretionary;US;US$192,506,229.68;539,354
AMD;Advanced Micro Devices Inc;0.3661%;Technology;US;US$190,460,566.80;875,560
9988;Alibaba Group Holding Ltd;0.3643%;Consumer Discretionary;HK;US$189,511,991.37;9,739,040
PG;Procter & Gamble Co/The;0.3621%;Consumer Staples;US;US$188,348,103.68;1,271,248
ORCL;Oracle Corp;0.3505%;Technology;US;US$182,359,234.40;902,992
005930;Samsung Electronics Co Ltd;0.3383%;Telecommunications;KR;US$175,974,738.04;2,575,097
GE;General Electric Co;0.3273%;Industrials;US;US$170,275,275.40;570,532
CSCO;Cisco Systems Inc;0.319%;Telecommunications;US;US$165,946,577.14;2,156,831
UNH;UnitedHealth Group Inc;0.3136%;Health Care;US;US$163,127,655.67;494,671
CVX;Chevron Corp;0.302%;Energy;US;US$157,102,204.21;1,039,517
IBM;International Business Machines Corp;0.2996%;Technology;US;US$155,850,489.06;505,057
KO;Coca-Cola Co/The;0.2964%;Consumer Staples;US;US$154,197,576.48;2,108,829
AZN;AstraZeneca PLC;0.291%;Health Care;GB;US$151,395,723.92;817,668
WFC;Wells Fargo & Co;0.291%;Financials;US;US$151,381,966.35;1,763,331
ROG;Roche Holding AG;0.2783%;Health Care;CH;US$144,759,577.56;378,122
