This file was downloaded on 13 Jan 2026;;;;;;
;;;;;;
Holdings details;;;;;;
Vanguard S&P 500 UCITS ETF (USD) Distributing;;;;;;
As at 30 Nov 2025;;;;;;
;;;;;;
Ticker;Holding name;% of market value;Sector;Region;Market value;Shares
NVDA;NVIDIA Corp;7.3261%;Information Technology;US;US$5,834,140,542.00;32,961,246
AAPL;Apple Inc;7.0198%;Information Technology;US;US$5,590,220,278.50;20,047,410
MSFT;Microsoft Corp;6.2038%;Information Technology;US;US$4,940,381,144.21;10,041,221
AMZN;Amazon.com Inc;3.8395%;Consumer Discretionary;US;US$3,057,587,664.30;13,110,315
AVGO;Broadcom Inc;3.2151%;Information Technology;US;US$2,560,315,159.20;6,353,770
GOOGL;Alphabet Inc;3.1595%;Communication Services;US;US$2,516,025,668.80;7,858,160
GOOG;Alphabet Inc;2.5358%;Communication Services;US;US$2,019,365,618.24;6,308,152
META;Meta Platforms Inc;2.384%;Communication Services;US;US$1,898,485,724.60;2,929,988
TSLA;Tesla Inc;2.0477%;Consumer Discretionary;US;US$1,630,665,636.99;3,790,747
BRK/B;Berkshire Hathaway Inc;1.5983%;Financials;US;US$1,272,794,717.70;2,477,170
JPM;JPMorgan Chase & Co;1.4604%;Financials;US;US$1,162,954,131.72;3,714,559
LLY;Eli Lilly & Co;1.4504%;Health Care;US;US$1,155,037,572.48;1,073,984
V;Visa Inc;0.9637%;Financials;US;US$767,450,170.08;2,294,732
JNJ;Johnson & Johnson;0.8453%;Health Care;US;US$673,184,009.68;3,253,354
XOM;Exxon Mobil Corp;0.8383%;Energy;US;US$667,578,759.12;5,758,961
WMT;Walmart Inc;0.8228%;Consumer Staples;US;US$655,234,897.41;5,929,191
NFLX;Netflix Inc;0.7755%;Communication Services;US;US$617,550,725.88;5,740,386
MA;Mastercard Inc;0.771%;Financials;US;US$613,964,819.25;1,115,225
COST;Costco Wholesale Corp;0.6873%;Consumer Staples;US;US$547,308,015.66;599,074
ABBV;AbbVie Inc;0.6823%;Health Care;US;US$543,383,507.70;2,386,401
PLTR;Palantir Technologies Inc;0.6499%;Information Technology;US;US$517,521,691.65;3,072,257
BAC;Bank of America Corp;0.6202%;Financials;US;US$493,872,714.40;9,205,456
HD;Home Depot Inc/The;0.6024%;Consumer Discretionary;US;US$479,718,326.00;1,344,050
AMD;Advanced Micro Devices Inc;0.5988%;Information Technology;US;US$476,877,532.14;2,192,238
PG;Procter & Gamble Co/The;0.5887%;Consumer Staples;US;US$468,786,388.80;3,164,055
ORCL;Oracle Corp;0.5677%;Information Technology;US;US$452,104,859.15;2,238,697
GE;General Electric Co;0.5369%;Industrials;US;US$427,541,264.55;1,432,539
CSCO;Cisco Systems Inc;0.5168%;Information Technology;US;US$411,574,603.42;5,349,293
UNH;UnitedHealth Group Inc;0.5066%;Health Care;US;US$403,465,350.75;1,223,475
CVX;Chevron Corp;0.4934%;Energy;US;US$392,897,043.77;2,599,729
