Holdings details

Total World Stock ETF (VT)


Equity,as of 11/30/2025

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2379504,NVIDIA Corp,NVDA,3.96%,Semiconductors,US,---,"$2,995,429,941.00","16,923,333"
,2046251,Apple Inc,AAPL,3.89%,"Technology Hardware, Storage & Peripherals",US,---,"$2,939,283,954.75","10,540,735"
,2588173,Microsoft Corp,MSFT,3.49%,Systems Software,US,---,"$2,638,302,270.94","5,362,294"
,2000019,Amazon.com Inc,AMZN,2.14%,Broadline Retail,US,---,"$1,617,206,484.66","6,934,253"
,BYVY8G0,Alphabet Inc,GOOGL,1.79%,Interactive Media & Services,US,---,"$1,349,556,458.74","4,214,993"
,BDZ78H9,Broadcom Inc,AVGO,1.78%,Semiconductors,US,---,"$1,345,327,091.52","3,338,612"
,BYY88Y7,Alphabet Inc,GOOG,1.44%,Interactive Media & Services,US,---,"$1,091,082,922.72","3,408,356"
,B7TL820,Meta Platforms Inc,META,1.35%,Interactive Media & Services,US,---,"$1,022,643,286.25","1,578,275"
,B616C79,Tesla Inc,TSLA,1.16%,Automobile Manufacturers,US,---,"$874,764,460.44","2,033,532"
,6889106,Taiwan Semiconductor Manufacturing Co Ltd,2330,1.07%,Semiconductors,TW,---,"$804,972,245.98","17,459,020"
,2190385,JPMorgan Chase & Co,JPM,0.83%,Diversified Banks,US,---,"$628,865,011.20","2,008,640"
,2516152,Eli Lilly & Co,LLY,0.82%,Pharmaceuticals,US,---,"$622,827,261.87","579,121"
,2073390,Berkshire Hathaway Inc,BRK/B,0.78%,Multi-Sector Holdings,US,---,"$589,277,898.99","1,146,879"
,B2PZN04,Visa Inc,V,0.54%,Transaction & Payment Processing Services,US,---,"$411,063,213.96","1,229,109"
,2326618,Exxon Mobil Corp,XOM,0.48%,Integrated Oil & Gas,US,---,"$362,624,653.44","3,128,232"
,2475833,Johnson & Johnson,JNJ,0.48%,Pharmaceuticals,US,---,"$359,708,279.56","1,738,393"
,BMMV2K8,Tencent Holdings Ltd,700,0.47%,Interactive Media & Services,HK,---,"$354,185,166.27","4,482,702"
,2936921,Walmart Inc,WMT,0.46%,Consumer Staples Merchandise Retail,US,---,"$347,207,390.64","3,141,864"
,2857817,Netflix Inc,NFLX,0.44%,Movies & Entertainment,US,---,"$329,556,699.12","3,063,364"
,B121557,Mastercard Inc,MA,0.43%,Transaction & Payment Processing Services,US,---,"$322,876,485.99","586,483"
,B929F46,ASML Holding NV,ASML,0.40%,Semiconductor Materials & Equipment,NL,---,"$301,294,532.14","284,871"
,2701271,Costco Wholesale Corp,COST,0.39%,Consumer Staples Merchandise Retail,US,---,"$292,670,383.68","320,352"
,B92SR70,AbbVie Inc,ABBV,0.39%,Biotechnology,US,---,"$291,271,790.70","1,279,191"
,BN78DQ4,Palantir Technologies Inc,PLTR,0.35%,Application Software,US,---,"$266,084,125.35","1,579,603"
,2295677,Bank of America Corp,BAC,0.35%,Diversified Banks,US,---,"$261,066,050.40","4,866,096"
,2434209,Home Depot Inc/The,HD,0.34%,Home Improvement Retail,US,---,"$257,028,442.68","720,129"
,BK6YZP5,Alibaba Group Holding Ltd,9988,0.34%,Broadline Retail,HK,---,"$254,501,697.38","12,935,420"
,2007849,Advanced Micro Devices Inc,AMD,0.34%,Semiconductors,US,---,"$253,320,645.96","1,164,532"
,2704407,Procter & Gamble Co/The,PG,0.33%,Household Products,US,---,"$250,480,481.28","1,690,608"
,2661568,Oracle Corp,ORCL,0.32%,Systems Software,US,---,"$241,812,102.70","1,197,386"
,6771720,Samsung Electronics Co Ltd,005930,0.31%,"Technology Hardware, Storage & Peripherals",KR,---,"$232,050,013.72","3,378,573"
,BL59CR9,General Electric Co,GE,0.30%,Aerospace & Defense,US,---,"$226,775,143.35","759,843"
,2198163,Cisco Systems Inc,CSCO,0.29%,Communications Equipment,US,---,"$220,855,038.96","2,870,484"
,2917766,UnitedHealth Group Inc,UNH,0.29%,Managed Health Care,US,---,"$216,914,791.52","657,776"
