method,median,min,max,Q1,Q3,n,n_pts,sim
pnorm,0.0017760419999999998,0.001323709,0.012492,0.00170138475,0.00189249975,16,24576,sim1
mvnormcdf,0.018212832999999998,0.017470458,0.025244542,0.01802691725,0.01837294775,16,24576,sim1
mvnmvt,0.026999999999999247,0.0259999999999998,0.028999999999999915,0.026000000000001577,0.027000000000001023,16,24576,sim1
tlr,0.025000000000000355,0.023999999999999133,0.0259999999999998,0.02400000000000091,0.025000000000000355,16,24576,sim1
pnorm,0.0110192085,0.009995,0.021856958,0.01060441625,0.0113666975,16,245760,sim1
mvnormcdf,0.172197438,0.162857333,0.178465875,0.17121425,0.17286361500000003,16,245760,sim1
mvnmvt,0.2129999999999974,0.20600000000000307,0.375,0.20899999999999608,0.22125000000000128,16,245760,sim1
tlr,0.2534999999999954,0.23400000000000176,0.2669999999999959,0.24075000000000024,0.25900000000000034,16,245760,sim1
pnorm,0.0018932085000000001,0.001625,0.03121275,0.0018075415000000001,0.00207662475,32,24576,sim1
mvnormcdf,0.050420896,0.048079791,0.055801917,0.0486630525,0.0517073125,32,24576,sim1
mvnmvt,0.05700000000000216,0.05499999999999261,0.0589999999999975,0.055999999999997385,0.05700000000000216,32,24576,sim1
tlr,0.049000000000006594,0.046999999999997044,0.05900000000001171,0.04800000000000182,0.05000000000000071,32,24576,sim1
pnorm,0.021077145999999998,0.017223417,0.032980125,0.019506312,0.025177780749999996,32,245760,sim1
mvnormcdf,0.4667901875,0.450976584,0.495968125,0.45908954175,0.47694212525,32,245760,sim1
mvnmvt,0.4399999999999977,0.4350000000000023,0.46999999999999886,0.4370000000000118,0.4452499999999944,32,245760,sim1
tlr,0.5300000000000011,0.5130000000000052,0.5860000000000127,0.5197499999999877,0.5392500000000098,32,245760,sim1
pnorm,0.003334646,0.003116416,0.027031167,0.00327187475,0.0034819587500000003,64,24576,sim1
mvnormcdf,0.100250166,0.099434208,0.125628541,0.09977729175,0.1049780105,64,24576,sim1
mvnmvt,0.12800000000001432,0.1269999999999527,0.1360000000000241,0.1279999999999859,0.1309999999999789,64,24576,sim1
tlr,0.09700000000003683,0.09699999999997999,0.10000000000002274,0.09699999999997999,0.09800000000001319,64,24576,sim1
pnorm,0.0282591245,0.024620625,0.045633584,0.02652212525,0.032132812250000004,64,245760,sim1
mvnormcdf,0.9430359994999999,0.929201917,1.042514042,0.9349181565,0.98688016675,64,245760,sim1
mvnmvt,1.0389999999999873,1.0369999999999777,1.0500000000000114,1.0389999999999873,1.0402500000000146,64,245760,sim1
tlr,1.080000000000041,1.0779999999999745,1.09699999999998,1.0790000000000646,1.0849999999999511,64,245760,sim1
pnorm,0.0057037500000000005,0.005177333,0.02612025,0.00540795825,0.006817729,128,24576,sim1
mvnormcdf,0.204585812,0.203212417,0.215035,0.20419874,0.20520051075,128,24576,sim1
mvnmvt,0.3530000000000655,0.35199999999997544,0.36200000000008004,0.3529999999999518,0.3530000000000655,128,24576,sim1
tlr,0.20899999999994634,0.20699999999999363,0.21299999999996544,0.20800000000008367,0.20900000000006003,128,24576,sim1
pnorm,0.0452212915,0.043055584,0.06871325,0.044312323,0.0485597605,128,245760,sim1
mvnormcdf,2.0160040835000004,2.004439209,2.035851458,2.01232055225,2.0198501772499995,128,245760,sim1
mvnmvt,2.872000000000071,2.869000000000028,2.883000000000038,2.8710000000000946,2.8759999999999764,128,245760,sim1
tlr,2.6720000000000255,2.6649999999999636,2.7009999999997945,2.669749999999908,2.6820000000000164,128,245760,sim1
pnorm,0.011413729000000001,0.009834625,0.031572625,0.010538052249999999,0.023940823,256,24576,sim1
mvnormcdf,0.4274709375,0.425864209,0.443338083,0.42695947975,0.43323235424999995,256,24576,sim1
mvnmvt,1.109000000000151,1.1079999999999472,1.1259999999999764,1.1079999999999472,1.11200000000008,256,24576,sim1
tlr,0.4979999999998199,0.49499999999989086,0.5070000000000618,0.49700000000007094,0.4980000000000473,256,24576,sim1
pnorm,0.0913891045,0.0875,0.112912958,0.08989135425,0.10319151000000001,256,245760,sim1
mvnormcdf,4.7158082705,4.70352575,4.758876375,4.7104354375,4.720658011,256,245760,sim1
mvnmvt,9.009999999999764,8.994000000000142,9.152000000000044,8.998000000000047,9.027999999999906,256,245760,sim1
tlr,6.391000000000076,6.373999999999796,6.434999999999945,6.380999999999858,6.402500000000032,256,245760,sim1
pnorm,0.0365106465,0.022993334,0.046432,0.02445037525,0.0430886455,512,24576,sim1
mvnormcdf,0.9913861255,0.985039375,1.013697083,0.98934175,0.99417932325,512,24576,sim1
mvnmvt,3.884499999999889,3.876999999999498,3.8989999999998872,3.8789999999999054,3.8882500000005393,512,24576,sim1
tlr,1.2449999999998909,1.2419999999992797,1.2579999999998108,1.243000000000393,1.2479999999995925,512,24576,sim1
pnorm,0.1990741045,0.184061209,0.275524584,0.18915258325,0.20762346875,512,245760,sim1
mvnormcdf,11.992797625000001,11.911180625,19.074518666,11.9505734995,12.01969537475,512,245760,sim1
mvnmvt,31.347000000000662,31.31999999999971,31.473000000000866,31.33100000000013,31.362249999999904,512,245760,sim1
tlr,17.95600000000013,17.911000000000058,18.149999999999636,17.933000000000902,17.994500000000244,512,245760,sim1
pnorm,0.07213072949999999,0.06370775,0.1041655,0.06505279174999999,0.08580111450000001,1024,24576,sim2
mvnormcdf,3.3510118125,3.334216709,3.406708458,3.34472906275,3.358549927,1024,24576,sim2
tlr,4.600499999999556,4.588999999999942,4.61699999999837,4.595999999999549,4.605999999999767,1024,24576,sim2
pnorm,0.5117421040000001,0.4933745,0.545805292,0.49892654174999995,0.52472058325,1024,245760,sim2
mvnormcdf,48.1498459165,47.903827416,49.688290791,48.06979744825,48.32235040575,1024,245760,sim2
tlr,51.49500000000262,51.422999999998865,51.66100000000006,51.4747499999994,51.509249999999156,1024,245760,sim2
pnorm,0.2416006255,0.21985925,0.265829334,0.23106530199999997,0.25172818725,2048,24576,sim2
mvnormcdf,23.040738354,22.951371042,23.164011875,23.0051896975,23.07263352125,2048,24576,sim2
tlr,14.310499999999593,14.184000000001106,14.375,14.296999999998661,14.325250000000779,2048,24576,sim2
pnorm,1.6628807085,1.6235025,1.716540958,1.6498233025,1.6788177602499998,2048,245760,sim2
mvnormcdf,239.259602625,238.964947583,246.935851292,239.14403940625,239.38157332275,2048,245760,sim2
tlr,150.387999999999,150.1600000000035,151.5639999999985,150.36375000000226,150.41224999999758,2048,245760,sim2
pnorm,0.899260854,0.865925375,0.978077416,0.883879583,0.90950486475,4096,24576,sim2
mvnormcdf,162.4338198125,161.130287541,163.845023625,162.0393620415,162.762437479,4096,24576,sim2
tlr,50.54200000000128,50.125,50.62200000000303,50.51749999999811,50.55899999999383,4096,24576,sim2
pnorm,5.5106892915,5.407793667,5.581400959,5.46270778125,5.5403506145,4096,245760,sim2
mvnormcdf,1084.9535969995,1082.1785795,1093.230563834,1083.84485590625,1086.1863236875,4096,245760,sim2
tlr,515.7274999999936,514.8549999999814,538.4769999999844,515.4950000000172,515.8669999999984,4096,245760,sim2
