method,median,min,max,Q1,Q3,n,n_pts,sim
pnorm,0.175220242,0.175220242,0.175220242,0.175220242,0.175220242,16,24576,sim1
mvnormcdf,0.030104194,0.030104194,0.030104194,0.030104194,0.030104194,16,24576,sim1
mvnmvt,0.052999999999883585,0.052999999999883585,0.052999999999883585,0.052999999999883585,0.052999999999883585,16,24576,sim1
tlr,0.05500000000029104,0.05500000000029104,0.05500000000029104,0.05500000000029104,0.05500000000029104,16,24576,sim1
pnorm,1.775366263,1.775366263,1.775366263,1.775366263,1.775366263,16,245760,sim1
mvnormcdf,0.289602245,0.289602245,0.289602245,0.289602245,0.289602245,16,245760,sim1
mvnmvt,0.4249999999956344,0.4249999999956344,0.4249999999956344,0.4249999999956344,0.4249999999956344,16,245760,sim1
tlr,0.6389999999955762,0.6389999999955762,0.6389999999955762,0.6389999999955762,0.6389999999955762,16,245760,sim1
pnorm,0.182191374,0.182191374,0.182191374,0.182191374,0.182191374,32,24576,sim1
mvnormcdf,0.078959914,0.078959914,0.078959914,0.078959914,0.078959914,32,24576,sim1
mvnmvt,0.10699999999633292,0.10699999999633292,0.10699999999633292,0.10699999999633292,0.10699999999633292,32,24576,sim1
tlr,0.11499999999796273,0.11499999999796273,0.11499999999796273,0.11499999999796273,0.11499999999796273,32,24576,sim1
pnorm,1.773488871,1.773488871,1.773488871,1.773488871,1.773488871,32,245760,sim1
mvnormcdf,0.753635134,0.753635134,0.753635134,0.753635134,0.753635134,32,245760,sim1
mvnmvt,0.8680000000022119,0.8680000000022119,0.8680000000022119,0.8680000000022119,0.8680000000022119,32,245760,sim1
tlr,1.4049999999988358,1.4049999999988358,1.4049999999988358,1.4049999999988358,1.4049999999988358,32,245760,sim1
pnorm,0.307753209,0.307753209,0.307753209,0.307753209,0.307753209,64,24576,sim1
mvnormcdf,0.16787645,0.16787645,0.16787645,0.16787645,0.16787645,64,24576,sim1
mvnmvt,0.22000000000116415,0.22000000000116415,0.22000000000116415,0.22000000000116415,0.22000000000116415,64,24576,sim1
tlr,0.2580000000016298,0.2580000000016298,0.2580000000016298,0.2580000000016298,0.2580000000016298,64,24576,sim1
pnorm,1.926841886,1.926841886,1.926841886,1.926841886,1.926841886,64,245760,sim1
mvnormcdf,1.554101522,1.554101522,1.554101522,1.554101522,1.554101522,64,245760,sim1
mvnmvt,1.783000000003085,1.783000000003085,1.783000000003085,1.783000000003085,1.783000000003085,64,245760,sim1
tlr,2.9680000000007567,2.9680000000007567,2.9680000000007567,2.9680000000007567,2.9680000000007567,64,245760,sim1
pnorm,0.311417495,0.311417495,0.311417495,0.311417495,0.311417495,128,24576,sim1
mvnormcdf,0.339763673,0.339763673,0.339763673,0.339763673,0.339763673,128,24576,sim1
mvnmvt,0.5009999999965657,0.5009999999965657,0.5009999999965657,0.5009999999965657,0.5009999999965657,128,24576,sim1
tlr,0.5560000000041327,0.5560000000041327,0.5560000000041327,0.5560000000041327,0.5560000000041327,128,24576,sim1
pnorm,1.886362387,1.886362387,1.886362387,1.886362387,1.886362387,128,245760,sim1
mvnormcdf,3.152892963,3.152892963,3.152892963,3.152892963,3.152892963,128,245760,sim1
mvnmvt,4.0789999999979045,4.0789999999979045,4.0789999999979045,4.0789999999979045,4.0789999999979045,128,245760,sim1
tlr,6.26600000000326,6.26600000000326,6.26600000000326,6.26600000000326,6.26600000000326,128,245760,sim1
pnorm,0.324721744,0.324721744,0.324721744,0.324721744,0.324721744,256,24576,sim1
mvnormcdf,0.713088991,0.713088991,0.713088991,0.713088991,0.713088991,256,24576,sim1
mvnmvt,1.2819999999992433,1.2819999999992433,1.2819999999992433,1.2819999999992433,1.2819999999992433,256,24576,sim1
tlr,1.3099999999976717,1.3099999999976717,1.3099999999976717,1.3099999999976717,1.3099999999976717,256,24576,sim1
pnorm,1.8824451,1.8824451,1.8824451,1.8824451,1.8824451,256,245760,sim1
mvnormcdf,6.424218345,6.424218345,6.424218345,6.424218345,6.424218345,256,245760,sim1
mvnmvt,10.126000000003842,10.126000000003842,10.126000000003842,10.126000000003842,10.126000000003842,256,245760,sim1
tlr,15.15400000000227,15.15400000000227,15.15400000000227,15.15400000000227,15.15400000000227,256,245760,sim1
pnorm,0.344360708,0.344360708,0.344360708,0.344360708,0.344360708,512,24576,sim1
mvnormcdf,1.531731878,1.531731878,1.531731878,1.531731878,1.531731878,512,24576,sim1
mvnmvt,3.588000000003376,3.588000000003376,3.588000000003376,3.588000000003376,3.588000000003376,512,24576,sim1
tlr,3.1900000000023283,3.1900000000023283,3.1900000000023283,3.1900000000023283,3.1900000000023283,512,24576,sim1
pnorm,1.878349799,1.878349799,1.878349799,1.878349799,1.878349799,512,245760,sim1
mvnormcdf,13.212148968,13.212148968,13.212148968,13.212148968,13.212148968,512,245760,sim1
mvnmvt,28.85899999999674,28.85899999999674,28.85899999999674,28.85899999999674,28.85899999999674,512,245760,sim1
tlr,41.62199999999575,41.62199999999575,41.62199999999575,41.62199999999575,41.62199999999575,512,245760,sim1
pnorm,0.367767208,0.367767208,0.367767208,0.367767208,0.367767208,1024,24576,sim2
mvnormcdf,4.709454636,4.709454636,4.709454636,4.709454636,4.709454636,1024,24576,sim2
tlr,8.80399999999645,8.80399999999645,8.80399999999645,8.80399999999645,8.80399999999645,1024,24576,sim2
pnorm,2.051923791,2.051923791,2.051923791,2.051923791,2.051923791,1024,245760,sim2
mvnormcdf,30.456474917,30.456474917,30.456474917,30.456474917,30.456474917,1024,245760,sim2
tlr,124.5969999999943,124.5969999999943,124.5969999999943,124.5969999999943,124.5969999999943,1024,245760,sim2
