method,median,sd,min,max,Q1,Q3,se_est,n,n_pts,sim
pnorm,0.2534708055719559,3.954645092063188e-6,0.25346230659397667,0.25347955197638883,0.25346846304193754,0.2534743805470229,1.139941747628556e-5,16,24576,sim1
mvnormcdf,0.25347118095386134,3.162806238922101e-6,0.25346372790845223,0.2534786568134523,0.25346937881137266,0.25347312008872136,9.050888186034186e-6,16,24576,sim1
mvnmvt,0.25347113476130523,6.60092354719411e-7,0.2534697072793694,0.2534727950911214,0.25347056047130967,0.25347146897474926,2.395224894483312e-6,16,24576,sim1
tlr,0.2534718520669304,7.326765882674867e-6,0.2534517416744587,0.2534919626448151,0.25346746854527286,0.2534767268154746,1.3949777766150142e-5,16,24576,sim1
pnorm,0.2534712369941611,3.2091594578077014e-7,0.2534702333330046,0.25347206464392785,0.25347102296404844,0.253471457170631,9.83557555198341e-7,16,245760,sim1
mvnormcdf,0.2534711333519828,2.7041339937810454e-7,0.25347054614074943,0.2534718494706624,0.25347094103978346,0.253471345897014,7.752975054130433e-7,16,245760,sim1
mvnmvt,0.2534711794666481,2.4584614135396504e-7,0.2534705641720698,0.2534718577591452,0.25347100253646204,0.25347131936641976,7.208715816398558e-7,16,245760,sim1
tlr,0.25347129604505225,4.614510629174592e-7,0.25346997020746936,0.2534726870271938,0.25347098950591107,0.2534715129100178,7.864419081694205e-7,16,245760,sim1
pnorm,0.25327972638076834,1.1964484527121009e-5,0.2532517988962169,0.25331334480162465,0.25327029811643115,0.2532884379978858,3.231696967117165e-5,32,24576,sim1
mvnormcdf,0.2532782434835592,9.014250311434161e-6,0.25325330475573293,0.253296965759973,0.2532706144475042,0.2532849797495036,2.559273844207231e-5,32,24576,sim1
mvnmvt,0.253279068220016,1.2422745013478583e-6,0.25327628437737965,0.25328310699064494,0.25327815581442564,0.25327995763491157,4.1829945361762406e-6,32,24576,sim1
tlr,0.25328308786688913,1.549815546344234e-5,0.2532458696110221,0.25331926149359096,0.25327316171275677,0.2532924537872433,2.8260762113400806e-5,32,24576,sim1
pnorm,0.25327919956574496,9.89057717949939e-7,0.25327528456166437,0.2532812755330412,0.25327857692365185,0.2532797372820373,3.0420255442273125e-6,32,245760,sim1
mvnormcdf,0.2532790283117644,8.569890437243062e-7,0.25327730501678714,0.25328133735770264,0.2532784020968918,0.25327946989268135,2.609005425538816e-6,32,245760,sim1
mvnmvt,0.2532790654859566,3.9951279135545195e-7,0.2532781163100409,0.25327992193337795,0.25327878891892225,0.2532793568523338,1.1077797216709444e-6,32,245760,sim1
tlr,0.25327912860344887,2.009545661622554e-6,0.253273117065102,0.2532837168357667,0.25327750673087357,0.25328033957626767,3.679513225399326e-6,32,245760,sim1
pnorm,0.2526460525372174,8.756266853636399e-6,0.2526250311142713,0.25266723121401774,0.2526411152452209,0.252650434779991,3.070678817062643e-5,64,24576,sim1
mvnormcdf,0.25264722116507177,1.591720246550061e-5,0.2526204347997417,0.25269829945575334,0.2526376497298651,0.2526584588299652,5.354745168532188e-5,64,24576,sim1
mvnmvt,0.25264615340588725,2.2760619492727603e-6,0.2526391499537746,0.25265137871804577,0.25264447107663385,0.25264774793531647,8.171009586411822e-6,64,24576,sim1
tlr,0.2526461869348867,1.248142363533465e-5,0.2526169866174789,0.2526765867162896,0.25263789592619246,0.2526563331244118,2.6542333996082044e-5,64,24576,sim1
pnorm,0.25264664406553416,1.1702735430080484e-6,0.25264324881066863,0.25264900150345654,0.25264569181176416,0.2526473367461274,3.497948196190189e-6,64,245760,sim1
mvnormcdf,0.25264655334985253,1.1573963083846435e-6,0.25264395689571706,0.25264955810895545,0.252645838829214,0.25264739068815456,3.3194949308054536e-6,64,245760,sim1
mvnmvt,0.25264650632219043,1.5446530996649664e-6,0.2526416534955372,0.25264950432738215,0.25264533228686303,0.2526473510354378,4.362954262311592e-6,64,245760,sim1
tlr,0.25264615761932174,1.8448318357057386e-6,0.2526425366814167,0.2526509968891633,0.2526446971759037,0.25264755426252683,3.509832546542642e-6,64,245760,sim1
pnorm,0.2519491492264453,2.7267624476790582e-5,0.25188794494717953,0.2520145020062204,0.2519277594512348,0.2519679496666149,7.126750169997832e-5,128,24576,sim1
mvnormcdf,0.2519491399167635,1.3906518713536014e-5,0.25192044335287894,0.25198945787390437,0.2519411535959883,0.25196109061165184,4.454625003925757e-5,128,24576,sim1
mvnmvt,0.25195223935231276,1.535082229426196e-5,0.25190862601014097,0.25197982331672714,0.25193934464255474,0.2519604339336807,5.1388771494486903e-5,128,24576,sim1
tlr,0.2519508219218124,3.272804400523142e-5,0.2518783037185505,0.25203115902125406,0.25192877137154174,0.2519724029004126,5.565623740185087e-5,128,24576,sim1
pnorm,0.2519496649144565,3.239166160535066e-6,0.2519420114184718,0.25195750329951544,0.2519476894348542,0.251951943160699,8.70166158832229e-6,128,245760,sim1
mvnormcdf,0.25194957127980566,2.2396771779331855e-6,0.2519446286354126,0.2519544328483374,0.2519482358359766,0.2519515045651257,6.725280777100571e-6,128,245760,sim1
mvnmvt,0.2519501496526083,6.538507104716246e-6,0.25192094543216986,0.2519639768706787,0.25194643748416423,0.25195375379673185,1.734953767967065e-5,128,245760,sim1
tlr,0.25194995862613834,5.6947565553578335e-6,0.25193238434862286,0.251960184985237,0.25194665647042797,0.2519534898470439,1.0525078322340567e-5,128,245760,sim1
pnorm,0.2513812509605357,1.6385528496346187e-5,0.2513495981259934,0.25141905969004047,0.2513689413425357,0.25139210389300976,4.8239574992370615e-5,256,24576,sim1
mvnormcdf,0.25138681805628416,1.3095600484753776e-5,0.25135937875072406,0.2514175386936228,0.25137782687325105,0.25139575638666556,4.085652316260087e-5,256,24576,sim1
mvnmvt,0.2513864368282868,2.2080877456344338e-5,0.251326309074607,0.25144590593185284,0.2513714659844546,0.2514017381384338,7.006639874680107e-5,256,24576,sim1
tlr,0.25138219264275685,2.197974083935913e-5,0.25132389517877096,0.2514321153337028,0.2513663109653821,0.25139903884055487,4.456837746270371e-5,256,24576,sim1
pnorm,0.2513833599766621,2.30627660538159e-6,0.2513776138725838,0.2513900299530117,0.25138227091585297,0.2513852413058084,6.702308946186713e-6,256,245760,sim1
mvnormcdf,0.251384126266167,2.0859210073043333e-6,0.25138001333433846,0.25138920332424697,0.2513829095910045,0.25138574699647875,6.356945524071249e-6,256,245760,sim1
mvnmvt,0.25138381745906824,9.358654291480478e-6,0.25136142142925466,0.25142324667036253,0.25137751532899516,0.2513889730631017,2.524542911383309e-5,256,245760,sim1
tlr,0.2513840652298207,4.358998771896962e-6,0.2513739869822343,0.25139659097104594,0.2513819086961247,0.25138644228408386,8.223941092426187e-6,256,245760,sim1
pnorm,0.2509012199433184,1.3295941845155944e-5,0.2508751805151475,0.2509394357809084,0.2508938979215303,0.25091011350044756,3.8749500871930836e-5,512,24576,sim1
mvnormcdf,0.2509021081149084,1.348012909289907e-5,0.25085906279745157,0.25094186273914726,0.2508929147115977,0.25090780537737556,4.021413120147955e-5,512,24576,sim1
mvnmvt,0.2509010990406534,2.0319959372869348e-5,0.2508467103457805,0.2509422487150994,0.250887280041771,0.2509164021213626,6.480592125392109e-5,512,24576,sim1
tlr,0.2508985208856538,2.0194160732308922e-5,0.250843913530981,0.25096457669639793,0.25088547625238533,0.25091199913679807,3.604014997868422e-5,512,24576,sim1
pnorm,0.2509000017410177,2.8167612299221954e-6,0.25089400995578115,0.2509080586540124,0.2508982433301075,0.2509018374687264,8.002077912674258e-6,512,245760,sim1
mvnormcdf,0.25089998177898354,1.94908941547005e-6,0.2508952885040539,0.2509044326019956,0.2508984489650503,0.25090108656167703,7.136509914425648e-6,512,245760,sim1
mvnmvt,0.2508997512861048,8.830298594160057e-6,0.2508805736370188,0.2509227720225138,0.25089442118746713,0.2509057046653975,2.106478639647581e-5,512,245760,sim1
tlr,0.250900465325009,3.843846881874984e-6,0.2508931069312387,0.2509121401319445,0.2508985071510077,0.25090356990484247,7.823469591499867e-6,512,245760,sim1
pnorm,0.25057648089781004,1.3523005018076684e-5,0.25053800755892636,0.2506065540058178,0.2505658240002638,0.25058633015278176,3.7053599213888414e-5,1024,24576,sim2
mvnormcdf,0.2505776905193737,1.1087661416092571e-5,0.25055262532242756,0.2506094978129686,0.25056732270886656,0.2505843303952967,3.6135383008385985e-5,1024,24576,sim2
tlr,0.2505736698394646,1.777433130226173e-5,0.25053064048396634,0.2506184260696645,0.25056491273046183,0.25058642365438144,3.305454780065593e-5,1024,24576,sim2
pnorm,0.250577330397453,2.6923189782906742e-6,0.25056905304839994,0.250584753404751,0.2505753340765295,0.25057910295591984,8.243326711798756e-6,1024,245760,sim2
mvnormcdf,0.25057708966341846,3.172472907074631e-6,0.25056973766549584,0.250585727356907,0.25057562463615435,0.2505790891878171,8.735443289486046e-6,1024,245760,sim2
tlr,0.2505766127484595,4.343203822379546e-6,0.2505661205567461,0.2505911675054738,0.25057386274118587,0.2505789312007992,8.257217525532298e-6,1024,245760,sim2
pnorm,0.25036388343096366,1.1137151205041498e-5,0.2503333013946706,0.2503869095859303,0.25035529649986255,0.25036990802431436,3.0193848041118046e-5,2048,24576,sim2
mvnormcdf,0.2503601512733633,1.0330178888600611e-5,0.2503325488943412,0.2503850962640249,0.25035401105401434,0.2503666647437368,2.9194698613996675e-5,2048,24576,sim2
tlr,0.2503584281693555,1.3448495691550383e-5,0.25032531776305267,0.2503908059449842,0.2503516221429943,0.2503693442723694,2.7582207774166237e-5,2048,24576,sim2
pnorm,0.2503603109348269,3.0820161311694808e-6,0.25035132381604025,0.2503669933160166,0.2503589399811233,0.25036258437437586,8.813990502775176e-6,2048,245760,sim2
mvnormcdf,0.2503603440190968,2.9150841688091532e-6,0.2503511059552843,0.2503669447167732,0.25035830145595384,0.25036221883690746,8.229342463024073e-6,2048,245760,sim2
tlr,0.2503600327076604,3.7940273554151925e-6,0.250351046229607,0.25037231939892557,0.25035771931934936,0.2503626135847521,7.153277335412984e-6,2048,245760,sim2
pnorm,0.2502207985266305,8.606464854444705e-6,0.250197561920347,0.2502410988965359,0.25021574259224355,0.2502257967362294,2.2845049029928123e-5,4096,24576,sim2
mvnormcdf,0.2502209517302356,7.703762576366608e-6,0.250200571116846,0.2502396643709723,0.25021641654831295,0.25022589401788986,2.423183145790119e-5,4096,24576,sim2
tlr,0.250220664393598,1.1159524475823902e-5,0.250195207029474,0.25024592215511554,0.2502131119642064,0.25022844405635014,2.1188236097028417e-5,4096,24576,sim2
