method,median,sd,min,max,Q1,Q3,se_est,n,n_pts,sim
pnorm,0.27220176994797624,2.1520251967810475e-5,0.2721323860907415,0.2722610855866718,0.2721883673451368,0.27221530632850316,7.62611284978585e-5,16,24576,sim1
mvnormcdf,0.2721964582654036,2.2715093607105986e-5,0.27214714692050085,0.27225226328494706,0.2721863498782889,0.27221335586583684,6.38755778404748e-5,16,24576,sim1
mvnmvt,0.2721952123885873,8.597451008172527e-6,0.27217682162245715,0.27221958794614387,0.2721908425224691,0.2722020964959606,3.364260920673592e-5,16,24576,sim1
tlr,0.27219388611620626,4.16052459875617e-5,0.2721182963184822,0.2722987019232156,0.272167720707835,0.2722240814475785,7.926698711009326e-5,16,24576,sim1
pnorm,0.2721977597048417,3.5844877204326327e-6,0.2721903327607427,0.27220503615244906,0.27219451635659775,0.27220048039293304,1.0907961346174113e-5,16,245760,sim1
mvnormcdf,0.27219709587192653,2.418600463836308e-6,0.27219270661753253,0.27220294451325666,0.27219553380858164,0.2721990213021235,6.828802250895652e-6,16,245760,sim1
mvnmvt,0.2721976319437479,2.6795887341304098e-6,0.27219021459531434,0.2722055207294868,0.2721959309163592,0.2721992607511324,8.062893056924718e-6,16,245760,sim1
tlr,0.27219823820120814,3.987124386040196e-6,0.27218858100657717,0.2722114436370011,0.2721954249738926,0.2722007272846229,9.143570012509189e-6,16,245760,sim1
pnorm,0.27006796709089265,4.399414493762151e-5,0.2699590817140958,0.270164487241147,0.27004286825909846,0.27010285336625434,0.00012891032771454228,32,24576,sim1
mvnormcdf,0.2700731469729052,3.681304979934882e-5,0.26998439555446785,0.27014443067020544,0.27003947660752803,0.27009714325301415,0.00011595841904885528,32,24576,sim1
mvnmvt,0.2700674395110841,1.3803426014853567e-5,0.2700374736141428,0.2701034177071862,0.2700568206840266,0.27007635575093175,5.851878817893361e-5,32,24576,sim1
tlr,0.2700788417140012,6.379340070166281e-5,0.2699394288615277,0.27024529865879066,0.270041079361942,0.27011645673250173,0.00011136141145938125,32,24576,sim1
pnorm,0.270070168872692,5.4874994239739664e-6,0.27005600099494115,0.27008734142359686,0.27006704765215234,0.2700732787679534,1.7839487134128865e-5,32,245760,sim1
mvnormcdf,0.27007127430762995,5.434423117078949e-6,0.27005771526137534,0.2700817163061437,0.27006756513516356,0.2700738404633969,1.4671637284242141e-5,32,245760,sim1
mvnmvt,0.270070525485008,5.306623765059465e-6,0.2700563938339349,0.2700821384246344,0.27006685128435975,0.27007353822310276,1.6113994295958318e-5,32,245760,sim1
tlr,0.2700703857098369,1.0360569236618934e-5,0.27004230429215026,0.2700903235541451,0.2700618225206586,0.27007561538191294,1.7247604203047203e-5,32,245760,sim1
pnorm,0.2661531401378191,5.919542252927402e-5,0.2660047298170883,0.26631051188356775,0.2660993805944131,0.2661813679251636,0.00016908737449970328,64,24576,sim1
mvnormcdf,0.2661380918139614,4.1609918761993826e-5,0.26604473918091603,0.26625231762284624,0.266114746450424,0.26616671549960524,0.000131095055956228,64,24576,sim1
mvnmvt,0.26614049483613267,3.2050348465829054e-5,0.2660586382971243,0.2662160398158993,0.2661186717492334,0.266164301306927,9.519667231206264e-5,64,24576,sim1
tlr,0.2661368641350853,6.612356060576406e-5,0.26597578288975937,0.2663264360912081,0.266086630997984,0.26617773286712876,0.00013997388894268308,64,24576,sim1
pnorm,0.26614084562885854,7.060613597279637e-6,0.26612288192956274,0.26615721681511123,0.266136146633029,0.2661459276514583,1.912697511462583e-5,64,245760,sim1
mvnormcdf,0.26614026390439394,7.645843926748573e-6,0.26611855175069354,0.26615658154517263,0.2661346416170363,0.26614594171353145,2.202478823949652e-5,64,245760,sim1
mvnmvt,0.2661394127229165,1.42849275929152e-5,0.26611145478113657,0.2661834955198046,0.2661283115055083,0.26614775591242346,3.572101332575115e-5,64,245760,sim1
tlr,0.2661389336020824,1.1588627350826271e-5,0.26611256624260504,0.2661750072751119,0.26613328358333393,0.2661479635487613,2.0749124429732554e-5,64,245760,sim1
pnorm,0.26197532792243095,6.931492768975769e-5,0.2618094551187396,0.26213774616550967,0.2619253278108896,0.26202100457238486,0.00020050490331871906,128,24576,sim1
mvnormcdf,0.26199186054792445,8.77509893156106e-5,0.26177187159584747,0.26217795504113417,0.26193379490519414,0.26204746360733105,0.0002511122211689321,128,24576,sim1
mvnmvt,0.2619858517570411,8.189956274461283e-5,0.2617451257741563,0.2621621892678574,0.26192504162361335,0.26205600614197533,0.0002793905056855895,128,24576,sim1
tlr,0.26198290321015905,0.00010658815720875406,0.2616954937842021,0.26224389670809006,0.26192212885600924,0.26203565594908085,0.00022284519147925883,128,24576,sim1
pnorm,0.26198273305566333,1.0188403248026425e-5,0.2619570826648106,0.26200409880487185,0.26197588295018376,0.26198879383951046,3.196671736230908e-5,128,245760,sim1
mvnormcdf,0.2619834065011382,1.2664767211456614e-5,0.2619462859026883,0.26201815097779296,0.2619749386137061,0.2619912035552844,3.622309148669889e-5,128,245760,sim1
