n,m,method,min,median,BLAS
512,7168,pnorm,0.006746,0.006746,Accelerate
512,7168,mul!,0.003603666,0.003603666,Accelerate
512,7168,mul!_UpperTriangular,0.00228275,0.00228275,Accelerate
512,114688,pnorm,0.097722042,0.097722042,Accelerate
512,114688,mul!,0.086947791,0.086947791,Accelerate
512,114688,mul!_UpperTriangular,0.066285167,0.066285167,Accelerate
1024,7168,pnorm,0.018778917,0.018778917,Accelerate
1024,7168,mul!,0.024560917,0.024560917,Accelerate
1024,7168,mul!_UpperTriangular,0.0176225,0.0176225,Accelerate
1024,114688,pnorm,0.226963042,0.226963042,Accelerate
1024,114688,mul!,0.213200084,0.213200084,Accelerate
1024,114688,mul!_UpperTriangular,0.145941458,0.145941458,Accelerate
2048,7168,pnorm,0.046032125,0.046032125,Accelerate
2048,7168,mul!,0.056431458,0.056431458,Accelerate
2048,7168,mul!_UpperTriangular,0.033609,0.033609,Accelerate
2048,114688,pnorm,0.646866166,0.646866166,Accelerate
2048,114688,mul!,0.82020225,0.82020225,Accelerate
2048,114688,mul!_UpperTriangular,0.585854833,0.585854833,Accelerate
4096,7168,pnorm,0.147296417,0.147296417,Accelerate
4096,7168,mul!,0.211632291,0.211632291,Accelerate
4096,7168,mul!_UpperTriangular,0.128266042,0.128266042,Accelerate
4096,114688,pnorm,2.11747675,2.11747675,Accelerate
4096,114688,mul!,3.28053075,3.28053075,Accelerate
4096,114688,mul!_UpperTriangular,2.327635958,2.327635958,Accelerate
8192,7168,pnorm,0.505216166,0.505216166,Accelerate
8192,7168,mul!,0.823369042,0.823369042,Accelerate
8192,7168,mul!_UpperTriangular,0.523758541,0.523758541,Accelerate
8192,114688,pnorm,7.527685084,7.527685084,Accelerate
8192,114688,mul!,12.678239459,12.678239459,Accelerate
8192,114688,mul!_UpperTriangular,9.283929666,9.283929666,Accelerate
512,7168,pnorm,0.021928333,0.021928333,OpenBLAS
512,7168,mul!,0.005892042,0.005892042,OpenBLAS
512,7168,mul!_UpperTriangular,0.003479375,0.003479375,OpenBLAS
512,114688,pnorm,0.229030333,0.229030333,OpenBLAS
512,114688,mul!,0.085961667,0.085961667,OpenBLAS
512,114688,mul!_UpperTriangular,0.053732416,0.053732416,OpenBLAS
1024,7168,pnorm,0.049616125,0.049616125,OpenBLAS
1024,7168,mul!,0.021153958,0.021153958,OpenBLAS
1024,7168,mul!_UpperTriangular,0.012368292,0.012368292,OpenBLAS
1024,114688,pnorm,0.444637542,0.444637542,OpenBLAS
1024,114688,mul!,0.33976675,0.33976675,OpenBLAS
1024,114688,mul!_UpperTriangular,0.187138792,0.187138792,OpenBLAS
2048,7168,pnorm,0.12852625,0.12852625,OpenBLAS
2048,7168,mul!,0.083927875,0.083927875,OpenBLAS
2048,7168,mul!_UpperTriangular,0.045087167,0.045087167,OpenBLAS
2048,114688,pnorm,1.120609,1.120609,OpenBLAS
2048,114688,mul!,1.320766,1.320766,OpenBLAS
2048,114688,mul!_UpperTriangular,0.708377541,0.708377541,OpenBLAS
4096,7168,pnorm,0.356926208,0.356926208,OpenBLAS
4096,7168,mul!,0.33008125,0.33008125,OpenBLAS
4096,7168,mul!_UpperTriangular,0.175329541,0.175329541,OpenBLAS
4096,114688,pnorm,3.512824292,3.512824292,OpenBLAS
4096,114688,mul!,5.296710583,5.296710583,OpenBLAS
4096,114688,mul!_UpperTriangular,2.754531333,2.754531333,OpenBLAS
8192,7168,pnorm,1.020498459,1.020498459,OpenBLAS
8192,7168,mul!,1.313212459,1.313212459,OpenBLAS
8192,7168,mul!_UpperTriangular,0.680477084,0.680477084,OpenBLAS
8192,114688,pnorm,12.861124084,12.861124084,OpenBLAS
8192,114688,mul!,21.011137417,21.011137417,OpenBLAS
8192,114688,mul!_UpperTriangular,10.617711166,10.617711166,OpenBLAS
