n,m,method,min,median,BLAS
512,1024,pnorm,0.00109182,0.00109182,MKL
512,1024,mul!,0.008679001,0.008679001,MKL
512,1024,mul!_UpperTriangular,0.000772659,0.000772659,MKL
512,16384,pnorm,0.017231422,0.017231422,MKL
512,16384,mul!,0.022995305,0.022995305,MKL
512,16384,mul!_UpperTriangular,0.008616624,0.008616624,MKL
1024,1024,pnorm,0.002649538,0.002649538,MKL
1024,1024,mul!,0.012293896,0.012293896,MKL
1024,1024,mul!_UpperTriangular,0.011109537,0.011109537,MKL
1024,16384,pnorm,0.013421855,0.013421855,MKL
1024,16384,mul!,0.018490942,0.018490942,MKL
1024,16384,mul!_UpperTriangular,0.019766757,0.019766757,MKL
2048,1024,pnorm,0.007240989,0.007240989,MKL
2048,1024,mul!,0.015968004,0.015968004,MKL
2048,1024,mul!_UpperTriangular,0.010327336,0.010327336,MKL
2048,16384,pnorm,0.036946808,0.036946808,MKL
2048,16384,mul!,0.060607457,0.060607457,MKL
2048,16384,mul!_UpperTriangular,0.051244785,0.051244785,MKL
4096,1024,pnorm,0.02249909,0.02249909,MKL
4096,1024,mul!,0.033622857,0.033622857,MKL
4096,1024,mul!_UpperTriangular,0.024180837,0.024180837,MKL
4096,16384,pnorm,0.118645709,0.118645709,MKL
4096,16384,mul!,0.206808762,0.206808762,MKL
4096,16384,mul!_UpperTriangular,0.151400172,0.151400172,MKL
8192,1024,pnorm,0.082211253,0.082211253,MKL
8192,1024,mul!,0.082729565,0.082729565,MKL
8192,1024,mul!_UpperTriangular,0.094910338,0.094910338,MKL
8192,16384,pnorm,0.483572761,0.483572761,MKL
8192,16384,mul!,0.83104105,0.83104105,MKL
8192,16384,mul!_UpperTriangular,0.533749179,0.533749179,MKL
512,1024,pnorm,0.001188657,0.001188657,OpenBLAS
512,1024,mul!,0.00145591,0.00145591,OpenBLAS
512,1024,mul!_UpperTriangular,0.00126796,0.00126796,OpenBLAS
512,16384,pnorm,0.018675695,0.018675695,OpenBLAS
512,16384,mul!,0.011526034,0.011526034,OpenBLAS
512,16384,mul!_UpperTriangular,0.010859301,0.010859301,OpenBLAS
1024,1024,pnorm,0.003025416,0.003025416,OpenBLAS
1024,1024,mul!,0.002848364,0.002848364,OpenBLAS
1024,1024,mul!_UpperTriangular,0.003008259,0.003008259,OpenBLAS
1024,16384,pnorm,0.037382922,0.037382922,OpenBLAS
1024,16384,mul!,0.033472931,0.033472931,OpenBLAS
1024,16384,mul!_UpperTriangular,0.029298961,0.029298961,OpenBLAS
2048,1024,pnorm,0.008872366,0.008872366,OpenBLAS
2048,1024,mul!,0.010903163,0.010903163,OpenBLAS
2048,1024,mul!_UpperTriangular,0.009426308,0.009426308,OpenBLAS
2048,16384,pnorm,0.080866,0.080866,OpenBLAS
2048,16384,mul!,0.133565511,0.133565511,OpenBLAS
2048,16384,mul!_UpperTriangular,0.09191235,0.09191235,OpenBLAS
4096,1024,pnorm,0.030485263,0.030485263,OpenBLAS
4096,1024,mul!,0.035842347,0.035842347,OpenBLAS
4096,1024,mul!_UpperTriangular,0.035179676,0.035179676,OpenBLAS
4096,16384,pnorm,0.17127029,0.17127029,OpenBLAS
4096,16384,mul!,0.489712208,0.489712208,OpenBLAS
4096,16384,mul!_UpperTriangular,0.310512434,0.310512434,OpenBLAS
8192,1024,pnorm,0.113699691,0.113699691,OpenBLAS
8192,1024,mul!,0.138366369,0.138366369,OpenBLAS
8192,1024,mul!_UpperTriangular,0.138093897,0.138093897,OpenBLAS
8192,16384,pnorm,0.589107744,0.589107744,OpenBLAS
8192,16384,mul!,1.943048333,1.943048333,OpenBLAS
8192,16384,mul!_UpperTriangular,1.162848738,1.162848738,OpenBLAS
