Section,Calls,Time_sec,Alloc_MiB,Percent,n,n_pts
Generating QMC points,2000,0.018510935,236.1602783203125,0.022222268988138373,16,24576
Cholesky,1000,0.003615113,3.3416748046875,0.004339921970906164,16,24576
Pre-allocation,1000,0.052554542999999995,801.2212524414062,0.06309142088688036,16,24576
Affine scrambling,2880000,0.047844790426265375,0.022064208984375,0.05743739052260606,16,24576
Clculation of CDFs,2880000,0.3472996938527713,0.0452728271484375,0.4169312471949359,16,24576
BLAS multiplication,384000,0.0014864171946838939,0.0077056884765625,0.00178443513138907,16,24576
Computation of quantiles,2880000,0.310456124545014,0.042510986328125,0.3727007581548035,16,24576
Internal multiplication,2880000,0.05122270498126545,0.0172119140625,0.06149255715034039,16,24576
Generating QMC points,2000,0.082122828,991.0125732421875,0.019385198113716914,64,24576
Cholesky,1000,0.041284822,35.2020263671875,0.009745334799716574,64,24576
Pre-allocation,1000,0.092221829,3086.060501098633,0.02176908015849532,64,24576
Affine scrambling,12096000,0.2029890326867788,0.0211944580078125,0.047915819625025155,64,24576
Clculation of CDFs,12096000,1.7804441187874345,0.065826416015625,0.42027610122116776,64,24576
BLAS multiplication,384000,0.0018909421858642177,0.00189208984375,0.0004463593106482253,64,24576
Computation of quantiles,12096000,1.4569659070974497,0.0538787841796875,0.3439186574774962,64,24576
Internal multiplication,12096000,0.578448264242473,0.0146026611328125,0.13654344929373366,64,24576
Generating QMC points,2000,0.296363293,4016.9774169921875,0.016609981648346556,256,24576
Cholesky,1000,0.4190903,514.2059326171875,0.02348834135811837,256,24576
Pre-allocation,1000,0.327644523,12584.533309936523,0.018363169942949925,256,24576
Affine scrambling,48960000,0.8704452197396783,0.022491455078125,0.04878498608721776,256,24576
Clculation of CDFs,48960000,7.16999070066368,0.0468902587890625,0.4018494083774376,256,24576
BLAS multiplication,960000,0.9255812915017005,0.003204345703125,0.05187514320775262,256,24576
Computation of quantiles,48960000,5.613234452527329,0.044647216796875,0.31459942390485435,256,24576
Internal multiplication,48960000,2.220131883567616,0.0192108154296875,0.12442954547332274,256,24576
Generating QMC points,2000,1.175779313,16086.273193359375,0.014664296277652124,1024,24576
Cholesky,1000,8.614958133,8055.2215576171875,0.10744558701202526,1024,24576
Pre-allocation,1000,3.1663383350000007,56164.73481750488,0.039490508929993166,1024,24576
Affine scrambling,196416000,3.777294427181709,0.0095367431640625,0.047110341197265856,1024,24576
Clculation of CDFs,196416000,20.977089885008944,0.011260986328125,0.2616258490990398,1024,24576
BLAS multiplication,3264000,18.68969461500266,0.0143890380859375,0.23309750064741824,1024,24576
Computation of quantiles,196416000,16.89233698167706,0.016693115234375,0.21068089188370695,1024,24576
Internal multiplication,196416000,6.88623809312962,0.007720947265625,0.08588502495289857,1024,24576
Generating QMC points,2000,4.560095307,64390.960693359375,0.006132986367846159,4096,24576
Cholesky,1000,155.719761248,128219.28405761719,0.2094314062849131,4096,24576
Pre-allocation,1000,8.542837947999999,272516.14472961426,0.011489476677686213,4096,24576
Affine scrambling,786240000,23.587345080628552,0.0179595947265625,0.03172321105024178,4096,24576
Clculation of CDFs,786240000,68.42383217158006,0.033447265625,0.09202492529046914,4096,24576
BLAS multiplication,13056000,394.18418314948457,0.0218505859375,0.5301481786938368,4096,24576
Computation of quantiles,786240000,59.14194439390214,0.0342864990234375,0.07954148199028363,4096,24576
Internal multiplication,786240000,29.375862921404714,0.0151519775390625,0.03950833364472322,4096,24576
Generating QMC points,2000,0.165704495,3401.7852783203125,0.027332685540086422,16,245760
Cholesky,1000,0.003779132,3.3416748046875,0.0006233616448997227,16,245760
Pre-allocation,1000,0.133255582,3966.803909301758,0.02198029039144171,16,245760
Affine scrambling,28800000,0.31334790007368557,0.02392578125,0.05168622382489063,16,245760
Clculation of CDFs,28800000,2.654014813379395,0.0638580322265625,0.4377754044199595,16,245760
BLAS multiplication,3840000,0.01014343206041812,0.00286865234375,0.0016731425348759511,16,245760
Computation of quantiles,28800000,2.4174821575308014,0.07135009765625,0.39875972954480843,16,245760
Internal multiplication,28800000,0.3647757409556999,0.0146026611328125,0.060169162099037624,16,245760
Generating QMC points,2000,0.689016621,9850.387573242188,0.025004225962447536,64,245760
Cholesky,1000,0.040551325,35.2020263671875,0.001471596565994375,64,245760
Pre-allocation,1000,0.44447908700000005,11945.435501098633,0.016130025297213225,64,245760
Affine scrambling,120960000,1.1278034732454933,0.0134124755859375,0.04092768160706455,64,245760
Clculation of CDFs,120960000,11.66991449198863,0.0128631591796875,0.42349802606594134,64,245760
BLAS multiplication,3840000,0.009046785455207661,0.0109710693359375,0.00032830538605511543,64,245760
Computation of quantiles,120960000,9.76012535329418,0.017181396484375,0.35419229713412204,64,245760
Internal multiplication,120960000,3.815069677016488,0.0073089599609375,0.13844784198116172,64,245760
Generating QMC points,2000,2.732882538,39869.43054199219,0.022044161204247636,256,245760
Cholesky,1000,0.405077808,514.2059326171875,0.0032674658993394586,256,245760
Pre-allocation,1000,1.665601382,48436.15815734863,0.013435186055854424,256,245760
Affine scrambling,489600000,5.532563145666937,0.014495849609375,0.044627133497298285,256,245760
Clculation of CDFs,489600000,49.79511177059222,0.0179595947265625,0.4016606845670671,256,245760
BLAS multiplication,9600000,5.9524709527835045,0.011627197265625,0.04801422213440228,256,245760
Computation of quantiles,489600000,41.719748168765044,0.01959228515625,0.33652264275723937,256,245760
Internal multiplication,489600000,16.169623213192303,0.007965087890625,0.13042850388455143,256,245760
Generating QMC points,2000,10.898371923,159945.64819335938,0.017185022832684985,1024,245760
Cholesky,1000,8.647432058,8055.2215576171875,0.013635643783380369,1024,245760
Pre-allocation,1000,14.043191846,200024.10981750488,0.02214391050538252,1024,245760
Affine scrambling,1964160000,48.97364909073322,0.0136260986328125,0.07722376183987685,1024,245760
Clculation of CDFs,1964160000,196.44960041426964,0.009552001953125,0.3097702016818082,1024,245760
