Section,Calls,Time_sec,Alloc_MiB,Percent,n,n_pts
Generating QMC points,20,9.9692e-5,0.2125091552734375,0.016175943203256608,16,2048
Cholesky,10,0.000112511,0.0334930419921875,0.01825594376420981,16,2048
Pre-allocation,10,0.00583661,9.76434326171875,0.9470436129233997,16,2048
Affine scrambling,5400,9.382839285714287e-6,1.0899135044642857e-5,0.0015224519055791752,16,2048
BLAS mul!,720,1.020517857142857e-6,0.0,0.000165588401226297,16,2048
Clculation of CDFs,5400,3.482521428571429e-5,1.934596470424107e-5,0.005650711073375547,16,2048
Computation of quantiles,5400,5.9015749999999995e-5,1.0081699916294643e-5,0.009575847812237604,16,2048
Internal multiplication,5400,9.921785714285714e-6,5.177089146205357e-6,0.001609900916715168,16,2048
Generating QMC points,20,0.0002743,0.883056640625,0.051214271820661225,64,2048
Cholesky,10,0.000495907,0.3521575927734375,0.09259028762584266,64,2048
Pre-allocation,10,0.004055055,36.994384765625,0.7571151622957761,64,2048
Affine scrambling,22680,4.0246392857142854e-5,1.0354178292410715e-5,0.007514362754600191,64,2048
BLAS mul!,720,1.3414285714285713e-6,1.9890921456473215e-5,0.00025045675350034315,64,2048
Clculation of CDFs,22680,0.00015059426785714287,1.0354178292410715e-5,0.02811730138049282,64,2048
Computation of quantiles,22680,0.00026144575,2.5885445731026785e-5,0.04881426797979088,64,2048
Internal multiplication,22680,7.70390892857143e-5,2.1798270089285715e-5,0.014383889389335625,64,2048
Generating QMC points,20,0.000792289,3.5637664794921875,0.016053663022023868,256,2048
Cholesky,10,0.014023058,5.14276123046875,0.28414056950215894,256,2048
Pre-allocation,10,0.031664773,150.25404357910156,0.6416037524323572,256,2048
Affine scrambling,91800,0.00018221094642857145,1.3078962053571428e-5,0.003692027950518472,256,2048
BLAS mul!,1800,0.0003378045357142857,1.8256051199776785e-5,0.006844724820953428,256,2048
Clculation of CDFs,91800,0.0007421557678571429,1.3896397181919643e-5,0.015037844280344605,256,2048
Computation of quantiles,91800,0.001213323125,1.6348702566964285e-5,0.024584817643030443,256,2048
Internal multiplication,91800,0.00039692273214285716,5.177089146205357e-6,0.008042600348613286,256,2048
Generating QMC points,20,0.00315245,14.286880493164062,0.005682107183293566,1024,2048
Cholesky,10,0.471134658,80.55313110351562,0.8491927308983037,1024,2048
Pre-allocation,10,0.06377315299999997,515.6714019775391,0.1149473871949054,1024,2048
Affine scrambling,368280,0.0009597340892857143,1.4986310686383928e-5,0.0017298646965953676,1024,2048
BLAS mul!,6480,0.006245685089285714,8.991786411830357e-6,0.011257482945144214,1024,2048
Clculation of CDFs,368280,0.003075317892857143,2.070835658482143e-5,0.00554308106073524,1024,2048
Computation of quantiles,368280,0.0049472975,1.71661376953125e-5,0.008917215074827612,1024,2048
Internal multiplication,368280,0.0015146847857142858,0.0,0.002730130946195061,1024,2048
Generating QMC points,20,0.023877563,57.17781066894531,0.0034673594424387416,4096,2048
Cholesky,10,6.174790791,1282.2318267822266,0.8966668480471662,4096,2048
Pre-allocation,10,0.5347996669999997,2599.5238037109375,0.07766046623709227,4096,2048
Affine scrambling,1474200,0.0063427054821428575,1.6621180943080356e-5,0.0009210504331667352,4096,2048
BLAS mul!,25920,0.10777644917857143,7.084437779017857e-6,0.015650662872582047,4096,2048
Clculation of CDFs,1474200,0.012597353142857143,9.5367431640625e-6,0.0018293136267558407,4096,2048
Computation of quantiles,1474200,0.019635410285714285,1.0354178292410715e-5,0.002851338943607026,4096,2048
Internal multiplication,1474200,0.006562449696428572,1.6076224190848215e-5,0.000952960397191324,4096,2048
Generating QMC points,20,0.001131086,1.9704742431640625,0.12605988322575046,16,20480
Cholesky,10,9.8094e-5,0.0334930419921875,0.010932606526070315,16,20480
Pre-allocation,10,0.006538166,11.519638061523438,0.7286806153294905,16,20480
Affine scrambling,48600,0.00011011451785714285,0.001609529767717634,0.012272296945175913,16,20480
BLAS mul!,6480,1.2104910714285714e-5,0.0003882816859654018,0.0013490960290384578,16,20480
Clculation of CDFs,48600,0.0003814749285714286,0.0017147064208984375,0.042515498334579155,16,20480
Computation of quantiles,48600,0.0005943205535714286,0.002041680472237723,0.06623720882574594,16,20480
