n,chol_fun,t_min,t_median,t_mean,t_max
16,cholesky_blas,1.0,1.1908571428571428,7.96054285714285,6543.571428571428
16,cholesky_blas_pivoted,1.8091428571428572,2.1662857142857144,3.9786205714285674,1622.096
16,chol_classic,0.904,1.1428571428571428,1.188525714285713,8.0
16,chol_genz,2.7142857142857144,3.6182857142857143,3.648952,8.524571428571429
16,chol_rowmax,1.3337142857142859,1.7611428571428571,1.7739291428571438,6.8102857142857145
32,cholesky_blas,1.0,1.5085435313262814,1.5224804719283962,11.628559804719284
32,cholesky_blas_pivoted,1.661513425549227,2.4918633034987794,2.506083807973962,9.560618388934092
32,chol_classic,1.322213181448332,1.6781936533767292,1.7037388120423098,3.49186330349878
32,chol_genz,3.18673718470301,4.288445890968267,4.207762001627342,8.153376729048006
32,chol_rowmax,1.6611065907241658,2.11920260374288,2.130065500406834,17.239625711960944
64,cholesky_blas,1.0,1.1852444444444443,2.2024675555555557,699.6296888888888
64,cholesky_blas_pivoted,3.1480888888888887,4.114755555555556,4.209983644444446,154.89635555555554
64,chol_classic,1.6888888888888889,1.8444444444444443,1.9661724444444442,93.61475555555555
64,chol_genz,5.318577777777777,6.844444444444444,6.7888965333333315,19.955555555555556
64,chol_rowmax,3.126044444444444,3.363022222222222,3.4182648888888885,11.37031111111111
128,cholesky_blas,1.0,1.1713259409651728,1.4027763548336722,44.67088344005415
128,cholesky_blas_pivoted,3.388203446301213,3.9054870112967883,4.175919568952056,49.50804310479463
128,chol_classic,1.5205372481649226,1.6246551095840491,1.6410683013170908,2.6680201988651153
128,chol_genz,9.682961111978761,10.014836795252226,10.086851996459991,15.719662658129002
128,chol_rowmax,6.8782862200010415,7.1082305169451825,7.1689016606798885,12.678536102868447
256,cholesky_blas,1.0,1.1528264290790944,1.2720107371306733,12.046476799675094
256,cholesky_blas_pivoted,6.159686262564728,6.550214488780586,6.711455553863337,17.806376281856025
256,chol_classic,1.4182911970758454,1.484922327139811,1.507141651436694,3.0190247740887397
256,chol_genz,10.574258808000812,11.00974083663316,11.085613818661795,12.674192811452938
256,chol_rowmax,8.249568484110062,8.633230531018377,8.689841544826884,10.885724439029342
512,cholesky_blas,1.0,1.1893933888598467,1.5017491179911062,46.92160493971865
512,cholesky_blas_pivoted,6.820574190720211,7.084007098266925,7.643125675425414,54.234950759875574
512,chol_classic,1.5543071336644918,1.6282985960528196,1.6369676756926554,2.03194220116601
512,chol_genz,9.43456490296144,9.572287221947429,9.605890773893943,11.339235271916603
512,chol_rowmax,7.775450498496189,8.004547766788644,8.026612089558187,9.143003823405996
1024,cholesky_blas,1.0,1.1548479792361883,1.5191346433073787,8.856538005190952
1024,cholesky_blas_pivoted,6.23336114200964,6.448948090470893,6.591025164256582,14.366379310344826
1024,chol_classic,0.8323908045977011,0.9603109010011124,0.9676275276232851,1.176276232851316
1024,chol_genz,5.3343685576566555,5.462365591397849,5.471712194660735,6.054968483500185
1024,chol_rowmax,4.880778272154245,5.010405079718206,5.022192685576567,5.315752317389692
2048,cholesky_blas,1.0,1.0813509886656756,1.0919581450733864,1.7954061550427252
2048,cholesky_blas_pivoted,4.699548962297029,4.827092051732427,4.826393775291976,5.71082410083476
2048,chol_classic,0.42768419338294006,0.43690638093232687,0.44923826171407544,0.7136885257105426
2048,chol_genz,2.8969529784238577,2.936157219877463,2.9610711504003078,3.28825822545024
2048,chol_rowmax,2.739363690835082,2.7699831447138035,2.80218140386747,3.1467738792824886
4096,cholesky_blas,1.0,1.0931252082886793,1.089708646811541,1.1696069065414745
4096,cholesky_blas_pivoted,2.1067024289398537,2.1781777108641993,2.1764580988446465,2.2322826434166947
4096,chol_classic,0.19006428428206953,0.2052339954781478,0.21044912822285675,0.3491184739094661
4096,chol_genz,1.2322477822873381,1.2452077044340424,1.2576577535210296,1.4402339678215597
4096,chol_rowmax,1.2041060526443155,1.215931620814348,1.2282532808941375,1.375400443196825
