n,chol_fun,t_min,t_median,t_mean,t_max
16,cholesky_blas,1.0,1.0,1.0,1.0
16,cholesky_blas_pivoted,0.9077097388886028,0.9077097388886028,0.9077097388886028,0.9077097388886028
16,chol_classic,0.2339187310089097,0.2339187310089097,0.2339187310089097,0.2339187310089097
16,chol_genz,0.35407117474378125,0.35407117474378125,0.35407117474378125,0.35407117474378125
16,chol_rowmax,0.5987021682031209,0.5987021682031209,0.5987021682031209,0.5987021682031209
32,cholesky_blas,1.0,1.0,1.0,1.0
32,cholesky_blas_pivoted,1.569551506657323,1.569551506657323,1.569551506657323,1.569551506657323
32,chol_classic,1.4088997897687456,1.4088997897687456,1.4088997897687456,1.4088997897687456
32,chol_genz,2.1751927119831813,2.1751927119831813,2.1751927119831813,2.1751927119831813
32,chol_rowmax,1.153468815697267,1.153468815697267,1.153468815697267,1.153468815697267
64,cholesky_blas,1.0,1.0,1.0,1.0
64,cholesky_blas_pivoted,1.0356910206740495,1.0356910206740495,1.0356910206740495,1.0356910206740495
64,chol_classic,2.62855281653924,2.62855281653924,2.62855281653924,2.62855281653924
64,chol_genz,1.2771282613912982,1.2771282613912982,1.2771282613912982,1.2771282613912982
64,chol_rowmax,0.7542770939760688,0.7542770939760688,0.7542770939760688,0.7542770939760688
128,cholesky_blas,1.0,1.0,1.0,1.0
128,cholesky_blas_pivoted,0.8169642857142857,0.8169642857142857,0.8169642857142857,0.8169642857142857
128,chol_classic,0.5424107142857143,0.5424107142857143,0.5424107142857143,0.5424107142857143
128,chol_genz,1.14025,1.14025,1.14025,1.14025
128,chol_rowmax,0.7064732142857143,0.7064732142857143,0.7064732142857143,0.7064732142857143
256,cholesky_blas,1.0,1.0,1.0,1.0
256,cholesky_blas_pivoted,3.6682046120547604,3.6682046120547604,3.6682046120547604,3.6682046120547604
256,chol_classic,1.8591577522245284,1.8591577522245284,1.8591577522245284,1.8591577522245284
256,chol_genz,3.9398731640405806,3.9398731640405806,3.9398731640405806,3.9398731640405806
256,chol_rowmax,7.281858182433576,7.281858182433576,7.281858182433576,7.281858182433576
512,cholesky_blas,1.0,1.0,1.0,1.0
512,cholesky_blas_pivoted,1.7410854390996156,1.7410854390996156,1.7410854390996156,1.7410854390996156
512,chol_classic,0.6957415724257345,0.6957415724257345,0.6957415724257345,0.6957415724257345
512,chol_genz,2.0208863156755585,2.0208863156755585,2.0208863156755585,2.0208863156755585
512,chol_rowmax,1.7192792597803146,1.7192792597803146,1.7192792597803146,1.7192792597803146
1024,cholesky_blas,1.0,1.0,1.0,1.0
1024,cholesky_blas_pivoted,2.5325721064729,2.5325721064729,2.5325721064729,2.5325721064729
1024,chol_classic,0.4495341588196041,0.4495341588196041,0.4495341588196041,0.4495341588196041
1024,chol_genz,2.7490225550530143,2.7490225550530143,2.7490225550530143,2.7490225550530143
1024,chol_rowmax,2.6690195892340776,2.6690195892340776,2.6690195892340776,2.6690195892340776
2048,cholesky_blas,1.0,1.0,1.0,1.0
2048,cholesky_blas_pivoted,4.021453818350822,4.021453818350822,4.021453818350822,4.021453818350822
2048,chol_classic,1.379055585674066,1.379055585674066,1.379055585674066,1.379055585674066
2048,chol_genz,3.811648306697795,3.811648306697795,3.811648306697795,3.811648306697795
2048,chol_rowmax,3.339999267526996,3.339999267526996,3.339999267526996,3.339999267526996
4096,cholesky_blas,1.0,1.0,1.0,1.0
4096,cholesky_blas_pivoted,3.789641730415999,3.789641730415999,3.789641730415999,3.789641730415999
4096,chol_classic,1.1502162454520597,1.1502162454520597,1.1502162454520597,1.1502162454520597
4096,chol_genz,3.1856652835739276,3.1856652835739276,3.1856652835739276,3.1856652835739276
4096,chol_rowmax,2.9538232874497807,2.9538232874497807,2.9538232874497807,2.9538232874497807
