n,m,val_s,val_r,sd_s,sd_r,t_s,t_r
16.0,1024.0,0.463365029184728,0.4633745929760945,0.00037253060802872035,0.0002731996434319127,0.1772146215,0.1769754185
16.0,2048.0,0.4633763863379456,0.46337799722468315,0.00017297784323241499,0.00017372788794161632,0.17597209,0.17572513
16.0,4096.0,0.46337989270637703,0.46337772040408304,0.0001375202188281709,0.00011161752212731526,0.17705175699999998,0.1767571765
16.0,8192.0,0.46337347497955783,0.4633744423296452,5.4092633878746574e-5,8.224686248237054e-5,0.17882103500000002,0.178442494
16.0,16384.0,0.46337604322265863,0.4633764893023625,4.2941753705350276e-5,7.047607259205203e-5,0.18078488450000002,0.180108732
16.0,32768.0,0.4633741546416087,0.46337610829086645,3.461835612333333e-5,4.1219782882739146e-5,0.17810603600000002,0.1767077195
64.0,1024.0,0.5956597121038112,0.5956278905282266,0.0010374087744516878,0.0007939963140313049,0.1769085585,0.1764144995
64.0,2048.0,0.5956042516483456,0.5956166995750941,0.0005623075061306516,0.0005028583933737091,0.1767154135,0.17627398
64.0,4096.0,0.5956267505051924,0.5956513400038704,0.0004286105203306707,0.0003594136855506119,0.1788631175,0.178046018
64.0,8192.0,0.5956420580596636,0.5956195956382329,0.00020485589102412361,0.00029015063287496937,0.1795227835,0.178307463
64.0,16384.0,0.5956228684829731,0.595640727878063,0.00015062286980205451,0.00025299017835668053,0.181526277,0.1796006505
64.0,32768.0,0.5956267177986967,0.5956290346290554,0.00011208666764755697,0.00019335581132916437,0.18436508000000001,0.181529895
256.0,1024.0,0.6980149807928961,0.6980938066500234,0.0014569470541286674,0.0010791213199168091,0.29845206,0.17973217000000002
256.0,2048.0,0.698090306275211,0.6980489906858821,0.0008030209929345804,0.0006520261520556982,0.28935690999999997,0.18021884300000002
256.0,4096.0,0.6980715727821589,0.6980769201465332,0.0005855790482649062,0.0004660269999660393,0.3032770535,0.1801349455
256.0,8192.0,0.6980819263047242,0.6980944271714706,0.0003006329873078415,0.00037380972952061076,0.3139557065,0.1817457475
256.0,16384.0,0.6980969642380227,0.6980858212914491,0.00021287280240561945,0.0003362828597646512,0.32941632499999995,0.1817763565
256.0,32768.0,0.6980782185226955,0.6980818750375978,0.00015816560419226386,0.00026022250867251,0.307730428,0.137172724
1024.0,1024.0,0.773842441175182,0.773806801699089,0.0014955422693731918,0.0011569722339686305,0.32439741499999997,0.179764649
1024.0,2048.0,0.7738334470292411,0.7738054788290853,0.0008702271814050058,0.0006868583310571133,0.32503612000000004,0.172806996
1024.0,4096.0,0.7738053669247134,0.7738071715952887,0.0006346778935509351,0.000467033642847808,0.290270959,0.1050949015
1024.0,8192.0,0.7737858864887307,0.7738000511322637,0.000374821180332712,0.0003551883066749347,0.34381805899999995,0.161047836
1024.0,16384.0,0.773784877922684,0.7737871911496139,0.00024804363361203766,0.0002799382651913956,0.445737695,0.280858369
1024.0,32768.0,0.7737955550831384,0.7738092849409987,0.0001760394833432925,0.00021241497831296852,0.6523144345,0.5081225865
