method,median,min,max,Q1,Q3,n,n_pts,matrix
pnorm,0.020103084,0.020103084,0.020103084,0.020103084,0.020103084,256,24576,mattern_cov1
pnorm32,0.31408125,0.31408125,0.31408125,0.31408125,0.31408125,256,24576,mattern_cov1
pnorm_sparse,0.62740325,0.62740325,0.62740325,0.62740325,0.62740325,256,24576,mattern_cov1
pnorm_sparse32,0.526604,0.526604,0.526604,0.526604,0.526604,256,24576,mattern_cov1
tlr,0.44299999999998363,0.44299999999998363,0.44299999999998363,0.44299999999998363,0.44299999999998363,256,24576,mattern_cov1
pnorm,0.11171575,0.11171575,0.11171575,0.11171575,0.11171575,256,245760,mattern_cov1
pnorm32,0.072170542,0.072170542,0.072170542,0.072170542,0.072170542,256,245760,mattern_cov1
pnorm_sparse,0.082177333,0.082177333,0.082177333,0.082177333,0.082177333,256,245760,mattern_cov1
pnorm_sparse32,0.0440895,0.0440895,0.0440895,0.0440895,0.0440895,256,245760,mattern_cov1
tlr,5.102000000000089,5.102000000000089,5.102000000000089,5.102000000000089,5.102000000000089,256,245760,mattern_cov1
pnorm,0.062463541,0.062463541,0.062463541,0.062463541,0.062463541,512,24576,mattern_cov1
pnorm32,0.066043625,0.066043625,0.066043625,0.066043625,0.066043625,512,24576,mattern_cov1
pnorm_sparse,0.0365045,0.0365045,0.0365045,0.0365045,0.0365045,512,24576,mattern_cov1
pnorm_sparse32,0.01648225,0.01648225,0.01648225,0.01648225,0.01648225,512,24576,mattern_cov1
tlr,0.9780000000000655,0.9780000000000655,0.9780000000000655,0.9780000000000655,0.9780000000000655,512,24576,mattern_cov1
pnorm,0.211730667,0.211730667,0.211730667,0.211730667,0.211730667,512,245760,mattern_cov1
pnorm32,0.136788625,0.136788625,0.136788625,0.136788625,0.136788625,512,245760,mattern_cov1
pnorm_sparse,0.144660542,0.144660542,0.144660542,0.144660542,0.144660542,512,245760,mattern_cov1
pnorm_sparse32,0.084087875,0.084087875,0.084087875,0.084087875,0.084087875,512,245760,mattern_cov1
tlr,11.093999999999824,11.093999999999824,11.093999999999824,11.093999999999824,11.093999999999824,512,245760,mattern_cov1
pnorm,0.164559833,0.164559833,0.164559833,0.164559833,0.164559833,1024,24576,mattern_cov1
pnorm32,0.079022959,0.079022959,0.079022959,0.079022959,0.079022959,1024,24576,mattern_cov1
pnorm_sparse,0.083214667,0.083214667,0.083214667,0.083214667,0.083214667,1024,24576,mattern_cov1
pnorm_sparse32,0.061305084,0.061305084,0.061305084,0.061305084,0.061305084,1024,24576,mattern_cov1
tlr,2.32100000000014,2.32100000000014,2.32100000000014,2.32100000000014,2.32100000000014,1024,24576,mattern_cov1
pnorm,0.562776792,0.562776792,0.562776792,0.562776792,0.562776792,1024,245760,mattern_cov1
pnorm32,0.312867209,0.312867209,0.312867209,0.312867209,0.312867209,1024,245760,mattern_cov1
pnorm_sparse,0.369130083,0.369130083,0.369130083,0.369130083,0.369130083,1024,245760,mattern_cov1
pnorm_sparse32,0.189404,0.189404,0.189404,0.189404,0.189404,1024,245760,mattern_cov1
tlr,26.492999999999938,26.492999999999938,26.492999999999938,26.492999999999938,26.492999999999938,1024,245760,mattern_cov1
pnorm,0.32229475,0.32229475,0.32229475,0.32229475,0.32229475,2048,24576,mattern_cov1
pnorm32,0.158416541,0.158416541,0.158416541,0.158416541,0.158416541,2048,24576,mattern_cov1
pnorm_sparse,0.224306291,0.224306291,0.224306291,0.224306291,0.224306291,2048,24576,mattern_cov1
pnorm_sparse32,0.10828,0.10828,0.10828,0.10828,0.10828,2048,24576,mattern_cov1
tlr,6.004000000000133,6.004000000000133,6.004000000000133,6.004000000000133,6.004000000000133,2048,24576,mattern_cov1
pnorm,1.510109791,1.510109791,1.510109791,1.510109791,1.510109791,2048,245760,mattern_cov1
pnorm32,0.785055833,0.785055833,0.785055833,0.785055833,0.785055833,2048,245760,mattern_cov1
pnorm_sparse,1.010730125,1.010730125,1.010730125,1.010730125,1.010730125,2048,245760,mattern_cov1
pnorm_sparse32,0.381895667,0.381895667,0.381895667,0.381895667,0.381895667,2048,245760,mattern_cov1
tlr,70.2030000000002,70.2030000000002,70.2030000000002,70.2030000000002,70.2030000000002,2048,245760,mattern_cov1
pnorm,0.87166175,0.87166175,0.87166175,0.87166175,0.87166175,4096,24576,mattern_cov1
pnorm32,0.445131833,0.445131833,0.445131833,0.445131833,0.445131833,4096,24576,mattern_cov1
pnorm_sparse,0.62364125,0.62364125,0.62364125,0.62364125,0.62364125,4096,24576,mattern_cov1
pnorm_sparse32,0.227744459,0.227744459,0.227744459,0.227744459,0.227744459,4096,24576,mattern_cov1
tlr,20.853999999999814,20.853999999999814,20.853999999999814,20.853999999999814,20.853999999999814,4096,24576,mattern_cov1
pnorm,4.576198291,4.576198291,4.576198291,4.576198291,4.576198291,4096,245760,mattern_cov1
pnorm32,1.909358917,1.909358917,1.909358917,1.909358917,1.909358917,4096,245760,mattern_cov1
pnorm_sparse,2.525326042,2.525326042,2.525326042,2.525326042,2.525326042,4096,245760,mattern_cov1
pnorm_sparse32,0.83194825,0.83194825,0.83194825,0.83194825,0.83194825,4096,245760,mattern_cov1
tlr,223.1969999999999,223.1969999999999,223.1969999999999,223.1969999999999,223.1969999999999,4096,245760,mattern_cov1
pnorm,0.018654417,0.018654417,0.018654417,0.018654417,0.018654417,256,24576,mattern_cov2
pnorm32,0.042407625,0.042407625,0.042407625,0.042407625,0.042407625,256,24576,mattern_cov2
pnorm_sparse,0.011818084,0.011818084,0.011818084,0.011818084,0.011818084,256,24576,mattern_cov2
pnorm_sparse32,0.008086959,0.008086959,0.008086959,0.008086959,0.008086959,256,24576,mattern_cov2
tlr,0.4089999999998781,0.4089999999998781,0.4089999999998781,0.4089999999998781,0.4089999999998781,256,24576,mattern_cov2
pnorm,0.132382583,0.132382583,0.132382583,0.132382583,0.132382583,256,245760,mattern_cov2
pnorm32,0.068481792,0.068481792,0.068481792,0.068481792,0.068481792,256,245760,mattern_cov2
pnorm_sparse,0.074334833,0.074334833,0.074334833,0.074334833,0.074334833,256,245760,mattern_cov2
pnorm_sparse32,0.050630375,0.050630375,0.050630375,0.050630375,0.050630375,256,245760,mattern_cov2
tlr,4.642000000000053,4.642000000000053,4.642000000000053,4.642000000000053,4.642000000000053,256,245760,mattern_cov2
pnorm,0.06715325,0.06715325,0.06715325,0.06715325,0.06715325,512,24576,mattern_cov2
pnorm32,0.061271708,0.061271708,0.061271708,0.061271708,0.061271708,512,24576,mattern_cov2
pnorm_sparse,0.033842458,0.033842458,0.033842458,0.033842458,0.033842458,512,24576,mattern_cov2
pnorm_sparse32,0.017338917,0.017338917,0.017338917,0.017338917,0.017338917,512,24576,mattern_cov2
tlr,0.8930000000000291,0.8930000000000291,0.8930000000000291,0.8930000000000291,0.8930000000000291,512,24576,mattern_cov2
pnorm,0.206790833,0.206790833,0.206790833,0.206790833,0.206790833,512,245760,mattern_cov2
pnorm32,0.129109458,0.129109458,0.129109458,0.129109458,0.129109458,512,245760,mattern_cov2
pnorm_sparse,0.133696084,0.133696084,0.133696084,0.133696084,0.133696084,512,245760,mattern_cov2
pnorm_sparse32,0.077710458,0.077710458,0.077710458,0.077710458,0.077710458,512,245760,mattern_cov2
tlr,10.451000000000022,10.451000000000022,10.451000000000022,10.451000000000022,10.451000000000022,512,245760,mattern_cov2
pnorm,0.149203666,0.149203666,0.149203666,0.149203666,0.149203666,1024,24576,mattern_cov2
pnorm32,0.109725083,0.109725083,0.109725083,0.109725083,0.109725083,1024,24576,mattern_cov2
pnorm_sparse,0.093859125,0.093859125,0.093859125,0.093859125,0.093859125,1024,24576,mattern_cov2
pnorm_sparse32,0.040928584,0.040928584,0.040928584,0.040928584,0.040928584,1024,24576,mattern_cov2
tlr,2.0779999999999745,2.0779999999999745,2.0779999999999745,2.0779999999999745,2.0779999999999745,1024,24576,mattern_cov2
pnorm,0.519754625,0.519754625,0.519754625,0.519754625,0.519754625,1024,245760,mattern_cov2
pnorm32,0.3041775,0.3041775,0.3041775,0.3041775,0.3041775,1024,245760,mattern_cov2
pnorm_sparse,0.295245125,0.295245125,0.295245125,0.295245125,0.295245125,1024,245760,mattern_cov2
pnorm_sparse32,0.171516875,0.171516875,0.171516875,0.171516875,0.171516875,1024,245760,mattern_cov2
tlr,25.06600000000003,25.06600000000003,25.06600000000003,25.06600000000003,25.06600000000003,1024,245760,mattern_cov2
pnorm,0.31955025,0.31955025,0.31955025,0.31955025,0.31955025,2048,24576,mattern_cov2
pnorm32,0.161597875,0.161597875,0.161597875,0.161597875,0.161597875,2048,24576,mattern_cov2
pnorm_sparse,0.174883333,0.174883333,0.174883333,0.174883333,0.174883333,2048,24576,mattern_cov2
pnorm_sparse32,0.097035125,0.097035125,0.097035125,0.097035125,0.097035125,2048,24576,mattern_cov2
tlr,6.051000000000158,6.051000000000158,6.051000000000158,6.051000000000158,6.051000000000158,2048,24576,mattern_cov2
pnorm,1.507423416,1.507423416,1.507423416,1.507423416,1.507423416,2048,245760,mattern_cov2
pnorm32,0.778451583,0.778451583,0.778451583,0.778451583,0.778451583,2048,245760,mattern_cov2
pnorm_sparse,0.548589667,0.548589667,0.548589667,0.548589667,0.548589667,2048,245760,mattern_cov2
pnorm_sparse32,0.340908208,0.340908208,0.340908208,0.340908208,0.340908208,2048,245760,mattern_cov2
tlr,70.38599999999997,70.38599999999997,70.38599999999997,70.38599999999997,70.38599999999997,2048,245760,mattern_cov2
pnorm,0.944301375,0.944301375,0.944301375,0.944301375,0.944301375,4096,24576,mattern_cov2
pnorm32,0.474460792,0.474460792,0.474460792,0.474460792,0.474460792,4096,24576,mattern_cov2
pnorm_sparse,0.388893667,0.388893667,0.388893667,0.388893667,0.388893667,4096,24576,mattern_cov2
pnorm_sparse32,0.2285245,0.2285245,0.2285245,0.2285245,0.2285245,4096,24576,mattern_cov2
tlr,20.664999999999964,20.664999999999964,20.664999999999964,20.664999999999964,20.664999999999964,4096,24576,mattern_cov2
pnorm,4.821268167,4.821268167,4.821268167,4.821268167,4.821268167,4096,245760,mattern_cov2
pnorm32,1.930920541,1.930920541,1.930920541,1.930920541,1.930920541,4096,245760,mattern_cov2
pnorm_sparse,1.231801292,1.231801292,1.231801292,1.231801292,1.231801292,4096,245760,mattern_cov2
pnorm_sparse32,0.653526625,0.653526625,0.653526625,0.653526625,0.653526625,4096,245760,mattern_cov2
tlr,226.57699999999977,226.57699999999977,226.57699999999977,226.57699999999977,226.57699999999977,4096,245760,mattern_cov2
pnorm,0.020124291,0.020124291,0.020124291,0.020124291,0.020124291,256,24576,fixed_spd
pnorm32,0.043334042,0.043334042,0.043334042,0.043334042,0.043334042,256,24576,fixed_spd
pnorm_sparse,0.018745417,0.018745417,0.018745417,0.018745417,0.018745417,256,24576,fixed_spd
pnorm_sparse32,0.011887459,0.011887459,0.011887459,0.011887459,0.011887459,256,24576,fixed_spd
tlr,0.4070000000001528,0.4070000000001528,0.4070000000001528,0.4070000000001528,0.4070000000001528,256,24576,fixed_spd
pnorm,0.102091791,0.102091791,0.102091791,0.102091791,0.102091791,256,245760,fixed_spd
pnorm32,0.090963167,0.090963167,0.090963167,0.090963167,0.090963167,256,245760,fixed_spd
pnorm_sparse,0.150342958,0.150342958,0.150342958,0.150342958,0.150342958,256,245760,fixed_spd
pnorm_sparse32,0.082018667,0.082018667,0.082018667,0.082018667,0.082018667,256,245760,fixed_spd
tlr,4.673999999999978,4.673999999999978,4.673999999999978,4.673999999999978,4.673999999999978,256,245760,fixed_spd
pnorm,0.046109083,0.046109083,0.046109083,0.046109083,0.046109083,512,24576,fixed_spd
pnorm32,0.035664042,0.035664042,0.035664042,0.035664042,0.035664042,512,24576,fixed_spd
pnorm_sparse,0.081524125,0.081524125,0.081524125,0.081524125,0.081524125,512,24576,fixed_spd
pnorm_sparse32,0.0279125,0.0279125,0.0279125,0.0279125,0.0279125,512,24576,fixed_spd
tlr,0.8910000000000764,0.8910000000000764,0.8910000000000764,0.8910000000000764,0.8910000000000764,512,24576,fixed_spd
pnorm,0.241944458,0.241944458,0.241944458,0.241944458,0.241944458,512,245760,fixed_spd
pnorm32,0.144371791,0.144371791,0.144371791,0.144371791,0.144371791,512,245760,fixed_spd
pnorm_sparse,0.4504395,0.4504395,0.4504395,0.4504395,0.4504395,512,245760,fixed_spd
pnorm_sparse32,0.206164417,0.206164417,0.206164417,0.206164417,0.206164417,512,245760,fixed_spd
tlr,10.510000000000218,10.510000000000218,10.510000000000218,10.510000000000218,10.510000000000218,512,245760,fixed_spd
pnorm,0.151856625,0.151856625,0.151856625,0.151856625,0.151856625,1024,24576,fixed_spd
pnorm32,0.095320083,0.095320083,0.095320083,0.095320083,0.095320083,1024,24576,fixed_spd
pnorm_sparse,0.193382916,0.193382916,0.193382916,0.193382916,0.193382916,1024,24576,fixed_spd
pnorm_sparse32,0.082463167,0.082463167,0.082463167,0.082463167,0.082463167,1024,24576,fixed_spd
tlr,2.0909999999998945,2.0909999999998945,2.0909999999998945,2.0909999999998945,2.0909999999998945,1024,24576,fixed_spd
pnorm,0.545022417,0.545022417,0.545022417,0.545022417,0.545022417,1024,245760,fixed_spd
pnorm32,0.303827583,0.303827583,0.303827583,0.303827583,0.303827583,1024,245760,fixed_spd
pnorm_sparse,1.549059292,1.549059292,1.549059292,1.549059292,1.549059292,1024,245760,fixed_spd
pnorm_sparse32,0.729071959,0.729071959,0.729071959,0.729071959,0.729071959,1024,245760,fixed_spd
tlr,25.18899999999985,25.18899999999985,25.18899999999985,25.18899999999985,25.18899999999985,1024,245760,fixed_spd
pnorm,0.315844625,0.315844625,0.315844625,0.315844625,0.315844625,2048,24576,fixed_spd
pnorm32,0.166552709,0.166552709,0.166552709,0.166552709,0.166552709,2048,24576,fixed_spd
pnorm_sparse,0.619396084,0.619396084,0.619396084,0.619396084,0.619396084,2048,24576,fixed_spd
pnorm_sparse32,0.298902625,0.298902625,0.298902625,0.298902625,0.298902625,2048,24576,fixed_spd
tlr,5.980999999999767,5.980999999999767,5.980999999999767,5.980999999999767,5.980999999999767,2048,24576,fixed_spd
pnorm,1.499544542,1.499544542,1.499544542,1.499544542,1.499544542,2048,245760,fixed_spd
pnorm32,0.777936583,0.777936583,0.777936583,0.777936583,0.777936583,2048,245760,fixed_spd
pnorm_sparse,5.616177584,5.616177584,5.616177584,5.616177584,5.616177584,2048,245760,fixed_spd
pnorm_sparse32,2.506205417,2.506205417,2.506205417,2.506205417,2.506205417,2048,245760,fixed_spd
tlr,77.08100000000013,77.08100000000013,77.08100000000013,77.08100000000013,77.08100000000013,2048,245760,fixed_spd
pnorm,0.832358583,0.832358583,0.832358583,0.832358583,0.832358583,4096,24576,fixed_spd
pnorm32,0.424791209,0.424791209,0.424791209,0.424791209,0.424791209,4096,24576,fixed_spd
pnorm_sparse,2.2568505,2.2568505,2.2568505,2.2568505,2.2568505,4096,24576,fixed_spd
pnorm_sparse32,1.023615667,1.023615667,1.023615667,1.023615667,1.023615667,4096,24576,fixed_spd
tlr,20.72799999999961,20.72799999999961,20.72799999999961,20.72799999999961,20.72799999999961,4096,24576,fixed_spd
