method,median,min,max,Q1,Q3,n,n_pts,matrix
pnorm,0.0179964845,0.011028902,0.107921272,0.012094536500000001,0.03144729625,256,24576,mattern_cov1
pnorm32,0.00959473,0.008402665,0.460686103,0.00901531875,0.028778241250000003,256,24576,mattern_cov1
pnorm_sparse,0.18269417999999998,0.032698099,0.275202489,0.1808572705,0.18743165099999998,256,24576,mattern_cov1
pnorm_sparse32,0.1797086555,0.15462375,1.108275037,0.178454906,0.18071773375,256,24576,mattern_cov1
tlr,1.1235,1.0869999999999962,1.6430000000000007,1.1119999999999948,1.1389999999999851,256,24576,mattern_cov1
pnorm,0.07129458150000001,0.069239444,0.195857323,0.07058250299999999,0.07223355249999999,256,245760,mattern_cov1
pnorm32,0.097118438,0.040041888,0.229872233,0.059312449,0.177518027,256,245760,mattern_cov1
pnorm_sparse,0.19074112599999998,0.176071029,0.257866934,0.1888536585,0.22533439,256,245760,mattern_cov1
pnorm_sparse32,0.18524176450000002,0.174382808,0.247159773,0.18348931449999997,0.19019342625,256,245760,mattern_cov1
tlr,13.813999999999965,13.505000000000052,14.217999999999961,13.697500000000105,13.974500000000063,256,245760,mattern_cov1
pnorm,0.059839264,0.039007003,0.218191051,0.054244495000000004,0.09201795,512,24576,mattern_cov1
pnorm32,0.036607213,0.028914466,0.096783641,0.035222118000000004,0.049512871750000007,512,24576,mattern_cov1
pnorm_sparse,0.2006498605,0.186767867,0.267026632,0.1923804865,0.20838828175,512,24576,mattern_cov1
pnorm_sparse32,0.1872565025,0.168869165,0.242731118,0.18641284,0.19219569325000002,512,24576,mattern_cov1
tlr,4.055000000000064,3.7180000000000746,4.376999999999953,3.9782500000000596,4.154999999999973,512,24576,mattern_cov1
pnorm,0.1778569825,0.117278886,0.373548325,0.146903026,0.21212424625,512,245760,mattern_cov1
pnorm32,0.14545745599999998,0.085157936,0.260033616,0.10322362625,0.186768143,512,245760,mattern_cov1
pnorm_sparse,0.2039828825,0.159125414,0.254178941,0.17881268649999998,0.20955296425,512,245760,mattern_cov1
pnorm_sparse32,0.19344014199999998,0.176706242,0.252497374,0.18788397750000002,0.2255145535,512,245760,mattern_cov1
tlr,29.77900000000045,28.641999999999825,31.222999999999956,29.374250000000075,30.096500000000106,512,245760,mattern_cov1
pnorm,0.16654550550000002,0.102806357,0.223556198,0.12675191425,0.17480718525,1024,24576,mattern_cov1
pnorm32,0.10436819,0.081519508,0.204952321,0.092768091,0.1415127755,1024,24576,mattern_cov1
pnorm_sparse,0.22246826749999998,0.164514411,0.307444365,0.202453692,0.24627729925000003,1024,24576,mattern_cov1
pnorm_sparse32,0.2378861035,0.185477788,0.303269666,0.20361482874999998,0.251137523,1024,24576,mattern_cov1
tlr,14.249999999999545,13.536000000000058,14.95300000000043,14.070749999999634,14.432500000000346,1024,24576,mattern_cov1
pnorm,0.419344158,0.333108438,0.637502364,0.38053219025,0.43712112550000004,1024,245760,mattern_cov1
pnorm32,0.273979789,0.224818919,0.442312257,0.25524707975,0.29273079174999994,1024,245760,mattern_cov1
pnorm_sparse,0.3238688625,0.27462741,0.378437064,0.31813616425,0.3305797315,1024,245760,mattern_cov1
pnorm_sparse32,0.234387524,0.181858971,0.298831834,0.22447558224999997,0.25648217425,1024,245760,mattern_cov1
tlr,64.99000000000024,63.36099999999897,94.58899999999994,64.42800000000034,65.8740000000007,1024,245760,mattern_cov1
pnorm,0.42694314,0.360184442,0.512099055,0.407403957,0.46277456325,2048,24576,mattern_cov1
pnorm32,0.267813437,0.214308275,0.327258175,0.2497752895,0.282779697,2048,24576,mattern_cov1
pnorm_sparse,0.27643669449999997,0.18718778,0.42443643,0.2460660375,0.29989113725,2048,24576,mattern_cov1
pnorm_sparse32,0.247604596,0.185341269,0.302292749,0.21657347625,0.27253922650000006,2048,24576,mattern_cov1
tlr,36.5625,34.80199999999968,67.21700000000055,36.27199999999948,37.005500000000666,2048,24576,mattern_cov1
pnorm,1.01981232,0.953898797,1.496160195,1.00885401,1.04487519625,2048,245760,mattern_cov1
pnorm32,0.6728426465,0.58285731,1.011980538,0.656810949,0.74424368875,2048,245760,mattern_cov1
pnorm_sparse,0.633866764,0.562546164,0.911511628,0.6067600852499999,0.6790483489999999,2048,245760,mattern_cov1
pnorm_sparse32,0.41225458000000004,0.388931937,0.518143579,0.40093127424999997,0.430442411,2048,245760,mattern_cov1
tlr,157.23449999999866,149.8110000000015,167.91200000000026,153.4082499999995,161.3002499999984,2048,245760,mattern_cov1
pnorm,1.4655223025,1.227413616,1.636022,1.425432935,1.4987155075,4096,24576,mattern_cov1
pnorm32,0.7767214015,0.663756003,0.910674509,0.7452522305,0.8169976357500001,4096,24576,mattern_cov1
pnorm_sparse,0.620206867,0.590745758,0.711247707,0.6112430005,0.63054715675,4096,24576,mattern_cov1
pnorm_sparse32,0.3949570605,0.363262959,0.633328633,0.38646113649999997,0.41266329749999997,4096,24576,mattern_cov1
tlr,86.09549999999945,83.14500000000407,100.71100000000297,85.6142499999969,86.86124999999629,4096,24576,mattern_cov1
pnorm,3.116180129,2.946955396,4.057307011,3.038148631,3.237778287,4096,245760,mattern_cov1
pnorm32,1.7535950765,1.70338493,2.515171,1.7340267702499998,1.77274570375,4096,245760,mattern_cov1
pnorm_sparse,1.520672916,1.434649857,2.125841614,1.48831299775,1.58261636525,4096,245760,mattern_cov1
pnorm_sparse32,0.893635607,0.845976214,1.237808555,0.8764924715,1.06829276175,4096,245760,mattern_cov1
tlr,417.32550000000265,393.0500000000029,455.59999999999854,410.91300000000956,427.57374999999774,4096,245760,mattern_cov1
