method,median,min,max,Q1,Q3,n,n_pts,matrix
pnorm32,0.0118973335,0.010582958,0.055184917,0.0113918125,0.0219584585,256,24576,mattern_cov1
pnorm_sparse32,0.0102831875,0.0095155,0.043109417,0.01016947925,0.010940177000000002,256,24576,mattern_cov1
pnorm32,0.06805008300000001,0.057761708,0.076487042,0.06723059375000001,0.06930112525,256,245760,mattern_cov1
pnorm_sparse32,0.06268341699999999,0.061346042,0.067654041,0.061789365,0.06383566674999999,256,245760,mattern_cov1
pnorm32,0.025048854500000002,0.023343042,0.05852475,0.024551603749999998,0.03617876025,512,24576,mattern_cov1
pnorm_sparse32,0.021269292,0.020168333,0.05328175,0.0210094375,0.031920302,512,24576,mattern_cov1
pnorm32,0.1327763755,0.118143375,0.177670875,0.12790446849999998,0.144575979,512,245760,mattern_cov1
pnorm_sparse32,0.116539854,0.103161917,0.15256225,0.11431877075,0.12844558325,512,245760,mattern_cov1
pnorm32,0.06900756250000001,0.057693208,0.11034275,0.0594702605,0.084665333,1024,24576,mattern_cov1
pnorm_sparse32,0.0559512915,0.046057458,0.10442975,0.047323385,0.0605675415,1024,24576,mattern_cov1
pnorm32,0.292840458,0.271512792,0.380636375,0.282372448,0.30992106225,1024,245760,mattern_cov1
pnorm_sparse32,0.250220125,0.2206885,0.296728417,0.2376787185,0.26367641675,1024,245760,mattern_cov1
pnorm32,0.1657116455,0.14144325,0.209229792,0.153864114,0.17414940599999998,2048,24576,mattern_cov1
pnorm_sparse32,0.1253693955,0.10231875,0.160717125,0.11230890625,0.1342824895,2048,24576,mattern_cov1
pnorm32,0.7842733125,0.731559834,0.830033584,0.76914190625,0.7908263544999999,2048,245760,mattern_cov1
pnorm_sparse32,0.5451088335000001,0.525981209,0.619608167,0.5400912395,0.552416521,2048,245760,mattern_cov1
pnorm32,0.4447855625,0.404604666,0.488260292,0.4330675835,0.45451592674999997,4096,24576,mattern_cov1
pnorm_sparse32,0.2986676875,0.274260041,0.339988209,0.29250230225,0.3124734585,4096,24576,mattern_cov1
pnorm32,1.9814478125,1.939900958,2.129964042,1.9681574794999999,2.0136376562500002,4096,245760,mattern_cov1
pnorm_sparse32,1.1592684165,1.114954292,1.239796458,1.14049289625,1.19013730275,4096,245760,mattern_cov1
pnorm32,0.011913479,0.010679,0.04436525,0.011366041749999998,0.022276583,256,24576,mattern_cov2
pnorm_sparse32,0.010135103999999999,0.009718833,0.039235042,0.01003311525,0.01120817725,256,24576,mattern_cov2
pnorm32,0.065876729,0.055307917,0.092163666,0.05670984325,0.06960723975000001,256,245760,mattern_cov2
pnorm_sparse32,0.0632719585,0.061339834,0.089508125,0.0628590105,0.064038802,256,245760,mattern_cov2
pnorm32,0.024625750000000002,0.0223955,0.058181458,0.023951697499999997,0.03542297925,512,24576,mattern_cov2
pnorm_sparse32,0.020753,0.01985025,0.054632167,0.020444875,0.0317326355,512,24576,mattern_cov2
pnorm32,0.13187502099999998,0.117595583,0.170140375,0.1271689795,0.1441400005,512,245760,mattern_cov2
pnorm_sparse32,0.1135805835,0.100588584,0.139759958,0.1118687605,0.120784042,512,245760,mattern_cov2
pnorm32,0.0655030625,0.052712083,0.102257666,0.055350437749999995,0.07933594775,1024,24576,mattern_cov2
pnorm_sparse32,0.0461013955,0.042838208,0.082119542,0.045159895250000005,0.056964864500000004,1024,24576,mattern_cov2
pnorm32,0.278126833,0.260659417,0.345162167,0.272537761,0.2916299895,1024,245760,mattern_cov2
pnorm_sparse32,0.2328108955,0.207603125,0.277031709,0.22203415625,0.24314050025,1024,245760,mattern_cov2
pnorm32,0.1627311045,0.137128125,0.200267709,0.14963097925000002,0.17159542675,2048,24576,mattern_cov2
