method,median,min,max,Q1,Q3,n,n_pts,matrix
pnorm32,0.007303657,0.006874863,0.076513894,0.007068827,0.026430223,256,24576,mattern_cov1
pnorm_sparse32,0.0061932875,0.005945158,0.066517722,0.0061050015,0.0074744075,256,24576,mattern_cov1
pnorm32,0.096614958,0.040639838,0.242903917,0.058886565749999994,0.17594226775,256,245760,mattern_cov1
pnorm_sparse32,0.035323847,0.030204056,0.186233451,0.03276729,0.055487385,256,245760,mattern_cov1
pnorm32,0.0339370845,0.028229764,0.079526386,0.033321967,0.039829281,512,24576,mattern_cov1
pnorm_sparse32,0.038613846,0.032703763,0.102209896,0.03751886125,0.04324662925,512,24576,mattern_cov1
pnorm32,0.10655652500000001,0.083145765,0.318547981,0.10280194549999999,0.170602426,512,245760,mattern_cov1
pnorm_sparse32,0.21231978,0.077688114,0.24785094,0.180353706,0.21456331675,512,245760,mattern_cov1
pnorm32,0.0960489115,0.080108108,0.182818201,0.08880616325000001,0.1077791935,1024,24576,mattern_cov1
pnorm_sparse32,0.067089816,0.043854695,0.142614269,0.05312096575,0.09111237850000001,1024,24576,mattern_cov1
pnorm32,0.3441935875,0.227024997,0.457718461,0.26442759675,0.37451851900000005,1024,245760,mattern_cov1
pnorm_sparse32,0.2193067875,0.157258999,0.354021635,0.20261946675,0.2689609345,1024,245760,mattern_cov1
pnorm32,0.23347371849999998,0.201939399,0.343360992,0.22166064525,0.27767542575000004,2048,24576,mattern_cov1
pnorm_sparse32,0.16160628100000002,0.093634666,0.250911083,0.13649344975,0.19211306874999998,2048,24576,mattern_cov1
pnorm32,0.7137865729999999,0.547145123,0.97996301,0.61290193875,0.8196531545,2048,245760,mattern_cov1
pnorm_sparse32,0.46269657799999997,0.348732202,0.607582173,0.41272460750000006,0.5175339059999999,2048,245760,mattern_cov1
pnorm32,0.7304392385,0.592773918,0.896345275,0.6885848355,0.76873504675,4096,24576,mattern_cov1
pnorm_sparse32,0.3766387485,0.301047075,0.461843004,0.35012247275,0.39767993175000005,4096,24576,mattern_cov1
pnorm32,1.787143988,1.697774301,2.510492065,1.7480140365,1.98122260025,4096,245760,mattern_cov1
pnorm_sparse32,0.9984912875,0.830056462,1.273707708,0.9132703877499999,1.0407345895,4096,245760,mattern_cov1
pnorm32,0.0068436285,0.006589651,0.066933875,0.00675462275,0.009029691,256,24576,mattern_cov2
pnorm_sparse32,0.0055148260000000004,0.005247774,0.027042339,0.00540106525,0.00566431725,256,24576,mattern_cov2
pnorm32,0.090873877,0.048123044,0.235900518,0.052773005,0.1586965025,256,245760,mattern_cov2
pnorm_sparse32,0.1643610085,0.02686831,0.27996808,0.15593064475,0.18500048074999997,256,245760,mattern_cov2
pnorm32,0.031411624,0.024660378,0.077283672,0.0310934695,0.0379822655,512,24576,mattern_cov2
pnorm_sparse32,0.037875948,0.031801744,0.091296362,0.03660163675,0.049263840749999996,512,24576,mattern_cov2
pnorm32,0.100171117,0.095982545,0.221849846,0.0980716685,0.1103717025,512,245760,mattern_cov2
pnorm_sparse32,0.118560338,0.102669331,0.234787384,0.10906393075000001,0.1954661525,512,245760,mattern_cov2
pnorm32,0.078011185,0.052956804,0.132918998,0.07060305625,0.09195077574999999,1024,24576,mattern_cov2
pnorm_sparse32,0.07660043650000001,0.045186431,0.149203025,0.05582726275,0.09462728599999999,1024,24576,mattern_cov2
pnorm32,0.309448795,0.206967345,0.453655004,0.24957382075,0.349408245,1024,245760,mattern_cov2
pnorm_sparse32,0.26404075250000003,0.151715566,0.366794336,0.21759387975,0.30495662074999996,1024,245760,mattern_cov2
pnorm32,0.2155951345,0.182382209,0.333965737,0.20225715775,0.254959252,2048,24576,mattern_cov2
pnorm_sparse32,0.125239372,0.075448403,0.259357369,0.09810500999999999,0.14296036725,2048,24576,mattern_cov2
pnorm32,0.6866458440000001,0.544481509,0.924034528,0.61442085225,0.79686877275,2048,245760,mattern_cov2
pnorm_sparse32,0.42561704850000004,0.319375884,0.55980712,0.38377637325,0.46596290325,2048,245760,mattern_cov2
pnorm32,0.7286591849999999,0.639099802,0.938077528,0.68646287175,0.77001045575,4096,24576,mattern_cov2
pnorm_sparse32,0.302088923,0.218079074,0.446144888,0.26404844250000004,0.3230465095,4096,24576,mattern_cov2
pnorm32,1.773874465,1.672965253,2.3956256,1.7282365652499998,1.8607122205,4096,245760,mattern_cov2
pnorm_sparse32,0.8504814525,0.729078281,1.211321713,0.7932861905,0.9436333505000001,4096,245760,mattern_cov2
pnorm32,0.006964512,0.006530764,0.069262834,0.006734767,0.01060126175,256,24576,fixed_dense
pnorm_sparse32,0.0072417765,0.006697044,0.064324142,0.00709345725,0.007672351500000001,256,24576,fixed_dense
pnorm32,0.0603103485,0.038938308,0.189814841,0.05385958075,0.09613268425,256,245760,fixed_dense
pnorm_sparse32,0.0594126245,0.036912876,0.246360827,0.03888316025,0.08739899174999999,256,245760,fixed_dense
pnorm32,0.030989075,0.0173445,0.076251505,0.0290213725,0.0375093795,512,24576,fixed_dense
pnorm_sparse32,0.044198378499999996,0.038048879,0.101596796,0.04262435825,0.053847169,512,24576,fixed_dense
pnorm32,0.1016739725,0.08552586,0.2171106,0.09927165724999999,0.10550259349999999,512,245760,fixed_dense
pnorm_sparse32,0.154849984,0.136183579,0.244990276,0.1453128005,0.2010097,512,245760,fixed_dense
pnorm32,0.079038384,0.054554911,0.131401011,0.06951597899999999,0.09379955425,1024,24576,fixed_dense
pnorm_sparse32,0.10588787599999999,0.063636218,0.221147103,0.084757601,0.116137735,1024,24576,fixed_dense
pnorm32,0.293921959,0.211209733,0.464249594,0.24054750775,0.3458067175,1024,245760,fixed_dense
pnorm_sparse32,0.3935770665,0.281626722,0.566292412,0.34878289325,0.45245776200000004,1024,245760,fixed_dense
pnorm32,0.190145812,0.153733404,0.315983315,0.18015613025,0.24000598975,2048,24576,fixed_dense
pnorm_sparse32,0.208572385,0.147382779,0.378350136,0.1841916945,0.25934483775,2048,24576,fixed_dense
pnorm32,0.6966621399999999,0.513430503,0.910497607,0.5820800385,0.7910557407500001,2048,245760,fixed_dense
pnorm_sparse32,0.9959408105,0.853379919,1.419942259,0.9077253992500001,1.11359198875,2048,245760,fixed_dense
pnorm32,0.6156070524999999,0.517710808,0.787365211,0.5772125162499999,0.64253145175,4096,24576,fixed_dense
pnorm_sparse32,0.562636262,0.523153261,0.87498813,0.5487991034999999,0.579306762,4096,24576,fixed_dense
pnorm32,1.6404091295,1.547862137,2.273058508,1.62053168325,1.674221944,4096,245760,fixed_dense
pnorm_sparse32,2.682744394,2.431395837,3.460704061,2.62448988875,2.79992899725,4096,245760,fixed_dense
