method,median,min,max,Q1,Q3,n,n_pts,matrix
pnorm_sparse,0.016043020999999998,0.014413084,0.062822875,0.014876083500000001,0.02636128125,256,24576,mattern_cov1
pnorm_sparse32,0.0102099585,0.009365542,0.270069666,0.0100045835,0.011480073249999998,256,24576,mattern_cov1
pnorm_sparse,0.0897261045,0.075254959,0.126013625,0.08652399975,0.0931971665,256,245760,mattern_cov1
pnorm_sparse32,0.062516479,0.059904875,0.06764025,0.06193150025,0.06349128175,256,245760,mattern_cov1
pnorm_sparse,0.033558812,0.030249083,0.090899708,0.031320312249999996,0.04434486475,512,24576,mattern_cov1
pnorm_sparse32,0.0211187915,0.020392167,0.054677834,0.02066819775,0.0320703025,512,24576,mattern_cov1
pnorm_sparse,0.170906708,0.153414708,0.218513208,0.16563501049999999,0.18399967674999998,512,245760,mattern_cov1
pnorm_sparse32,0.1149073335,0.099323209,0.146564875,0.1139917915,0.1157561875,512,245760,mattern_cov1
pnorm_sparse,0.09180397900000001,0.076210583,0.13958275,0.0793807915,0.10698979175,1024,24576,mattern_cov1
pnorm_sparse32,0.0536493335,0.045909375,0.102515041,0.0477900315,0.05974800025,1024,24576,mattern_cov1
pnorm_sparse,0.40526775049999997,0.378487208,0.448148042,0.39389912499999996,0.41822007349999996,1024,245760,mattern_cov1
pnorm_sparse32,0.233486125,0.210013916,0.272788,0.223053698,0.24231532275,1024,245760,mattern_cov1
pnorm_sparse,0.248422646,0.204765625,0.283243041,0.23561669825,0.2585146565,2048,24576,mattern_cov1
pnorm_sparse32,0.12632027099999998,0.101183417,0.160902,0.11098764575,0.13638035399999998,2048,24576,mattern_cov1
pnorm_sparse,1.0853179585000001,1.021618833,1.147707083,1.0664502922499999,1.0966238334999998,2048,245760,mattern_cov1
pnorm_sparse32,0.5065438545000001,0.489213916,0.564042542,0.50264179175,0.51211575,2048,245760,mattern_cov1
pnorm_sparse,0.6119146875,0.604651875,0.656406791,0.6105331875,0.615040594,4096,24576,mattern_cov1
pnorm_sparse32,0.291892625,0.258075833,0.381862417,0.28154510425,0.3058875205,4096,24576,mattern_cov1
pnorm_sparse,2.6789365,2.560600667,2.77312425,2.64626021875,2.69628823975,4096,245760,mattern_cov1
pnorm_sparse32,1.0789711249999998,1.010257875,1.127331667,1.051833396,1.093056958,4096,245760,mattern_cov1
pnorm_sparse,0.014534583,0.013926417,0.047772416,0.014167708000000001,0.02550501075,256,24576,mattern_cov2
pnorm_sparse32,0.0099637915,0.009534958,0.042115792,0.009844604,0.010280978999999999,256,24576,mattern_cov2
pnorm_sparse,0.08289716650000001,0.075443583,0.103448666,0.081957115,0.08445290625,256,245760,mattern_cov2
pnorm_sparse32,0.0612785415,0.059276917,0.072123583,0.060977136,0.06232483325,256,245760,mattern_cov2
pnorm_sparse,0.029831729,0.028150417,0.067542541,0.029219479,0.04153338575,512,24576,mattern_cov2
pnorm_sparse32,0.020252916500000002,0.019426792,0.051968958,0.020026021249999998,0.03145197925,512,24576,mattern_cov2
pnorm_sparse,0.1599710835,0.151635584,0.199447792,0.1576022915,0.17399363575,512,245760,mattern_cov2
pnorm_sparse32,0.111223854,0.108817958,0.119010666,0.11053463549999999,0.1119757185,512,245760,mattern_cov2
pnorm_sparse,0.077872354,0.062547,0.128683417,0.06600551075,0.09455895825,1024,24576,mattern_cov2
pnorm_sparse32,0.048542708000000004,0.043395125,0.100859334,0.04475461475,0.06134996825,1024,24576,mattern_cov2
pnorm_sparse,0.33355979199999997,0.312780917,0.364838542,0.328713521,0.3408717185,1024,245760,mattern_cov2
pnorm_sparse32,0.21715029200000002,0.20048575,0.259208708,0.211174542,0.23047942649999997,1024,245760,mattern_cov2
pnorm_sparse,0.174723896,0.141545458,0.209133,0.1645283955,0.18815982325,2048,24576,mattern_cov2
pnorm_sparse32,0.121559083,0.105192375,0.132973041,0.10931471875,0.12464031275000001,2048,24576,mattern_cov2
pnorm_sparse,0.672422479,0.663973,0.7116755,0.6707725827500001,0.6764711250000001,2048,245760,mattern_cov2
pnorm_sparse32,0.4654458125,0.419142125,0.48469425,0.45945566675,0.471012698,2048,245760,mattern_cov2
pnorm_sparse,0.397241646,0.386027167,0.437354083,0.39483869825,0.40097449949999997,4096,24576,mattern_cov2
pnorm_sparse32,0.264441896,0.224111292,0.300696208,0.25722296899999997,0.2754951665,4096,24576,mattern_cov2
pnorm_sparse,1.420642667,1.397390709,1.4989625,1.407273594,1.4302477395,4096,245760,mattern_cov2
pnorm_sparse32,0.8994773954999999,0.860442041,0.941809542,0.880464417,0.9181470625,4096,245760,mattern_cov2
pnorm_sparse,0.0143170415,0.013336833,0.047575,0.013848781,0.01654540625,256,24576,fixed_dense
pnorm_sparse32,0.008591874999999999,0.007474542,0.041537,0.0082393855,0.0089126875,256,24576,fixed_dense
pnorm_sparse,0.142235833,0.135209416,0.165317833,0.1401342395,0.14672270799999998,256,245760,fixed_dense
pnorm_sparse32,0.09329931250000001,0.09048225,0.102227042,0.09127966625,0.09593896925,256,245760,fixed_dense
pnorm_sparse,0.057365396,0.055330875,0.090580958,0.056643667,0.0613480005,512,24576,fixed_dense
pnorm_sparse32,0.0238715835,0.021191125,0.083235375,0.022546635500000002,0.0405046245,512,24576,fixed_dense
pnorm_sparse,0.480105396,0.4708225,0.600573459,0.47716934325,0.48267989575000003,512,245760,fixed_dense
pnorm_sparse32,0.2336413125,0.223601875,0.316296542,0.23074884350000002,0.238752979,512,245760,fixed_dense
pnorm_sparse,0.18755387499999998,0.1596825,0.234372084,0.17586372900000002,0.19922694825000004,1024,24576,fixed_dense
pnorm_sparse32,0.09077368699999999,0.07360475,0.183808333,0.07655125975,0.10174500025,1024,24576,fixed_dense
pnorm_sparse,1.6913421670000002,1.628827875,1.758001167,1.6749575107499999,1.7014206357500001,1024,245760,fixed_dense
pnorm_sparse32,0.7735656870000001,0.721676667,0.901414458,0.7608196355,0.79581352125,1024,245760,fixed_dense
pnorm_sparse,0.6377376459999999,0.60527875,0.6798725,0.62988225,0.6451280725,2048,24576,fixed_dense
pnorm_sparse32,0.293363771,0.264466375,0.335077709,0.28386963575,0.31099840625,2048,24576,fixed_dense
pnorm_sparse,5.8030974165,5.689982292,6.068702209,5.748821031,5.86405550975,2048,245760,fixed_dense
pnorm_sparse32,2.6437504369999996,2.588435459,2.759707958,2.63448561425,2.6513720935,2048,245760,fixed_dense
pnorm_sparse,2.305696042,2.2402195,2.426400416,2.2924892705,2.33785082275,4096,24576,fixed_dense
pnorm_sparse32,1.057093688,1.018575125,1.132208375,1.0494821245,1.0653334165,4096,24576,fixed_dense
pnorm_sparse,21.7061874165,21.063526583,22.243809875,21.55735475,21.81538789625,4096,245760,fixed_dense
pnorm_sparse32,9.363401646,9.296145334,9.899643875,9.33061416675,9.69889329125,4096,245760,fixed_dense
