method,median,min,max,Q1,Q3,n,n_pts,matrix
pnorm_sparse,0.0112044355,0.009428419,0.08258777,0.01000691975,0.030190662,256,24576,mattern_cov1
pnorm_sparse32,0.005990627,0.005763421,0.385715487,0.005897394249999999,0.0067520705,256,24576,mattern_cov1
pnorm_sparse,0.07250717549999999,0.050976564,0.137966523,0.07083409950000001,0.07499587975,256,245760,mattern_cov1
pnorm_sparse32,0.0346081215,0.02994676,0.121164505,0.031505517999999996,0.0541584735,256,245760,mattern_cov1
pnorm_sparse,0.047031787,0.040844664,0.108429347,0.04430346225,0.05746291425,512,24576,mattern_cov1
pnorm_sparse32,0.038255767999999996,0.033227799,0.091880542,0.037422621499999996,0.041848354000000004,512,24576,mattern_cov1
pnorm_sparse,0.1739631385,0.134229905,0.269059874,0.15211886775,0.225779716,512,245760,mattern_cov1
pnorm_sparse32,0.1251699625,0.110033113,0.231054115,0.11507665200000002,0.2031911665,512,245760,mattern_cov1
pnorm_sparse,0.09481732600000001,0.053911148,0.179578206,0.07614608525000001,0.11938805799999999,1024,24576,mattern_cov1
pnorm_sparse32,0.079027281,0.044588905,0.149483132,0.056941707499999994,0.10004404250000001,1024,24576,mattern_cov1
pnorm_sparse,0.345184001,0.256273933,0.487351795,0.309183839,0.38376919574999996,1024,245760,mattern_cov1
pnorm_sparse32,0.22872728250000002,0.159539751,0.391536337,0.20177918025,0.28236650750000003,1024,245760,mattern_cov1
pnorm_sparse,0.2022838145,0.136057709,0.333274485,0.17771504725,0.22213323675,2048,24576,mattern_cov1
pnorm_sparse32,0.1498801155,0.095517563,0.251889896,0.13233381975,0.17460116425,2048,24576,mattern_cov1
pnorm_sparse,0.718392994,0.609899454,0.920999549,0.6687887235,0.7818112065,2048,245760,mattern_cov1
pnorm_sparse32,0.4644125795,0.333879347,0.586007238,0.429973909,0.49614329575,2048,245760,mattern_cov1
pnorm_sparse,0.6034783435,0.515912793,0.982762868,0.58034243725,0.65529371025,4096,24576,mattern_cov1
pnorm_sparse32,0.3775028905,0.295662124,0.538283795,0.35509842125,0.39302796375,4096,24576,mattern_cov1
pnorm_sparse,1.6619479149999998,1.435762443,2.200133133,1.556469927,1.7313130222500002,4096,245760,mattern_cov1
pnorm_sparse32,0.9934628375,0.847592906,1.295957418,0.9444359347500001,1.10935064325,4096,245760,mattern_cov1
pnorm_sparse,0.008951166,0.008204336,0.070058584,0.00852864375,0.01007429775,256,24576,mattern_cov2
pnorm_sparse32,0.0053539799999999995,0.005175043,0.027347975,0.005282522999999999,0.0056423355,256,24576,mattern_cov2
pnorm_sparse,0.069314122,0.047617853,0.138912375,0.06800846299999999,0.07149732325,256,245760,mattern_cov2
pnorm_sparse32,0.030900902,0.027346719,0.25195434,0.0290012035,0.051037458249999994,256,245760,mattern_cov2
pnorm_sparse,0.044629436,0.037112373,0.101856445,0.042493515499999995,0.057341264,512,24576,mattern_cov2
pnorm_sparse32,0.038096614,0.032155563,0.089481868,0.03665863575,0.04180994675,512,24576,mattern_cov2
pnorm_sparse,0.1560591645,0.122334002,0.3283067,0.1452076495,0.21521384025,512,245760,mattern_cov2
pnorm_sparse32,0.1977464645,0.104672808,0.298274167,0.1140479775,0.21215870125,512,245760,mattern_cov2
pnorm_sparse,0.113965233,0.054459648,0.212080487,0.10237322575,0.14365275475,1024,24576,mattern_cov2
