method,median,sd,min,max,Q1,Q3,se_est,n,n_pts,matrix
pnorm,0.25000553630946487,NaN,0.25000553630946487,0.25000553630946487,0.25000553630946487,0.25000553630946487,6.342961036398828e-8,256,24576,mattern_cov1
pnorm32,0.25000548362731934,NaN,0.25000548362731934,0.25000548362731934,0.25000548362731934,0.25000548362731934,5.724839411413996e-7,256,24576,mattern_cov1
pnorm_sparse,0.25000553021698496,NaN,0.25000553021698496,0.25000553021698496,0.25000553021698496,0.25000553021698496,1.7683414112710214e-8,256,24576,mattern_cov1
pnorm_sparse32,0.25000524520874023,NaN,0.25000524520874023,0.25000524520874023,0.25000524520874023,0.25000524520874023,2.805795773497266e-8,256,24576,mattern_cov1
tlr,0.25000552808473264,NaN,0.25000552808473264,0.25000552808473264,0.25000552808473264,0.25000552808473264,4.9949663807054834e-8,256,24576,mattern_cov1
pnorm,0.25000553385438046,NaN,0.25000553385438046,0.25000553385438046,0.25000553385438046,0.25000553385438046,6.773233314524669e-9,256,245760,mattern_cov1
pnorm32,0.2500055730342865,NaN,0.2500055730342865,0.2500055730342865,0.2500055730342865,0.2500055730342865,1.0810929751414733e-7,256,245760,mattern_cov1
pnorm_sparse,0.2500055333958136,NaN,0.2500055333958136,0.2500055333958136,0.2500055333958136,0.2500055333958136,1.0999169269906423e-9,256,245760,mattern_cov1
pnorm_sparse32,0.25000524520874023,NaN,0.25000524520874023,0.25000524520874023,0.25000524520874023,0.25000524520874023,2.4534523390684626e-7,256,245760,mattern_cov1
tlr,0.2500055134852561,NaN,0.2500055134852561,0.2500055134852561,0.2500055134852561,0.2500055134852561,6.5686461533344665e-9,256,245760,mattern_cov1
pnorm,0.2510823747530014,NaN,0.2510823747530014,0.2510823747530014,0.2510823747530014,0.2510823747530014,1.8918692560707334e-5,512,24576,mattern_cov1
pnorm32,0.25105658173561096,NaN,0.25105658173561096,0.25105658173561096,0.25105658173561096,0.25105658173561096,2.682452031876892e-5,512,24576,mattern_cov1
pnorm_sparse,0.25107738842616717,NaN,0.25107738842616717,0.25107738842616717,0.25107738842616717,0.25107738842616717,8.501944855936896e-6,512,24576,mattern_cov1
pnorm_sparse32,0.25107190012931824,NaN,0.25107190012931824,0.25107190012931824,0.25107190012931824,0.25107190012931824,1.553228503325954e-5,512,24576,mattern_cov1
tlr,0.25108912459123267,NaN,0.25108912459123267,0.25108912459123267,0.25108912459123267,0.25108912459123267,6.840960701756889e-6,512,24576,mattern_cov1
pnorm,0.2510790851742522,NaN,0.2510790851742522,0.2510790851742522,0.2510790851742522,0.2510790851742522,2.190719004732336e-6,512,245760,mattern_cov1
pnorm32,0.2510825991630554,NaN,0.2510825991630554,0.2510825991630554,0.2510825991630554,0.2510825991630554,7.068924605846405e-5,512,245760,mattern_cov1
