method,median,sd,min,max,Q1,Q3,se_est,n,n_pts,matrix
pnorm,0.25000553059848796,3.0613624341831705e-8,0.25000546167452947,0.2500056078791108,0.2500055131753218,0.2500055522580041,1.0751134416951696e-7,256,24576,mattern_cov1
pnorm32,0.2500055730342865,2.0595448080843669e-7,0.2500050663948059,0.2500061094760895,0.25000545382499695,0.25000569224357605,5.529147787797228e-7,256,24576,mattern_cov1
pnorm_sparse,0.25000553330950626,4.6403392902889496e-9,0.2500055197253706,0.2500055423978831,0.25000552972392237,0.25000553582045754,1.5532126697962838e-8,256,24576,mattern_cov1
pnorm_sparse32,0.2500052750110626,1.385281082128678e-8,0.25000524520874023,0.2500052750110626,0.25000524520874023,0.2500052750110626,2.6868513280930985e-8,256,24576,mattern_cov1
tlr,0.2500055325649808,3.7251636040212874e-8,0.25000542694923916,0.2500056192018884,0.25000550291410384,0.25000556028856896,3.437305262670332e-8,256,24576,mattern_cov1
pnorm,0.2500055334980476,3.844898859063187e-9,0.25000552575541196,0.250005542562186,0.2500055309049512,0.250005535876385,1.1270759775305317e-8,256,245760,mattern_cov1
pnorm32,0.2500055730342865,7.342874980231586e-8,0.2500053942203522,0.2500057518482208,0.2500055134296417,0.2500056326389313,1.9446346463780628e-7,256,245760,mattern_cov1
pnorm_sparse,0.2500055334714214,4.08524617812697e-10,0.25000553210492377,0.25000553430549693,0.25000553316183105,0.2500055337361323,1.3433002377178099e-9,256,245760,mattern_cov1
pnorm_sparse32,0.2500052750110626,8.300885637710705e-8,0.2500050365924835,0.2500055134296417,0.25000521540641785,0.2500053346157074,2.407053932529379e-7,256,245760,mattern_cov1
tlr,0.25000553339215814,8.049776337273836e-9,0.2500055173901571,0.2500055522474776,0.2500055271674401,0.2500055382076574,7.615283665677054e-9,256,245760,mattern_cov1
pnorm,0.251078390683407,3.6028988761276902e-6,0.2510711237230506,0.25108795444015203,0.25107577754088944,0.2510805536211742,1.17266432367208e-5,512,24576,mattern_cov1
pnorm32,0.2510779798030853,9.38614932019145e-6,0.2510566711425781,0.2510976791381836,0.25107186287641525,0.25108541548252106,2.7120358645333908e-5,512,24576,mattern_cov1
pnorm_sparse,0.25107846991390126,3.182696838260509e-6,0.25107216669428395,0.2510861778346793,0.25107644863567063,0.2510813449067317,9.320322320779613e-6,512,24576,mattern_cov1
pnorm_sparse32,0.2510785162448883,3.997546156358967e-6,0.2510700523853302,0.2510887086391449,0.25107627362012863,0.2510817125439644,1.1024965542674182e-5,512,24576,mattern_cov1
tlr,0.251078568539669,7.387799878187921e-6,0.251059737592753,0.25109338821038907,0.25107381344359164,0.2510842099328321,6.9665404021315425e-6,512,24576,mattern_cov1
pnorm,0.2510783022863043,9.610348467569302e-7,0.2510761365796796,0.25108163515342585,0.251077603471311,0.2510789692744708,2.779323455264054e-6,512,245760,mattern_cov1
pnorm32,0.25107888877391815,2.8797302557490914e-5,0.2510188817977905,0.2511652112007141,0.2510596886277199,0.25109828263521194,8.45216342349886e-5,512,245760,mattern_cov1
pnorm_sparse,0.25107835773770126,8.479564605001917e-7,0.2510761747467359,0.2510799418386263,0.2510776272248679,0.25107890573510167,2.540924098043031e-6,512,245760,mattern_cov1
pnorm_sparse32,0.25107787549495697,3.841840243679118e-5,0.2510039806365967,0.2511660158634186,0.2510537952184677,0.2511076033115387,0.00010810395440785214,512,245760,mattern_cov1
tlr,0.2510782744519553,1.1730941697380863e-6,0.25107578786641016,0.25108179294107924,0.2510774172717874,0.25107897321844364,1.0911396798792387e-6,512,245760,mattern_cov1
pnorm,0.266179369477325,0.00018442495823121246,0.26576050505945853,0.266653726863132,0.2660642456299769,0.266292917356848,0.0005407994705114558,1024,24576,mattern_cov1
pnorm32,0.26623326539993286,0.00018520360389419119,0.2658119201660156,0.26663345098495483,0.26608656346797943,0.26634570956230164,0.0004924926432431676,1024,24576,mattern_cov1
pnorm_sparse,0.2662098211359559,0.00012887442349860396,0.2658993073144012,0.2665688409970153,0.26609835558055467,0.26628450103156165,0.000432630237647066,1024,24576,mattern_cov1
pnorm_sparse32,0.26623134315013885,0.00020445064428167625,0.26572665572166443,0.2666195333003998,0.266079843044281,0.26636091619729996,0.0005654886938282289,1024,24576,mattern_cov1
tlr,0.26622753014385736,0.00018305759289393792,0.26588558058875,0.2668871889026984,0.26610869112224544,0.26636632022175577,0.00017158675391759724,1024,24576,mattern_cov1
pnorm,0.26620428957532827,4.548783444347109e-5,0.2661101678032834,0.26630757805234023,0.266172396086503,0.26623311242288794,0.00012478070693301314,1024,245760,mattern_cov1
pnorm32,0.2661122679710388,0.0008561597073253276,0.26346269249916077,0.26818418502807617,0.2656277269124985,0.26679089665412903,0.002818907838081941,1024,245760,mattern_cov1
pnorm_sparse,0.26620786148422104,6.915740573607373e-5,0.26605909561978874,0.26642572392602226,0.26616082341486447,0.26625750152387845,0.0002500099545529244,1024,245760,mattern_cov1
pnorm_sparse32,0.2662312388420105,0.0009650023770947815,0.2638370096683502,0.26889222860336304,0.2656707167625427,0.2669003829360008,0.0029375183617230505,1024,245760,mattern_cov1
tlr,0.2662107448480395,4.50693082550152e-5,0.2660840972661155,0.2663338794369764,0.2661817908539784,0.2662377979966707,4.5985645375578155e-5,1024,245760,mattern_cov1
pnorm,0.3384898472254837,0.0005997761485614356,0.3369695420369063,0.3397844650486588,0.33794043956449854,0.3388458453854876,0.0017608663342406458,2048,24576,mattern_cov1
pnorm32,0.338674858212471,0.0010108978912274236,0.3359713852405548,0.34139585494995117,0.3379964977502823,0.33920101076364517,0.003336491936352104,2048,24576,mattern_cov1
