method,median,sd,min,max,Q1,Q3,se_est,n,n_pts,matrix
pnorm32,0.25000556540271646,2.0523130821171962e-7,0.2500050564758567,0.250006127815747,0.2500054416720256,0.2500057073699888,5.5215466246008e-7,256,24576,mattern_cov1
pnorm_sparse32,0.25000527472911926,5.138284028818962e-9,0.2500052606689375,0.25000528613842715,0.25000527064548805,0.2500052780410442,1.4650128727520857e-8,256,24576,mattern_cov1
pnorm32,0.2500055879741619,1.7795579273235614e-8,0.2500055461121519,0.2500056383037494,0.2500055762784844,0.25000559934161776,4.94317980742993e-8,256,245760,mattern_cov1
pnorm_sparse32,0.25000527405354656,5.364175886485564e-10,0.2500052721021348,0.25000527522570337,0.2500052736516409,0.25000527432540975,1.6722863550367926e-9,256,245760,mattern_cov1
pnorm32,0.25107976486106054,1.0014232286281497e-5,0.25105500883000786,0.25109881261596456,0.25107153684757577,0.25108690732273925,2.8630795441759747e-5,512,24576,mattern_cov1
pnorm_sparse32,0.25107815092208813,3.1260665354656596e-6,0.2510701037887581,0.2510865803105844,0.25107669618455475,0.25108086287824943,9.099412241280843e-6,512,24576,mattern_cov1
pnorm32,0.25107849421268236,2.653241654225705e-6,0.251071960286572,0.25108630358887846,0.25107648979671165,0.2510803314718941,7.72561984387101e-6,512,245760,mattern_cov1
pnorm_sparse32,0.2510784966993015,7.238097942476579e-7,0.2510761732909183,0.25108007111696984,0.2510780300315522,0.25107909563280373,2.6036182511439958e-6,512,245760,mattern_cov1
pnorm32,0.26617277330054395,0.00013407227307095647,0.2658854526974513,0.26644897564104514,0.2660668513553901,0.2662899318819048,0.00040934032309347445,1024,24576,mattern_cov1
pnorm_sparse32,0.2662100466128928,0.00015670503171648104,0.265804238764152,0.26656503181038715,0.26608824872770737,0.2663162763856235,0.00042772007184617775,1024,24576,mattern_cov1
pnorm32,0.26619799314941395,3.9647209834815974e-5,0.266093973176036,0.2662984426516535,0.26618030952154187,0.2662269439077136,0.00011978575956283677,1024,245760,mattern_cov1
pnorm_sparse32,0.2661970903017694,8.472911379747861e-5,0.2659547375291368,0.2663503684526101,0.2661413985087014,0.2662490610546532,0.0002445339857437236,1024,245760,mattern_cov1
pnorm32,0.338638213853225,0.0005960107491812848,0.3371587750805247,0.3402548144318871,0.3382589114492684,0.3389620848781287,0.0017898759519342244,2048,24576,mattern_cov1
pnorm_sparse32,0.33849733744970456,0.0008460009332148789,0.33570097679754934,0.3404775038952721,0.3378655105519404,0.3390025357817497,0.0026483168042935722,2048,24576,mattern_cov1
pnorm32,0.33853349281125417,0.0001573532014459173,0.3380583538094508,0.33891908821334865,0.3384290888005633,0.3386301722967209,0.00054163695275144,2048,245760,mattern_cov1
pnorm_sparse32,0.3385219963103358,0.0005450829968702106,0.33709113235991034,0.34020461286342357,0.3382068791011686,0.3388338749130715,0.0015920478491246825,2048,245760,mattern_cov1
pnorm32,0.4866010808505479,0.001255557280208416,0.48289090853102695,0.489910474301519,0.48597302794691855,0.4877185423080874,0.0035814887378677806,4096,24576,mattern_cov1
pnorm_sparse32,0.4859837769278054,0.002790803184998014,0.47921158691382476,0.4950729672897201,0.48449241277659993,0.4883688205513401,0.007567456761584934,4096,24576,mattern_cov1
pnorm32,0.4865248237074769,0.0003884068208616686,0.48556897717148756,0.48801563601860565,0.48626615313749716,0.4867330849921304,0.0011191182588686365,4096,245760,mattern_cov1
pnorm_sparse32,0.4861960936901729,0.0015295880393163552,0.4826768517078624,0.4894704273781078,0.485142674623496,0.4873477458793571,0.004546700643386376,4096,245760,mattern_cov1
pnorm32,0.24999478459358215,0.0,0.24999478459358215,0.24999478459358215,0.24999478459358215,0.24999478459358215,0.0,256,24576,mattern_cov2
pnorm_sparse32,0.24999478459358215,0.0,0.24999478459358215,0.24999478459358215,0.24999478459358215,0.24999478459358215,0.0,256,24576,mattern_cov2
pnorm32,0.24999478459358215,0.0,0.24999478459358215,0.24999478459358215,0.24999478459358215,0.24999478459358215,0.0,256,245760,mattern_cov2
pnorm_sparse32,0.24999478459358215,0.0,0.24999478459358215,0.24999478459358215,0.24999478459358215,0.24999478459358215,0.0,256,245760,mattern_cov2
pnorm32,0.25000497698783875,0.0,0.25000497698783875,0.25000497698783875,0.25000497698783875,0.25000497698783875,0.0,512,24576,mattern_cov2
pnorm_sparse32,0.25000497698783875,0.0,0.25000497698783875,0.25000497698783875,0.25000497698783875,0.25000497698783875,0.0,512,24576,mattern_cov2
pnorm32,0.25000497698783875,0.0,0.25000497698783875,0.25000497698783875,0.25000497698783875,0.25000497698783875,0.0,512,245760,mattern_cov2
pnorm_sparse32,0.25000497698783875,0.0,0.25000497698783875,0.25000497698783875,0.25000497698783875,0.25000497698783875,0.0,512,245760,mattern_cov2
