method,median,sd,min,max,Q1,Q3,se_est,n,n_pts,matrix
pnorm32,0.2500055653299569,2.05232517023273e-7,0.2500050563770249,0.2500061277490507,0.2500054415966891,0.2500057073084463,5.521538403877295e-7,256,24576,mattern_cov1
pnorm_sparse32,0.2500052746166451,5.139039616315772e-9,0.25000526058465766,0.25000528604505234,0.2500052705527196,0.25000527794524413,1.4650027764995589e-8,256,24576,mattern_cov1
pnorm32,0.25000558790513117,1.7795916363565496e-8,0.25000554604157516,0.25000563823953903,0.25000557620643726,0.2500055992754369,4.9431965885421236e-8,256,245760,mattern_cov1
pnorm_sparse32,0.2500052739488031,5.364461031550837e-10,0.2500052719892362,0.2500052751211114,0.2500052735412737,0.25000527421743757,1.6718164994640507e-9,256,245760,mattern_cov1
pnorm32,0.25107829353964917,9.081701833825509e-6,0.25105555249501776,0.25109969403153326,0.2510733796865073,0.2510836844606577,2.6738826479924728e-5,512,24576,mattern_cov1
pnorm_sparse32,0.25107815829111735,3.1260724262804354e-6,0.25107011117628036,0.2510865878060334,0.2510767036474135,0.251080870380368,9.099416588339509e-6,512,24576,mattern_cov1
pnorm32,0.2510790346504109,7.475308263428394e-7,0.25107646792797217,0.2510805347566323,0.2510785335641837,0.2510795168786293,2.2138812540218895e-6,512,245760,mattern_cov1
pnorm_sparse32,0.2510785041823813,7.238101652240829e-7,0.2510761808049816,0.2510800785811323,0.2510780375477983,0.25107910312385684,2.603615704538943e-6,512,245760,mattern_cov1
pnorm32,0.26621543535899644,0.00014742090374758176,0.26590636402246065,0.26651772569130117,0.2661062538678986,0.26632953969033224,0.0004127721693883804,1024,24576,mattern_cov1
pnorm_sparse32,0.2662100471340333,0.0001567050227246449,0.2658042392091981,0.26656503250584745,0.2660882492111038,0.26631627689797216,0.000427720070635895,1024,24576,mattern_cov1
pnorm32,0.2661968433594666,3.911302334972254e-5,0.2660983761961385,0.26627199739847734,0.2661673745831801,0.26622151493920687,0.00012108622306085454,1024,245760,mattern_cov1
pnorm_sparse32,0.26619709078825815,8.472912084268477e-5,0.26595473799255465,0.26635036897611525,0.266141398977652,0.2662490615305008,0.0002445339918614937,1024,245760,mattern_cov1
pnorm32,0.33853681679460124,0.0005888474680654658,0.33686053657231696,0.34001660829252006,0.3382010780027163,0.33883868153696045,0.0018362496701121315,2048,24576,mattern_cov1
pnorm_sparse32,0.3384972729471277,0.0008460008597252047,0.3357009118784238,0.34047743751610443,0.3378654465417033,0.33900247175571013,0.0026483162357067496,2048,24576,mattern_cov1
pnorm32,0.33849433310475663,0.00017096535869766795,0.33811429295211615,0.33885517692053974,0.3384026093164428,0.338622762359537,0.0005668488838803966,2048,245760,mattern_cov1
pnorm_sparse32,0.3385219310466482,0.0005450825244391113,0.3370910669016667,0.34020454616581147,0.3382068193166257,0.33883381038962934,0.0015920476389149818,2048,245760,mattern_cov1
pnorm32,0.48643823559082355,0.0010525552644560614,0.48328519895414307,0.48909399819096677,0.4857436241602808,0.4872772073869303,0.0037405015336971544,4096,24576,mattern_cov1
pnorm_sparse32,0.48598377629994616,0.002790804367362062,0.4792115883478421,0.49507297931431066,0.4844924172498241,0.4883688169595774,0.00756745633023787,4096,24576,mattern_cov1
pnorm32,0.4864383897193659,0.00039286633847822225,0.48539267093529953,0.487725880280875,0.48622118046766477,0.4867089760665554,0.001184421723803209,4096,245760,mattern_cov1
pnorm_sparse32,0.4861960934428545,0.0015295882864565806,0.4826768510227921,0.48947043118180894,0.4851426733872429,0.4873477451683643,0.00454670026061803,4096,245760,mattern_cov1
pnorm32,0.24999478459358215,0.0,0.24999478459358215,0.24999478459358215,0.24999478459358215,0.24999478459358215,0.0,256,24576,mattern_cov2
pnorm_sparse32,0.24999478459358215,0.0,0.24999478459358215,0.24999478459358215,0.24999478459358215,0.24999478459358215,0.0,256,24576,mattern_cov2
pnorm32,0.24999478459358215,0.0,0.24999478459358215,0.24999478459358215,0.24999478459358215,0.24999478459358215,0.0,256,245760,mattern_cov2
pnorm_sparse32,0.24999478459358215,0.0,0.24999478459358215,0.24999478459358215,0.24999478459358215,0.24999478459358215,0.0,256,245760,mattern_cov2
pnorm32,0.25000497698783875,0.0,0.25000497698783875,0.25000497698783875,0.25000497698783875,0.25000497698783875,0.0,512,24576,mattern_cov2
pnorm_sparse32,0.25000497698783875,0.0,0.25000497698783875,0.25000497698783875,0.25000497698783875,0.25000497698783875,0.0,512,24576,mattern_cov2
pnorm32,0.25000497698783875,0.0,0.25000497698783875,0.25000497698783875,0.25000497698783875,0.25000497698783875,0.0,512,245760,mattern_cov2
pnorm_sparse32,0.25000497698783875,0.0,0.25000497698783875,0.25000497698783875,0.25000497698783875,0.25000497698783875,0.0,512,245760,mattern_cov2
pnorm32,0.24999478808391967,1.8537249549464625e-10,0.2499947876707059,0.24999478845772197,0.2499947879562872,0.24999478821882803,5.20874518560514e-10,1024,24576,mattern_cov2
pnorm_sparse32,0.24999478808391967,1.8537249549464625e-10,0.2499947876707059,0.24999478845772197,0.2499947879562872,0.24999478821882803,5.20874518560514e-10,1024,24576,mattern_cov2
pnorm32,0.24999478810056341,3.0126954098381705e-11,0.2499947880348676,0.24999478819117937,0.24999478808219164,0.24999478812308856,1.0095945345737826e-10,1024,245760,mattern_cov2
pnorm_sparse32,0.24999478810056341,3.0126954098381705e-11,0.2499947880348676,0.24999478819117937,0.24999478808219164,0.24999478812308856,1.0095945345737826e-10,1024,245760,mattern_cov2
pnorm32,0.25001162308459846,4.651072150925021e-9,0.2500116105935983,0.25001163241298247,0.2500116202581921,0.25001162715489045,1.3736993110964637e-8,2048,24576,mattern_cov2
pnorm_sparse32,0.2500045990345825,2.6209796829820494e-9,0.2500045930840618,0.25000460546652903,0.2500045973498951,0.25000460077111103,7.520795100619925e-9,2048,24576,mattern_cov2
