method,median,sd,min,max,Q1,Q3,se_est,n,n_pts,matrix
pnorm_sparse,0.25000553330950626,4.640339285568505e-9,0.2500055197253706,0.25000554239788303,0.25000552972392237,0.25000553582045754,1.5532126697313422e-8,256,24576,mattern_cov1
pnorm_sparse32,0.2500052750110626,1.4538518524603954e-8,0.25000524520874023,0.2500052750110626,0.25000524520874023,0.2500052750110626,2.633978473554066e-8,256,24576,mattern_cov1
pnorm_sparse,0.2500055334714214,4.085246174885483e-10,0.25000553210492377,0.25000553430549693,0.250005533161831,0.2500055337361324,1.3433002392142342e-9,256,245760,mattern_cov1
pnorm_sparse32,0.2500052750110626,8.482418493265887e-8,0.2500050365924835,0.2500055134296417,0.25000521540641785,0.2500053346157074,2.4112290603284236e-7,256,245760,mattern_cov1
pnorm_sparse,0.2510784699139013,3.182696838263454e-6,0.25107216669428395,0.2510861778346793,0.2510764486356706,0.25108134490673173,9.320322320778924e-6,512,24576,mattern_cov1
pnorm_sparse32,0.2510785162448883,3.994331095257799e-6,0.2510700821876526,0.2510887086391449,0.25107628107070923,0.2510817125439644,1.1025435978808674e-5,512,24576,mattern_cov1
pnorm_sparse,0.2510783577377013,8.479564605001814e-7,0.2510761747467358,0.2510799418386263,0.2510776272248679,0.25107890573510167,2.540924098043192e-6,512,245760,mattern_cov1
pnorm_sparse32,0.25107787549495697,3.8420307401536336e-5,0.25100401043891907,0.2511660158634186,0.2510537877678871,0.2511076033115387,0.00010810390547703719,512,245760,mattern_cov1
pnorm_sparse,0.2662098211359559,0.00012887442349860667,0.2658993073144013,0.2665688409970153,0.26609835558055467,0.26628450103156165,0.0004326302376470636,1024,24576,mattern_cov1
pnorm_sparse32,0.26623132824897766,0.00020444912582112546,0.2657266855239868,0.2666195333003998,0.266079843044281,0.26636088639497757,0.0005654879185021855,1024,24576,mattern_cov1
pnorm_sparse,0.26620786148422104,6.915740573607022e-5,0.2660590956197888,0.26642572392602226,0.26616082341486447,0.26625750152387845,0.00025000995455292145,1024,245760,mattern_cov1
pnorm_sparse32,0.2662312090396881,0.0009650073689622856,0.26383697986602783,0.26889219880104065,0.2656707167625427,0.26690036058425903,0.0029375184630043806,1024,245760,mattern_cov1
pnorm_sparse,0.33831679341077825,0.0009155211357882556,0.33638372694746327,0.34019605417787496,0.3377556601008251,0.3391290883244812,0.0028137934080139345,2048,24576,mattern_cov1
pnorm_sparse32,0.3385248929262161,0.0012207036450889777,0.3352677524089813,0.34175407886505127,0.33775606751441956,0.339303195476532,0.0035614590882323684,2048,24576,mattern_cov1
pnorm_sparse,0.3385350728119347,0.0005616857432313452,0.3371882899096925,0.3399298946126037,0.33806712435243724,0.33880761746698995,0.0015990927772650968,2048,245760,mattern_cov1
pnorm_sparse32,0.33861273527145386,0.0037464581571457975,0.32728850841522217,0.34539809823036194,0.33597829192876816,0.3412131071090698,0.011854229271411896,2048,245760,mattern_cov1
pnorm_sparse,0.4872113644700887,0.0027271379805403036,0.48062522349567116,0.49372600004025546,0.48559171936453305,0.48890034969368085,0.0076168970361521204,4096,24576,mattern_cov1
pnorm_sparse32,0.48621031641960144,0.0025767534101123917,0.4797270596027374,0.49360522627830505,0.4847918674349785,0.4883987605571747,0.00783890974940732,4096,24576,mattern_cov1
pnorm_sparse,0.4866134879778926,0.0015233402355272695,0.48250780693475553,0.4902751553207236,0.48566043394177155,0.48763056617343997,0.0045821225920498814,4096,245760,mattern_cov1
pnorm_sparse32,0.4875168204307556,0.005125343016940196,0.4775030314922333,0.49774372577667236,0.4823800399899483,0.4908238500356674,0.014970137476921082,4096,245760,mattern_cov1
pnorm_sparse,0.24999999999999276,1.1158161231197418e-16,0.24999999999999276,0.24999999999999276,0.24999999999999276,0.24999999999999276,7.531758831058265e-17,256,24576,mattern_cov2
pnorm_sparse32,0.24999482929706573,0.0,0.24999482929706573,0.24999482929706573,0.24999482929706573,0.24999482929706573,2.6957213350442544e-8,256,24576,mattern_cov2
pnorm_sparse,0.24999999999999276,1.1158161231197418e-16,0.24999999999999276,0.24999999999999276,0.24999999999999276,0.24999999999999276,2.5105862770194153e-17,256,245760,mattern_cov2
pnorm_sparse32,0.24999476969242096,0.0,0.24999476969242096,0.24999476969242096,0.24999476969242096,0.24999476969242096,2.6957213350442544e-8,256,245760,mattern_cov2
pnorm_sparse,0.24999999999998743,5.021172554038837e-16,0.24999999999998743,0.24999999999998743,0.24999999999998743,0.24999999999998743,7.100933001780276e-17,512,24576,mattern_cov2
pnorm_sparse32,0.25000494718551636,0.0,0.25000494718551636,0.25000494718551636,0.25000494718551636,0.25000494718551636,2.6957213350442544e-8,512,24576,mattern_cov2
pnorm_sparse,0.24999999999998726,4.2641661711938665e-16,0.24999999999998726,0.24999999999998734,0.24999999999998726,0.24999999999998726,3.1526911550039454e-17,512,245760,mattern_cov2
pnorm_sparse32,0.25000497698783875,0.0,0.25000497698783875,0.25000497698783875,0.25000497698783875,0.25000497698783875,2.6957213350442544e-8,512,245760,mattern_cov2
pnorm_sparse,0.25000000000002937,1.363169317717484e-16,0.2500000000000293,0.25000000000002953,0.25000000000002937,0.2500000000000294,1.279740405065528e-16,1024,24576,mattern_cov2
pnorm_sparse32,0.24999482929706573,0.0,0.24999482929706573,0.24999482929706573,0.24999482929706573,0.24999482929706573,2.706675317654117e-8,1024,24576,mattern_cov2
pnorm_sparse,0.25000000000002937,1.1158161231197418e-16,0.25000000000002937,0.25000000000002937,0.25000000000002937,0.25000000000002937,4.626084602139722e-17,1024,245760,mattern_cov2
pnorm_sparse32,0.24999479949474335,1.5635643667507154e-8,0.24999476969242096,0.24999482929706573,0.24999479949474335,0.24999479949474335,2.7960550443850707e-8,1024,245760,mattern_cov2
pnorm_sparse,0.25000007301456206,2.457324455941609e-10,0.2500000724871528,0.25000007373666044,0.25000007289191567,0.25000007321330686,7.47724840582361e-10,2048,24576,mattern_cov2
pnorm_sparse32,0.2500045597553253,1.3395147769912911e-8,0.25000452995300293,0.2500045895576477,0.2500045597553253,0.2500045597553253,3.1595727474353905e-8,2048,24576,mattern_cov2
pnorm_sparse,0.2500000730733314,3.233268715063117e-11,0.25000007296691207,0.25000007314834277,0.25000007305292,0.25000007308873345,9.193947249540608e-11,2048,245760,mattern_cov2
pnorm_sparse32,0.2500045597553253,3.996605704332116e-8,0.25000447034835815,0.2500046491622925,0.25000452995300293,0.2500045895576477,9.018610864330866e-8,2048,245760,mattern_cov2
pnorm_sparse,0.25006728027909403,4.290997718859221e-7,0.2500660790741996,0.2500686515316577,0.25006710201276483,0.2500675452166141,1.099563737787848e-6,4096,24576,mattern_cov2
pnorm_sparse32,0.2500673830509186,1.7716184382824885e-6,0.2500622272491455,0.25007256865501404,0.2500660717487335,0.250068299472332,5.6147778559534345e-6,4096,24576,mattern_cov2
pnorm_sparse,0.2500672660992819,1.3294442175495098e-7,0.25006691127845454,0.25006766912845807,0.25006718230763053,0.250067325739461,3.903375414149372e-7,4096,245760,mattern_cov2
pnorm_sparse32,0.25007039308547974,1.8453420726844278e-5,0.2500317096710205,0.25011005997657776,0.250056229531765,0.2500847429037094,5.566921570789418e-5,4096,245760,mattern_cov2
pnorm_sparse,0.698181732507152,0.000648470399970423,0.696284780286132,0.6996636157933201,0.6977576733477935,0.6987502681540596,0.00193652513124005,256,24576,fixed_dense
pnorm_sparse32,0.6981345415115356,0.0006475232368533317,0.6965547204017639,0.6996671557426453,0.6976733803749084,0.6985510140657425,0.001981577865080908,256,24576,fixed_dense
pnorm_sparse,0.6981064054161192,0.00032733111423261007,0.697197425755837,0.6988363330520374,0.6978829400619095,0.6983059028647078,0.0009075866530478232,256,245760,fixed_dense
pnorm_sparse32,0.698074221611023,0.00030421008479994437,0.6971579194068909,0.6989152431488037,0.6978916525840759,0.6983151435852051,0.0009070489479927346,256,245760,fixed_dense
pnorm_sparse,0.738923668182563,0.0006364074261422606,0.7368356818508767,0.7412291081347266,0.7386310034099415,0.7393428021771741,0.0019935533149738876,512,24576,fixed_dense
pnorm_sparse32,0.7389122247695923,0.0006214165550526149,0.7371899485588074,0.7401824593544006,0.7384787797927856,0.7392859309911728,0.002006549635552801,512,24576,fixed_dense
pnorm_sparse,0.7388865012733515,0.0002840125439874357,0.7379516338650008,0.7395653530633933,0.7387014573471286,0.739012506778355,0.0008515569279142013,512,245760,fixed_dense
pnorm_sparse32,0.7388512790203094,0.0002907545950162259,0.7381450533866882,0.739619791507721,0.7386557012796402,0.7390352338552475,0.0008682665682863444,512,245760,fixed_dense
pnorm_sparse,0.7737376387284096,0.0006998007378054431,0.7721728698081178,0.7754195996217846,0.7732522310177132,0.7742000648236348,0.001927967407098353,1024,24576,fixed_dense
pnorm_sparse32,0.7738754451274872,0.0006246775097136309,0.7720027565956116,0.7753920555114746,0.7734363377094269,0.7742624282836914,0.0020761020225472746,1024,24576,fixed_dense
pnorm_sparse,0.7738165130290099,0.0002684070133236028,0.7732119842908279,0.7745059233518199,0.773642919462024,0.7740377693388616,0.0007805355127122921,1024,245760,fixed_dense
pnorm_sparse32,0.773809939622879,0.0002455345356497782,0.7732426524162292,0.7743753790855408,0.7736298441886902,0.7739562392234802,0.0007782879122532904,1024,245760,fixed_dense
pnorm_sparse,0.803828326614993,0.0007289560045925066,0.8021309599018581,0.8053021352712123,0.803238131927613,0.8042098475871682,0.001989727840453938,2048,24576,fixed_dense
pnorm_sparse32,0.8038053512573242,0.0006339376248226785,0.8020434379577637,0.8051672577857971,0.8032861948013306,0.8042199909687042,0.0020695306197740138,2048,24576,fixed_dense
pnorm_sparse,0.8038975263853432,0.00022650128239662924,0.8033617481264731,0.8043404143771226,0.8037226854297977,0.8040319960911613,0.0006744867323342184,2048,245760,fixed_dense
pnorm_sparse32,0.8038444519042969,0.0002335008948784499,0.8030425906181335,0.804402768611908,0.8036972433328629,0.8039760589599609,0.0006760758149903268,2048,245760,fixed_dense
pnorm_sparse,0.8296206989095797,0.0005700475279357231,0.8285165114650512,0.8314293397103217,0.8292271117997319,0.8300226086075821,0.0020008123956224014,4096,24576,fixed_dense
