method,median,sd,min,max,Q1,Q3,se_est,n,n_pts,matrix
pnorm_sparse,0.25000553330950626,4.64033928991837e-9,0.2500055197253706,0.25000554239788314,0.25000552972392237,0.25000553582045754,1.5532126698327122e-8,256,24576,mattern_cov1
pnorm_sparse32,0.2500052750110626,1.4461177202877705e-8,0.25000524520874023,0.2500052750110626,0.25000524520874023,0.2500052750110626,2.6504899768298173e-8,256,24576,mattern_cov1
pnorm_sparse,0.2500055334714214,4.085246217174889e-10,0.25000553210492377,0.25000553430549705,0.250005533161831,0.2500055337361323,1.3433002397999463e-9,256,245760,mattern_cov1
pnorm_sparse32,0.2500052750110626,8.255748087721519e-8,0.2500050961971283,0.2500055134296417,0.25000521540641785,0.2500053346157074,2.4697040373666823e-7,256,245760,mattern_cov1
pnorm_sparse,0.25107846991390126,3.1826968382624356e-6,0.25107216669428395,0.2510861778346793,0.2510764486356706,0.25108134490673173,9.320322320778658e-6,512,24576,mattern_cov1
pnorm_sparse32,0.2510785162448883,3.994364785985255e-6,0.2510700821876526,0.2510887086391449,0.25107627362012863,0.2510817125439644,1.1025611615878007e-5,512,24576,mattern_cov1
pnorm_sparse,0.25107835773770126,8.479564605009784e-7,0.25107617474673577,0.25107994183862625,0.2510776272248679,0.25107890573510167,2.540924098042462e-6,512,245760,mattern_cov1
pnorm_sparse32,0.25107789039611816,3.842102302032365e-5,0.25100401043891907,0.2511660158634186,0.2510537952184677,0.2511076033115387,0.00010810303363541607,512,245760,mattern_cov1
pnorm_sparse,0.2662098211359559,0.00012887442349860653,0.26589930731440126,0.2665688409970153,0.26609835558055467,0.26628450103156165,0.0004326302376470645,1024,24576,mattern_cov1
pnorm_sparse32,0.26623131334781647,0.00020445186014318427,0.26572665572166443,0.2666195034980774,0.266079843044281,0.26636089384555817,0.0005654877037159167,1024,24576,mattern_cov1
pnorm_sparse,0.266207861484221,6.915740573607267e-5,0.26605909561978874,0.2664257239260223,0.26616082341486447,0.26625750152387845,0.0002500099545529222,1024,245760,mattern_cov1
pnorm_sparse32,0.2662312239408493,0.0009650070138943764,0.26383697986602783,0.26889219880104065,0.26567069441080093,0.2669003829360008,0.0029375197307672353,1024,245760,mattern_cov1
pnorm_sparse,0.3383167934107784,0.0009155211357882506,0.3363837269474634,0.3401960541778751,0.33775566010082514,0.33912908832448135,0.0028137934080139314,2048,24576,mattern_cov1
pnorm_sparse32,0.33852478861808777,0.0012207011039217365,0.33526766300201416,0.3417540490627289,0.337756022810936,0.33930307626724243,0.003561457812320441,2048,24576,mattern_cov1
pnorm_sparse,0.3385350728119348,0.000561685743231328,0.3371882899096927,0.33992989461260376,0.3380671243524374,0.3388076174669901,0.001599092777265105,2048,245760,mattern_cov1
