method,median,min,max,Q1,Q3,n,n_pts
pnorm,0.000579125,0.000576875,0.000581375,0.000578,0.00058025,16,2400
mvnormcdf,0.0019061665,0.001887208,0.001925125,0.00189668725,0.0019156457500000001,16,2400
mvnmvt,0.0282760005,0.026424292,0.030127709,0.02735014625,0.02920185475,16,2400
tlr,0.0475780835,0.046060708,0.049095459,0.04681939575,0.04833677125,16,2400
pnorm,0.0013555,0.00126775,0.00144325,0.001311625,0.001399375,16,12000
mvnormcdf,0.0093968755,0.009336584,0.009457167,0.00936672975,0.00942702125,16,12000
mvnmvt,0.028219854,0.027601333,0.028838375,0.027910593499999997,0.0285291145,16,12000
tlr,0.2480640415,0.243095292,0.253032791,0.24557966674999998,0.25054841624999996,16,12000
pnorm,0.0008819585,0.000831958,0.000931959,0.0008569582500000001,0.0009069587500000001,32,2400
mvnormcdf,0.004614021,0.004539167,0.004688875,0.004576594,0.004651448000000001,32,2400
mvnmvt,0.056901542,0.056493875,0.057309209,0.0566977085,0.0571053755,32,2400
tlr,0.09851035450000001,0.096298417,0.100722292,0.09740438575,0.09961632325,32,2400
pnorm,0.0014095415,0.001266792,0.001552291,0.00133816675,0.00148091625,32,12000
mvnormcdf,0.023871791000000003,0.023762666,0.023980916,0.023817228500000003,0.0239263535,32,12000
mvnmvt,0.055531312,0.055212958,0.055849666,0.055372134999999996,0.055690489,32,12000
tlr,0.5187620625,0.51820225,0.519321875,0.51848215625,0.51904196875,32,12000
pnorm,0.001604417,0.001491834,0.001717,0.0015481255,0.0016607085,64,2400
mvnormcdf,0.010700146,0.010549958,0.010850334,0.010625052,0.010775239999999998,64,2400
mvnmvt,0.1315250625,0.129952833,0.133097292,0.13073894775,0.13231117725000002,64,2400
tlr,0.197031708,0.195624916,0.1984385,0.196328312,0.197735104,64,2400
pnorm,0.0020198335,0.002002792,0.002036875,0.0020113127500000004,0.00202835425,64,12000
mvnormcdf,0.050794958,0.050235333,0.051354583,0.050515145500000004,0.0510747705,64,12000
mvnmvt,0.1309190415,0.130329708,0.131508375,0.13062437475,0.13121370825,64,12000
tlr,1.149926708,1.146134625,1.153718791,1.1480306665,1.1518227495,64,12000
pnorm,0.003025896,0.002882792,0.003169,0.002954344,0.003097448,128,2400
mvnormcdf,0.024625750000000002,0.024557875,0.024693625,0.024591812499999997,0.0246596875,128,2400
mvnmvt,0.36370514600000003,0.359040917,0.368369375,0.3613730315,0.3660372605,128,2400
tlr,0.43752893699999995,0.434528041,0.440529833,0.43602848899999996,0.439029385,128,2400
pnorm,0.0036744585,0.003253459,0.004095458,0.00346395875,0.00388495825,128,12000
mvnormcdf,0.11256652049999999,0.111017416,0.114115625,0.11179196825,0.11334107275,128,12000
mvnmvt,0.3585417085,0.3568035,0.360279917,0.35767260424999997,0.35941081275000003,128,12000
tlr,2.7645137914999998,2.751348791,2.777678792,2.75793129125,2.77109629175,128,12000
pnorm,0.010765354000000001,0.007864958,0.01366575,0.009315156000000002,0.012215552,256,2400
mvnormcdf,0.067856521,0.067189292,0.06852375,0.0675229065,0.0681901355,256,2400
mvnmvt,1.157777938,1.141483334,1.174072542,1.149630636,1.16592524,256,2400
tlr,1.0367238125,1.0219655,1.051482125,1.02934465625,1.04410296875,256,2400
pnorm,0.016443667,0.016392834,0.0164945,0.0164182505,0.0164690835,256,12000
mvnormcdf,0.27241831250000004,0.261634833,0.283201792,0.26702657275,0.27781005225,256,12000
mvnmvt,1.128322271,1.127118792,1.12952575,1.1277205315,1.1289240105,256,12000
tlr,6.708787854500001,6.668449959,6.74912575,6.68861890675,6.72895680225,256,12000
pnorm,0.028534354499999998,0.026644167,0.030424542,0.02758926075,0.029479448249999998,512,2400
mvnormcdf,0.28097875,0.254730125,0.307227375,0.2678544375,0.2941030625,512,2400
mvnmvt,3.9110485625000004,3.901499375,3.92059775,3.9062739687500003,3.91582315625,512,2400
tlr,3.2459067915,3.235594333,3.25621925,3.2407505622499997,3.2510630207499998,512,2400
pnorm,0.0672533335,0.065374958,0.069131709,0.06631414575,0.06819252125,512,12000
mvnormcdf,0.8271179165,0.825658583,0.82857725,0.8263882497499999,0.8278475832500001,512,12000
mvnmvt,3.9201074795,3.906507875,3.933707084,3.91330767725,3.92690728175,512,12000
tlr,19.741611333,19.725720708,19.757501958,19.733666020500003,19.7495566455,512,12000
pnorm,0.05997875,0.057741583,0.062215917,0.058860166500000005,0.0610973335,1024,2400
mvnormcdf,1.7328354165,1.696458333,1.7692125,1.71464687475,1.75102395825,1024,2400
pnorm,0.15522927050000002,0.144193375,0.166265166,0.14971132275000001,0.16074721825,1024,12000
mvnormcdf,3.138866604,3.107269,3.170464208,3.123067802,3.154665406,1024,12000
pnorm,0.13262625,0.125042416,0.140210084,0.128834333,0.136418167,2048,2400
mvnormcdf,15.1999258335,15.199857958,15.199993709,15.19989189575,15.19995977125,2048,2400
pnorm,0.45296512499999997,0.411317667,0.494612583,0.432141396,0.47378885400000004,2048,12000
mvnormcdf,19.57660075,18.921619792,20.231581708,19.249110271,19.904091229000002,2048,12000
pnorm,0.3566738335,0.3482065,0.365141167,0.35244016675,0.36090750024999996,4096,2400
mvnormcdf,127.0628046045,125.378546875,128.747062334,126.22067573974999,127.90493346924998,4096,2400
pnorm,1.4912562705,1.437657708,1.544854833,1.46445698925,1.5180555517499998,4096,12000
mvnormcdf,139.995242146,137.806367125,142.184117167,138.9008046355,141.0896796565,4096,12000
