method,median,sd,min,max,Q1,Q3,se_est,n,n_pts
pnorm,0.27126970874840706,0.0011217228769661218,0.27047653089549223,0.2720628866013219,0.27087311982194967,0.27166629767486444,0.00029865928181994526,16,2400
mvnormcdf,0.271248641632748,0.0011879742748673913,0.27040861696711405,0.27208866629838185,0.270828629299931,0.2716686539655649,0.00030514793727887373,16,2400
mvnmvt,0.2712650701715509,0.0013201097715486037,0.2703316116001782,0.2721985287429235,0.2707983408858645,0.2717317994572372,2.5330694225816312e-5,16,2400
tlr,0.2712537262844914,0.0013248294171757807,0.270316930419691,0.27219052214929185,0.27078532835209124,0.2717221242168916,4.388785474716321e-5,16,2400
pnorm,0.2712556273261132,0.001279347893365247,0.2703509917552179,0.27216026289700845,0.27080330954066556,0.2717079451115608,0.00010939705218667657,16,12000
mvnormcdf,0.27128550132651796,0.0013320285496385914,0.2703436149063344,0.27222738774670147,0.2708145581164262,0.27175644453660974,0.00010655522582162844,16,12000
mvnmvt,0.2712693382301409,0.0013253707435951238,0.2703321595897585,0.2722065168705232,0.27080074890994965,0.27173792755033205,3.0049095182079737e-5,16,12000
tlr,0.27126079299616596,0.0013231320646333474,0.27032519734085836,0.27219638865147355,0.2707929951685122,0.2717285908238197,1.1287223292615032e-5,16,12000
pnorm,0.27056225687240304,0.0005425971670566653,0.27017858273612466,0.2709459310086814,0.27037041980426385,0.27075409394054223,0.0009407127535859114,32,2400
mvnormcdf,0.2702962707354031,0.0007212774430237064,0.2697862505643241,0.270806290906482,0.27004126064986356,0.27055128082094254,0.0010502760206665277,32,2400
mvnmvt,0.2705149960314157,0.0006033914867085653,0.27008833381945385,0.27094165824337757,0.2703016649254348,0.27072832713739664,7.057182619165896e-5,32,2400
tlr,0.2704747555131957,0.0005769669668155185,0.27006677825843983,0.2708827327679516,0.27027076688581775,0.2706787441405737,4.4478546865700134e-5,32,2400
pnorm,0.27045392459989215,0.000537206950273358,0.2700740619224533,0.270833787277331,0.27026399326117273,0.27064385593861157,0.00018143116647846585,32,12000
mvnormcdf,0.27044126470733343,0.0005966262994603413,0.2700193862051508,0.2708631432095161,0.27023032545624215,0.27065220395842476,0.0002515938546466935,32,12000
mvnmvt,0.2704891802218277,0.0006049156879346875,0.270061440236843,0.27091692020681246,0.2702753102293354,0.27070305021432006,5.339939724602707e-5,32,12000
tlr,0.2705049603065193,0.0006129927121084606,0.2700715090029695,0.27093841161006915,0.2702882346547444,0.27072168595829427,1.5742744047508704e-5,32,12000
pnorm,0.26669675187324626,0.0006400502197186805,0.2662441680225832,0.26714933572390925,0.26647045994791474,0.2669230437985778,0.0011371793969575706,64,2400
mvnormcdf,0.26670865218149387,0.0005166602943289568,0.266343318183804,0.2670739861791837,0.266525985182649,0.26689131918033876,0.0010158775788955434,64,2400
mvnmvt,0.26652526321726333,0.0005501831337223416,0.26613622499251377,0.26691430144201284,0.26633074410488855,0.2667197823296381,0.0001097381482448246,64,2400
tlr,0.2664964977323079,0.000508150315104647,0.2661371811986353,0.26685581426598043,0.2663168394654716,0.2666761559991441,9.363767915665625e-5,64,2400
