method,median,min,max,Q1,Q3,n,n_pts,sim
pnorm,0.0018158125000000002,0.001366708,0.014268167,0.00163591675,0.001992302,16,24576,sim1
mvnormcdf,0.020586312,0.019298625,0.032005333,0.020309531,0.020945968250000002,16,24576,sim1
mvnmvt,0.027000000001862645,0.025999999983469024,0.028000000020256266,0.026999999972758815,0.027000000001862645,16,24576,sim1
tlr,0.024000000004889444,0.023999999975785613,0.025000000023283064,0.024000000004889444,0.024999999994179234,16,24576,sim1
pnorm,0.017362146000000002,0.015683125,0.030435875,0.01688078125,0.01793163525,16,245760,sim1
mvnormcdf,0.18473489599999998,0.183801166,0.192449916,0.18429909425,0.186661167,16,245760,sim1
mvnmvt,0.21600000001490116,0.21499999999650754,0.22500000000582077,0.21599999998579733,0.21600000001490116,16,245760,sim1
tlr,0.2449999999953434,0.24299999998765998,0.2519999999785796,0.2449999999953434,0.24599999998463318,16,245760,sim1
pnorm,0.0028341455,0.002443,0.01399125,0.0027336457500000003,0.00292305225,32,24576,sim1
mvnormcdf,0.049641771,0.048947666,0.063011291,0.04959942675,0.0496848955,32,24576,sim1
mvnmvt,0.05599999998230487,0.05499999999301508,0.05700000000069849,0.05500000002211891,0.0560000000114087,32,24576,sim1
tlr,0.04899999999906868,0.04899999999906868,0.05100000000675209,0.04899999999906868,0.049250000018219,32,24576,sim1
pnorm,0.023940667,0.022311208,0.035981208,0.023487386,0.02436585375,32,245760,sim1
mvnormcdf,0.465231646,0.463928166,0.47837875,0.46483129175,0.4656211875,32,245760,sim1
mvnmvt,0.4539999999979045,0.4529999999795109,0.46300000001792796,0.4539999999979045,0.4539999999979045,32,245760,sim1
tlr,0.5389999999897555,0.5160000000032596,0.5419999999867287,0.5190000000002328,0.5390000000188593,32,245760,sim1
pnorm,0.004299167,0.0039065,0.009342958,0.004214416499999999,0.0044373755,64,24576,sim1
mvnormcdf,0.1037464375,0.103292417,0.116808209,0.1036685725,0.10383583325,64,24576,sim1
mvnmvt,0.13300000000162981,0.1319999999832362,0.1339999999909196,0.13300000000162981,0.13300000000162981,64,24576,sim1
tlr,0.10099999999511056,0.10099999999511056,0.10200000001350418,0.10099999999511056,0.10199999998440035,64,24576,sim1
pnorm,0.0380093535,0.036757042,0.049884334,0.0375744375,0.038395115,64,245760,sim1
mvnormcdf,0.9740108335,0.970571042,0.987458458,0.972802698,0.9753207185000001,64,245760,sim1
mvnmvt,1.081000000005588,1.0799999999871943,1.103000000002794,1.080999999998312,1.0819999999948777,64,245760,sim1
tlr,1.088000000017928,1.0869999999995343,1.0979999999981374,1.0879999999888241,1.0890000000072177,64,245760,sim1
pnorm,0.0074003335,0.006978416,0.01812675,0.00729517675,0.00752092725,128,24576,sim1
mvnormcdf,0.21301768799999998,0.212088792,0.226120625,0.21285885425,0.21321454199999998,128,24576,sim1
mvnmvt,0.3669999999983702,0.3669999999983702,0.3690000000060536,0.3669999999983702,0.36799999999493593,128,24576,sim1
tlr,0.21600000001490116,0.21599999998579733,0.21900000001187436,0.21599999998579733,0.21700000000419095,128,24576,sim1
pnorm,0.071418417,0.0695325,0.082743667,0.07084535375,0.0723261355,128,245760,sim1
mvnormcdf,2.1069227704999998,2.056020042,2.124310417,2.1052735835000003,2.1108150307500004,128,245760,sim1
mvnmvt,2.9884999999922,2.986000000004424,3.0350000000034925,2.9879999999830034,2.9899999999906868,128,245760,sim1
tlr,2.668499999999767,2.6630000000004657,2.8699999999953434,2.665999999997439,2.760999999998603,128,245760,sim1
pnorm,0.014825896,0.014070333,0.041279583,0.01459380175,0.015613011000000001,256,24576,sim1
mvnormcdf,0.447206521,0.425883,0.482948,0.44638439575,0.4516265935,256,24576,sim1
mvnmvt,1.1089999999967404,1.1080000000074506,1.1829999999899883,1.1089999999967404,1.1112500000017462,256,24576,sim1
tlr,0.5169999999925494,0.5150000000139698,0.5210000000079162,0.5169999999925494,0.5179999999818392,256,24576,sim1
pnorm,0.13604412500000002,0.133285833,0.145452083,0.13545188575,0.13684834325,256,245760,sim1
mvnormcdf,4.888022583,4.706450208,4.9098125,4.73534619775,4.8914065525,256,245760,sim1
mvnmvt,9.001000000003842,8.997000000003027,9.434000000008382,9.0,9.002999999996973,256,245760,sim1
tlr,6.393000000010943,6.387999999977183,6.597999999998137,6.39100000000326,6.3950000000186265,256,245760,sim1
pnorm,0.0343298545,0.032875209,0.0390515,0.033970625000000004,0.03462968725,512,24576,sim1
mvnormcdf,1.0368715835,0.985550209,1.070991542,0.99389852075,1.04038631275,512,24576,sim1
mvnmvt,3.877999999996973,3.87599999998929,4.058000000019092,3.8770000000004075,3.878999999986263,512,24576,sim1
tlr,1.2399999999906868,1.2389999999722932,1.2599999999802094,1.239000000001397,1.2400000000197906,512,24576,sim1
pnorm,0.284872938,0.280465334,0.290417125,0.28377003125,0.2859639585,512,245760,sim1
mvnormcdf,12.072862416500001,11.93896525,12.449391583,11.96980253125,12.304301771,512,245760,sim1
mvnmvt,32.73050000000512,31.304000000003725,32.79299999997602,32.728000000002794,32.73425000001589,512,245760,sim1
tlr,18.09550000001036,18.030999999988126,18.659000000014203,18.04899999999907,18.126249999986612,512,245760,sim1
pnorm,0.095611479,0.085207542,0.132255375,0.08789977075,0.10859375025,1024,24576,sim2
mvnormcdf,3.5433631255,3.421466291,3.667684708,3.4721529167500003,3.5930878022500004,1024,24576,sim2
tlr,4.517000000007101,4.511999999987893,4.714000000007218,4.51600000000326,4.549750000012864,1024,24576,sim2
pnorm,0.660189896,0.64079125,0.687528417,0.64826182275,0.66882111425,1024,245760,sim2
mvnormcdf,49.306859854,48.995647667,50.325030208,49.1850310525,49.51178380225001,1024,245760,sim2
tlr,51.74800000000687,51.702000000019325,52.34799999999814,51.73275000000285,51.79525000001013,1024,245760,sim2
pnorm,0.2983595,0.276563292,0.326082917,0.28588378125,0.3088648855,2048,24576,sim2
mvnormcdf,22.507838958,22.042933334,23.000379083,22.316544833000002,22.6992367495,2048,24576,sim2
tlr,14.303499999979977,14.211999999999534,14.436999999976251,14.285999999992782,14.318500000001222,2048,24576,sim2
pnorm,1.7899615835,1.730663917,1.839383792,1.7678556147500002,1.80606307275,2048,245760,sim2
mvnormcdf,240.9479920835,240.087314708,245.800783792,240.6770076355,241.191559385,2048,245760,sim2
tlr,150.17799999998533,149.90099999998347,150.58500000002095,150.1579999999958,150.20025000000896,2048,245760,sim2
pnorm,1.0691391665,1.024368666,1.109286208,1.0525863119999999,1.0737199687499999,4096,24576,sim2
mvnormcdf,163.8139061045,161.810822,189.395448875,162.9229568545,165.014916854,4096,24576,sim2
tlr,50.80350000000908,50.67799999998533,51.98300000000745,50.78599999999278,50.82224999999016,4096,24576,sim2
pnorm,5.7412981665,5.698107917,5.800411625,5.730246354,5.75457744775,4096,245760,sim2
mvnormcdf,1088.562104021,1083.753487916,1096.198872875,1087.472353573,1089.3585563749998,4096,245760,sim2
tlr,515.747000000003,515.0580000000191,554.4800000000396,515.2240000000165,516.773749999993,4096,245760,sim2
