method,median,sd,min,max,Q1,Q3,se_est,n,n_pts,sim
pnorm,0.2722017699479762,2.1520251967808357e-5,0.2721323860907415,0.2722610855866718,0.2721883673451368,0.27221530632850316,7.626112849785699e-5,16,24576,sim1
mvnormcdf,0.2721964582654036,2.2715093607097532e-5,0.27214714692050085,0.272252263284947,0.2721863498782888,0.27221335586583684,6.387557784047526e-5,16,24576,sim1
mvnmvt,0.2721952123885873,8.597451008173275e-6,0.27217682162245715,0.27221958794614387,0.2721908425224691,0.2722020964959606,3.3642609206737615e-5,16,24576,sim1
tlr,0.2721938861162063,4.160524598755586e-5,0.2721182963184822,0.27229870192321554,0.272167720707835,0.2722240814475785,7.926698711009452e-5,16,24576,sim1
pnorm,0.2721977597048417,3.5844877204304635e-6,0.27219033276074267,0.272205036152449,0.27219451635659775,0.27220048039293304,1.0907961346175806e-5,16,245760,sim1
mvnormcdf,0.27219709587192653,2.418600463838225e-6,0.27219270661753253,0.27220294451325666,0.27219553380858164,0.2721990213021235,6.828802250896008e-6,16,245760,sim1
mvnmvt,0.2721976319437479,2.6795887341328988e-6,0.27219021459531434,0.2722055207294867,0.27219593091635913,0.2721992607511324,8.062893056925428e-6,16,245760,sim1
tlr,0.27219823820120814,3.987124386041889e-6,0.27218858100657717,0.27221144363700117,0.2721954249738926,0.2722007272846229,9.143570012509236e-6,16,245760,sim1
pnorm,0.27006796709089265,4.3994144937620376e-5,0.2699590817140958,0.270164487241147,0.27004286825909846,0.2701028533662543,0.00012891032771454372,32,24576,sim1
mvnormcdf,0.2700731469729052,3.6813049799348335e-5,0.26998439555446785,0.27014443067020544,0.270039476607528,0.27009714325301415,0.00011595841904885264,32,24576,sim1
mvnmvt,0.27006743951108414,1.3803426014857808e-5,0.27003747361414276,0.2701034177071862,0.2700568206840266,0.2700763557509318,5.851878817893363e-5,32,24576,sim1
tlr,0.2700788417140012,6.379340070166723e-5,0.2699394288615278,0.27024529865879066,0.270041079361942,0.27011645673250173,0.00011136141145938087,32,24576,sim1
pnorm,0.270070168872692,5.487499423977267e-6,0.27005600099494115,0.2700873414235968,0.27006704765215234,0.2700732787679534,1.7839487134130746e-5,32,245760,sim1
mvnormcdf,0.27007127430762995,5.434423117080267e-6,0.27005771526137534,0.2700817163061437,0.27006756513516356,0.2700738404633969,1.4671637284243645e-5,32,245760,sim1
mvnmvt,0.270070525485008,5.306623765058807e-6,0.2700563938339349,0.27008213842463447,0.2700668512843598,0.27007353822310276,1.6113994295958552e-5,32,245760,sim1
tlr,0.2700703857098369,1.0360569236619901e-5,0.2700423042921502,0.2700903235541451,0.2700618225206586,0.27007561538191294,1.7247604203047416e-5,32,245760,sim1
pnorm,0.2661531401378191,5.9195422529275347e-5,0.2660047298170883,0.26631051188356775,0.26609938059441307,0.26618136792516367,0.0001690873744997028,64,24576,sim1
mvnormcdf,0.2661380918139614,4.160991876200055e-5,0.2660447391809161,0.26625231762284624,0.26611474645042404,0.26616671549960524,0.00013109505595622898,64,24576,sim1
mvnmvt,0.26614049483613267,3.2050348465827455e-5,0.2660586382971243,0.26621603981589925,0.2661186717492334,0.26616430130692703,9.519667231206133e-5,64,24576,sim1
tlr,0.2661368641350853,6.612356060576719e-5,0.26597578288975937,0.26632643609120815,0.266086630997984,0.26617773286712876,0.00013997388894268332,64,24576,sim1
