n,m,method,min,median,BLAS
512,1024,pnorm,0.000765375,0.000824292,Accelerate
512,1024,mul!,0.000377792,0.0004234795,Accelerate
512,1024,mul!_UpperTriangular,0.000316542,0.00036041649999999997,Accelerate
512,16384,pnorm,0.011920833,0.0130858955,Accelerate
512,16384,mul!,0.008526333,0.0092103125,Accelerate
512,16384,mul!_UpperTriangular,0.006129333,0.006435,Accelerate
1024,1024,pnorm,0.001948792,0.0021571665,Accelerate
1024,1024,mul!,0.00156725,0.0018197915,Accelerate
1024,1024,mul!_UpperTriangular,0.001043958,0.0012843745,Accelerate
1024,16384,pnorm,0.0295375,0.0318103335,Accelerate
1024,16384,mul!,0.0296455,0.0315710415,Accelerate
1024,16384,mul!_UpperTriangular,0.020126,0.022406521,Accelerate
2048,1024,pnorm,0.0065885,0.0073720415,Accelerate
2048,1024,mul!,0.007246917,0.0075482915,Accelerate
2048,1024,mul!_UpperTriangular,0.004832208,0.0051139795,Accelerate
2048,16384,pnorm,0.097355625,0.101200187,Accelerate
2048,16384,mul!,0.137516708,0.13866120850000002,Accelerate
2048,16384,mul!_UpperTriangular,0.083557667,0.084129021,Accelerate
4096,1024,pnorm,0.025417667,0.026923791500000002,Accelerate
4096,1024,mul!,0.027690625,0.0283226875,Accelerate
4096,1024,mul!_UpperTriangular,0.020020666,0.020235312499999998,Accelerate
4096,16384,pnorm,0.404945125,0.417246417,Accelerate
4096,16384,mul!,0.489815416,0.4915287085,Accelerate
4096,16384,mul!_UpperTriangular,0.32570325,0.32683652100000005,Accelerate
8192,1024,pnorm,0.097127333,0.100738729,Accelerate
8192,1024,mul!,0.1095345,0.112295125,Accelerate
8192,1024,mul!_UpperTriangular,0.082857583,0.08318008299999999,Accelerate
8192,16384,pnorm,1.640717875,1.6876315415,Accelerate
8192,16384,mul!,1.872926542,1.8804412495,Accelerate
8192,16384,mul!_UpperTriangular,1.284453834,1.2885624585,Accelerate
512,1024,pnorm,0.000918416,0.0010619795,OpenBLAS
512,1024,mul!,0.000771459,0.000790542,OpenBLAS
512,1024,mul!_UpperTriangular,0.000494916,0.000499729,OpenBLAS
512,16384,pnorm,0.014206541,0.014788146,OpenBLAS
512,16384,mul!,0.012474333,0.0126799585,OpenBLAS
512,16384,mul!_UpperTriangular,0.007908791,0.008057979,OpenBLAS
1024,1024,pnorm,0.002546458,0.0027256875,OpenBLAS
1024,1024,mul!,0.003119875,0.003193417,OpenBLAS
1024,1024,mul!_UpperTriangular,0.00187375,0.001904583,OpenBLAS
1024,16384,pnorm,0.041188375,0.041572937500000004,OpenBLAS
1024,16384,mul!,0.049777667,0.0505668545,OpenBLAS
1024,16384,mul!_UpperTriangular,0.02840225,0.0287500625,OpenBLAS
2048,1024,pnorm,0.008737708,0.0089427915,OpenBLAS
2048,1024,mul!,0.012412583,0.012577083499999999,OpenBLAS
2048,1024,mul!_UpperTriangular,0.007420084,0.0075482710000000005,OpenBLAS
2048,16384,pnorm,0.13792325,0.1395220205,OpenBLAS
2048,16384,mul!,0.195549875,0.1975921045,OpenBLAS
2048,16384,mul!_UpperTriangular,0.104759166,0.106045104,OpenBLAS
4096,1024,pnorm,0.031336958,0.031793375,OpenBLAS
4096,1024,mul!,0.049334333,0.0500306665,OpenBLAS
4096,1024,mul!_UpperTriangular,0.029920833,0.030365999499999997,OpenBLAS
4096,16384,pnorm,0.492727084,0.4962272085,OpenBLAS
4096,16384,mul!,0.777764917,0.784948771,OpenBLAS
4096,16384,mul!_UpperTriangular,0.406133584,0.412197646,OpenBLAS
8192,1024,pnorm,0.118816042,0.123668938,OpenBLAS
8192,1024,mul!,0.195683334,0.1983989995,OpenBLAS
8192,1024,mul!_UpperTriangular,0.117862209,0.1211935005,OpenBLAS
8192,16384,pnorm,1.870190541,1.8972879374999998,OpenBLAS
8192,16384,mul!,3.105505667,3.129621437,OpenBLAS
8192,16384,mul!_UpperTriangular,1.597368459,1.6215158335000002,OpenBLAS
