Section,Calls,Time_sec,Alloc_MiB,Percent,n,n_pts
Generating QMC points,20,0.000174586,1.267852783203125,0.05195160346856837,16,1024
Cholesky,10,5.9041e-5,0.033416748046875,0.017568846416022733,16,1024
Pre-allocation,10,0.000829208,4.1769561767578125,0.24674764992018053,16,1024
Affine scrambling,28800,0.0001836818125,3.918332099914551,0.054658246866231684,16,1024
BLAS mul!,1920,5.7339375e-6,0.028636932373046875,0.0017062493402309135,16,1024
Clculation of CDFs,28800,0.0009612458125,0.25634193420410156,0.2860381776707286,16,1024
Computation of quantiles,28800,0.0008182931875,0.2715902328491211,0.24349972619815372,16,1024
Internal multiplication,28800,0.000328761,0.11673545837402344,0.09782950011988364,16,1024
Generating QMC points,20,0.000676125,5.066375732421875,0.043721802912879235,64,1024
Cholesky,10,0.000436705,0.352020263671875,0.028239644948891002,64,1024
Pre-allocation,10,0.001974423,15.783096313476562,0.12767658831230283,64,1024
Affine scrambling,120960,0.0009549660625,0.11498641967773438,0.06175313436585441,64,1024
BLAS mul!,1920,8.739125e-6,0.03551006317138672,0.0005651178419390139,64,1024
Clculation of CDFs,120960,0.0049104770625,0.23460865020751953,0.31753730498774513,64,1024
Computation of quantiles,120960,0.004645720375,0.2835531234741211,0.3004167433893103,64,1024
Internal multiplication,120960,0.001857096875,0.1183319091796875,0.12008966324107809,64,1024
Generating QMC points,20,0.00274925,20.256805419921875,0.04140777078796822,256,1024
Cholesky,10,0.006820624,5.142059326171875,0.10272868426767845,256,1024
Pre-allocation,10,0.003870877000000001,55.71839904785156,0.05830113215037487,256,1024
Affine scrambling,489600,0.003918410875,0.1803722381591797,0.05901706260437647,256,1024
BLAS mul!,3840,0.00141567875,0.013997077941894531,0.02132221558221237,256,1024
Clculation of CDFs,489600,0.0196300966875,0.2756538391113281,0.295658286507831,256,1024
Computation of quantiles,489600,0.018877107875,0.3610801696777344,0.28431716141775026,256,1024
Internal multiplication,489600,0.009112497375,0.18906784057617188,0.13724768668180853,256,1024
Generating QMC points,20,0.008077705,81.01898193359375,0.018666711606602035,1024,1024
Cholesky,10,0.168137417,80.55221557617188,0.38854757303194243,1024,1024
Pre-allocation,10,0.007745956999999998,251.71510314941406,0.017900077489353752,1024,1024
Affine scrambling,1964160,0.0191557076875,0.1488475799560547,0.04426679001312032,1024,1024
BLAS mul!,15360,0.0437148665,0.03262805938720703,0.1010203771834461,1024,1024
Clculation of CDFs,1964160,0.0762239950625,0.2624521255493164,0.17614549347057673,1024,1024
Computation of quantiles,1964160,0.074079055375,0.3003358840942383,0.17118876744999073,1024,1024
Internal multiplication,1964160,0.035598451,0.14329147338867188,0.08226420975496801,1024,1024
Generating QMC points,20,0.041610086,324.06585693359375,0.005039727980999779,4096,1024
Cholesky,10,5.106852871,1282.1928405761719,0.6185315096159079,4096,1024
Pre-allocation,10,0.07041092099999968,1935.699478149414,0.008528025842860871,4096,1024
Affine scrambling,7862400,0.1381306774375,0.1654500961303711,0.016730103372442524,4096,1024
BLAS mul!,61440,2.0809036173125,0.04431724548339844,0.25203476354106696,4096,1024
