n,chol_fun,t_min,t_median,t_mean,t_max
16,cholesky_blas,1.0,1.13646288209607,1.4175207423580793,56.44978165938865
16,cholesky_blas_pivoted,1.8646288209606987,2.137554585152839,2.42717576419214,58.269650655021834
16,chol_classic,1.0,1.2740174672489084,1.3303395196506558,13.282751091703057
16,chol_genz,2.410480349344978,3.275109170305677,3.3275043668122257,23.017467248908297
16,chol_rowmax,1.13646288209607,1.4563318777292578,1.4920906113537118,9.051310043668122
32,cholesky_blas,1.0,1.4097167584579071,1.4739642014162075,8.621951219512196
32,cholesky_blas_pivoted,1.7702596380802518,2.442171518489378,2.4664921321793862,4.737214791502754
32,chol_classic,1.4752163650668766,1.9097167584579071,1.8859362706530287,3.327301337529504
32,chol_genz,2.753737214791503,3.7863886703383165,3.596192761605035,5.359952793076318
32,chol_rowmax,1.4099134539732494,1.8194335169158142,1.762501573564123,2.409520062942565
64,cholesky_blas,1.0,1.4379607843137256,2.2918738823529416,850.849568627451
64,cholesky_blas_pivoted,2.6470588235294117,2.9607843137254903,3.1058630588235285,8.11121568627451
64,chol_classic,1.7124705882352942,1.8235294117647058,1.8750497254901952,6.3005490196078435
64,chol_genz,4.143686274509804,5.163294117647059,5.104379450980393,9.248470588235294
64,chol_rowmax,2.1698823529411766,2.483607843137255,2.5201601568627456,3.8627450980392157
128,cholesky_blas,1.0,1.2106918238993711,1.8368233962264156,88.98953459119498
128,cholesky_blas_pivoted,3.511496855345912,3.9130062893081767,4.284360452830189,77.12996226415095
128,chol_classic,1.5534591194968554,1.6415094339622642,1.66687079245283,3.4255597484276734
128,chol_genz,5.616352201257862,6.08593710691824,6.074454088050315,9.322817610062893
128,chol_rowmax,3.2997735849056604,3.4716981132075473,3.4960270188679248,5.501031446540881
256,cholesky_blas,1.0,1.1531715762533246,1.3793001455311888,21.914889346113313
256,cholesky_blas_pivoted,6.149006373262408,6.550208260149546,6.732610892256737,26.694836151954632
256,chol_classic,1.3084257540021076,1.3669644201334872,1.3774295428313343,2.34553620715612
256,chol_genz,8.004729763637275,8.33850429066091,8.37718503788829,24.729324534551107
256,chol_rowmax,5.600127967079841,5.9357279068600395,5.952091069905152,6.802428865358558
512,cholesky_blas,1.0,1.1518936019686974,1.3480704979798288,5.702175767817816
512,cholesky_blas_pivoted,6.888931718449957,7.090186128393101,7.269551044871537,11.797651477580684
512,chol_classic,1.2059540402247926,1.2417965068314456,1.2449150964017686,1.4951499439428946
512,chol_genz,8.364103239090019,8.484366296164849,8.501233385590623,11.592089954613723
512,chol_rowmax,6.696591210903989,6.837566016937002,6.896945891378487,7.766807142403851
1024,cholesky_blas,1.0,1.136257655143197,1.2686725347012393,10.37694999781949
1024,cholesky_blas_pivoted,6.539482004572838,6.797135590263716,7.003970927199042,25.719814360830586
1024,chol_classic,1.1527979820949081,1.226714697563437,1.219916877838555,1.3743532455315146
1024,chol_genz,7.264874574022042,7.773497512662525,7.759917889828238,8.049857332427901
1024,chol_rowmax,6.011016631051691,6.622865243002124,6.611790904786527,7.410890784547044
2048,cholesky_blas,1.0,1.1348163987452375,1.1366803758208601,1.3417310076088962
2048,cholesky_blas_pivoted,4.603825462123761,4.773757448794625,5.068302726047173,5.948789197755321
2048,chol_classic,1.24798020167374,1.3020845770604264,1.309458618241813,1.3964043460799531
2048,chol_genz,4.128542587024715,4.353848950927504,4.327233459388465,4.570347013426825
2048,chol_rowmax,3.5747755864060173,3.8443975295509554,3.801362937229321,4.017544226030892
4096,cholesky_blas,1.0,1.1262699294428216,1.1197445295347075,1.237326236198807
4096,cholesky_blas_pivoted,2.397139232526264,2.440413930169732,2.4398264718548894,2.525311139337887
4096,chol_classic,0.8005810144063196,0.8270399506939579,0.8260412653938211,0.8886896931134679
4096,chol_genz,1.505438420832224,1.5436764246082382,1.5454980227069062,1.7244710482839474
4096,chol_rowmax,1.2872612492844901,1.3174802506432952,1.3191625554511572,1.5183302256328752
