n,m,val_s,val_r,sd_s,sd_r,t_s,t_r
16.0,1024.0,0.46336502918472805,0.46337459297609473,0.00037253060802871845,0.00027319964343191285,0.001072917,0.0010361665
16.0,2048.0,0.46337638633794553,0.4633779972246832,0.00017297784323241572,0.00017372788794161868,0.0016414160000000001,0.0016256455
16.0,4096.0,0.46337989270637725,0.46337772040408326,0.0001375202188281701,0.00011161752212731809,0.0022094585,0.002236729
16.0,8192.0,0.463373474979558,0.46337444232964525,5.409263387874801e-5,8.224686248237005e-5,0.0031350415,0.003164
16.0,16384.0,0.4633760432226586,0.4633764893023627,4.294175370535003e-5,7.047607259205332e-5,0.0046595000000000004,0.0046735835
16.0,32768.0,0.4633741546416087,0.46337610829086656,3.461835612333402e-5,4.1219782882738305e-5,0.0078182295,0.007741291500000001
64.0,1024.0,0.5956597121038112,0.595627890528227,0.0010374087744516888,0.0007939963140312999,0.0028693334999999997,0.0028958545
64.0,2048.0,0.5956042516483457,0.5956166995750941,0.0005623075061306482,0.0005028583933737107,0.004260896,0.0043086455
64.0,4096.0,0.5956267505051926,0.5956513400038705,0.00042861052033067395,0.00035941368555060716,0.006764042,0.006988145499999999
64.0,8192.0,0.5956420580596637,0.5956195956382332,0.00020485589102412462,0.00029015063287497257,0.013841667,0.0165350415
64.0,16384.0,0.5956228684829733,0.5956407278780632,0.00015062286980205476,0.00025299017835667657,0.0300204375,0.0304455415
64.0,32768.0,0.5956267177986969,0.5956290346290556,0.00011208666764755845,0.00019335581132915952,0.061259146,0.0603034585
256.0,1024.0,0.6980149807928959,0.6980938066500234,0.0014569470541286665,0.0010791213199168052,0.010001875,0.0101088955
256.0,2048.0,0.6980903062752108,0.6980489906858819,0.0008030209929345817,0.0006520261520557046,0.0188911665,0.0193570625
256.0,4096.0,0.6980715727821589,0.6980769201465332,0.0005855790482649067,0.00046602699996603383,0.032806792,0.033034
256.0,8192.0,0.6980819263047241,0.6980944271714706,0.00030063298730783873,0.00037380972952060523,0.058208021,0.057456187500000006
256.0,16384.0,0.6980969642380227,0.6980858212914489,0.00021287280240561726,0.0003362828597646512,0.1247483335,0.12086218700000001
256.0,32768.0,0.6980782185226954,0.6980818750375977,0.00015816560419226142,0.00026022250867251557,0.25857502050000003,0.245730667
1024.0,1024.0,0.7738424411751813,0.7738068016990881,0.0014955422693732129,0.0011569722339686344,0.043717729,0.043694646
1024.0,2048.0,0.7738334470292403,0.7738054788290847,0.0008702271814049971,0.0006868583310571142,0.0796114585,0.07991672899999999
1024.0,4096.0,0.7738053669247129,0.773807171595288,0.0006346778935509365,0.00046703364284780927,0.15894641650000002,0.152152
1024.0,8192.0,0.7737858864887299,0.773800051132263,0.00037482118033270727,0.00035518830667493966,0.275556354,0.26389422900000004
1024.0,16384.0,0.7737848779226834,0.7737871911496134,0.0002480436336120351,0.0002799382651913976,0.497665896,0.490376542
1024.0,32768.0,0.7737955550831375,0.7738092849409982,0.00017603948334328923,0.00021241497831297042,0.9354854585000001,0.9280906455
