n,m,val_s,val_r,sd_s,sd_r,t_s,t_r
16.0,1024.0,0.2751371828354475,0.2751377642156117,3.0552747406663694e-5,5.615563025443785e-5,0.0009452085000000001,0.0009553125
16.0,2048.0,0.2747592845766436,0.27476046695162326,1.2361192481892149e-5,2.498646323654186e-5,0.0012256250000000002,0.001219917
16.0,4096.0,0.2736671593089719,0.2736676064214462,6.654203960168657e-6,1.4114288683513425e-5,0.001767875,0.0017911874999999998
16.0,8192.0,0.27108157625641727,0.2710814977913162,3.961512134204041e-6,5.87660366470022e-6,0.002562708,0.0025481875
16.0,16384.0,0.27134334579216296,0.27134324165856255,2.0393100172421133e-6,2.5374119720455414e-6,0.0040448335,0.0040279165
16.0,32768.0,0.2709923953354272,0.27099255745247086,1.1637269294533686e-6,2.9363680207993535e-6,0.0073374375,0.007160792
64.0,1024.0,0.2659582618238863,0.2659651340084863,0.00017033332419052853,0.00010784165045427418,0.0022884165000000003,0.0022955625
64.0,2048.0,0.2661978095458276,0.266196001517663,5.957280504096711e-5,4.3191022726369716e-5,0.0034390415,0.0035081665
64.0,4096.0,0.2661644217591071,0.2661664615929795,2.8787008586366133e-5,2.5568866493187165e-5,0.006045521,0.0062588955
64.0,8192.0,0.26765380520500437,0.2676519599030939,1.8140798991736724e-5,1.8895705192644003e-5,0.010663562,0.0109350005
64.0,16384.0,0.26672598537894165,0.2667266387882057,1.067131779787607e-5,9.284985337084043e-6,0.0244248335,0.024514020999999997
64.0,32768.0,0.2659395547090667,0.26593940313017456,6.527582923420161e-6,6.553498886895654e-6,0.047086062,0.045317686999999995
256.0,1024.0,0.2584179028961183,0.25841087077055014,0.00017759214749318687,0.00013584074168431076,0.008551,0.008632937
256.0,2048.0,0.2584493174682692,0.258444911489265,0.00012826744711247053,6.980791830948473e-5,0.015621937499999999,0.015953125
256.0,4096.0,0.25837357539267053,0.25836735826113294,5.575347241877628e-5,6.93982608817216e-5,0.0301575,0.030480520499999997
256.0,8192.0,0.2583126800360316,0.258314054466259,3.246840052328426e-5,2.34064882489898e-5,0.0540220625,0.052792354
256.0,16384.0,0.25842937609998456,0.2584308800965987,1.757819285373285e-5,1.8367044217589285e-5,0.1167971665,0.109533146
256.0,32768.0,0.2583734430576726,0.25837351246682866,1.1066579057804665e-5,9.396996620727362e-6,0.21778999999999998,0.206468542
1024.0,1024.0,0.25360699895787386,0.2536061840710962,0.0001452489885407043,0.00010654628642136139,0.038825063,0.0390459795
1024.0,2048.0,0.2535991101094858,0.25359812694526723,9.97240091458855e-5,6.707962725115209e-5,0.07225156299999999,0.0702290415
1024.0,4096.0,0.2536034956522449,0.25360304806296563,7.01581046789245e-5,4.814052979936055e-5,0.1455403965,0.13834649999999998
1024.0,8192.0,0.2536169544879401,0.2536194541270314,3.9904520467136074e-5,3.120067629978835e-5,0.264461375,0.254055875
1024.0,16384.0,0.2536115385099873,0.25361163367970463,2.4171623186023225e-5,1.964244992578884e-5,0.4992353335,0.496474104
1024.0,32768.0,0.2536122064941202,0.2536120795566867,1.3394707283671729e-5,1.2743558075411641e-5,0.9258496254999999,0.921786333
