method,median,min,max,Q1,Q3,n,n_diag,n_pts,matrix
pnorm,0.0072181875,0.006659417,1.034791041,0.006907927249999999,0.0080302395,256,30,24576,sparse
pnorm_sparse,0.009321354,0.008282791,0.601250042,0.008921166749999999,0.00969540575,256,30,24576,sparse
tlr,0.40799999999580905,0.4069999999992433,0.41300000000046566,0.4069999999992433,0.408000000003085,256,30,24576,sparse
pnorm,0.065059771,0.063053167,0.095325709,0.06426156225,0.06555997875000001,256,30,245760,sparse
pnorm_sparse,0.10577260399999999,0.084159167,0.124204083,0.08975947925000001,0.107877417,256,30,245760,sparse
tlr,4.691999999999098,4.678999999996449,4.719000000004598,4.688999999998487,4.696000000003551,256,30,245760,sparse
pnorm,0.0145406455,0.013976916,0.022865208,0.0143131255,0.0150028125,512,30,24576,sparse
pnorm_sparse,0.0180296245,0.0165815,0.03022125,0.017405073,0.023155146,512,30,24576,sparse
tlr,0.8980000000010477,0.8940000000002328,0.9199999999982538,0.8979999999937718,0.8980000000010477,512,30,24576,sparse
pnorm,0.11939127050000001,0.116130709,0.150519208,0.11834431275,0.12079935375,512,30,245760,sparse
pnorm_sparse,0.190950021,0.174520416,0.2656115,0.18720493725,0.19592052075000002,512,30,245760,sparse
tlr,10.494000000002416,10.447999999996682,10.645000000004075,10.484000000004016,10.504000000000815,512,30,245760,sparse
pnorm,0.039112791,0.038800292,0.064588625,0.0389550205,0.039828645499999996,1024,30,24576,sparse
pnorm_sparse,0.043050854,0.036459583,0.12328325,0.03990607275,0.053333635250000004,1024,30,24576,sparse
tlr,2.1299999999973807,2.125,2.1719999999986612,2.128999999993539,2.131999999997788,1024,30,24576,sparse
pnorm,0.25509447900000004,0.250646417,0.273611875,0.25344197925,0.25642516675,1024,30,245760,sparse
pnorm_sparse,0.38667806250000003,0.3442835,0.572560167,0.36508665625,0.41534164575000004,1024,30,245760,sparse
tlr,25.273000000001048,25.19499999999971,25.450999999993655,25.244750000003478,25.292999999997846,1024,30,245760,sparse
