method,median,sd,min,max,Q1,Q3,se_est,n,n_diag,n_pts,matrix
pnorm,0.25208596885204315,5.182793325206033e-5,0.25197121500968933,0.25221487879753113,0.2520466670393944,0.25211773812770844,0.00014232523993996439,256,30,24576,sparse
pnorm_sparse,0.25209180399470743,6.4604106923632e-5,0.25193988574231946,0.2522281670558149,0.25204942434052086,0.2521274100137603,0.00021414062485664197,256,30,24576,sparse
tlr,0.25196849928292575,0.00010079289715063086,0.2517380671243926,0.25224978258933206,0.2519075929965596,0.25204147389499654,9.059178628051437e-5,256,30,24576,sparse
pnorm,0.2520769536495209,1.7430275753748277e-5,0.25204476714134216,0.25211986899375916,0.25206543505191803,0.25209370255470276,4.6050993532844586e-5,256,30,245760,sparse
pnorm_sparse,0.2520791374910122,1.996369652281267e-5,0.25203138459118146,0.25214416821983776,0.25206818726417374,0.2520923861598354,6.655248265586838e-5,256,30,245760,sparse
tlr,0.25198105892402367,2.015378388799151e-5,0.25192415806037893,0.2520230271027789,0.2519691455066483,0.25199642619373186,1.8862416151506714e-5,256,30,245760,sparse
pnorm,0.2514261305332184,5.562691871832596e-5,0.25128039717674255,0.25159791111946106,0.2513887509703636,0.2514611557126045,0.00015409438499773388,512,30,24576,sparse
pnorm_sparse,0.25143425501054795,5.957533797373079e-5,0.25128992649991183,0.2515580496283003,0.2513936421901353,0.25148077507122246,0.0001733266358992014,512,30,24576,sparse
tlr,0.2513540786793468,8.161049513635633e-5,0.25119658113057347,0.25157491951846583,0.2512814695600902,0.2514058429700609,8.118373388593946e-5,512,30,24576,sparse
pnorm,0.2514370530843735,1.9502861312284703e-5,0.25139832496643066,0.2514899671077728,0.2514227330684662,0.25145070999860764,5.769686737039592e-5,512,30,245760,sparse
pnorm_sparse,0.25144046389622615,1.6907208768375538e-5,0.2513948135164295,0.25146956055215436,0.25142728691602545,0.25145162020518885,4.621293400393604e-5,512,30,245760,sparse
tlr,0.2513605415767264,1.9432844976858756e-5,0.25132319552147325,0.25141119990720795,0.2513490430913061,0.2513721005641112,1.7686732215263563e-5,512,30,245760,sparse
pnorm,0.2509395629167557,4.2171479223659575e-5,0.25083911418914795,0.2510489523410797,0.2509072944521904,0.2509692683815956,0.00013168535595468712,1024,30,24576,sparse
pnorm_sparse,0.2509376837989991,6.65917345329697e-5,0.2507923306120557,0.25116972198143733,0.2508996018631962,0.2509817917160156,0.00019243756808743053,1024,30,24576,sparse
tlr,0.25088617783559924,8.492457210877685e-5,0.2507180843471896,0.25113129103775267,0.25082236414772147,0.25094744606858693,8.148616919618235e-5,1024,30,24576,sparse
pnorm,0.2509426027536392,2.8914875781883003e-5,0.25086960196495056,0.2510102093219757,0.2509205564856529,0.25096186250448227,7.957558455018443e-5,1024,30,245760,sparse
pnorm_sparse,0.2509450012152327,2.4094447319292996e-5,0.25088981084539813,0.25101491002752757,0.25092890582885086,0.2509617272667659,7.85425603299914e-5,1024,30,245760,sparse
tlr,0.25089191764562185,3.42802925558197e-5,0.25076554467752077,0.25096955941602983,0.2508687931841777,0.2509188898230312,3.397367742296815e-5,1024,30,245760,sparse
pnorm,0.25060251355171204,3.351794214574447e-5,0.25052809715270996,0.25067344307899475,0.25057340413331985,0.2506282553076744,0.0001065257121808827,2048,30,24576,sparse
pnorm_sparse,0.2505966168543612,5.4683343603622813e-5,0.25045669215007965,0.2507253814379702,0.25056780979980947,0.2506337898879029,0.00015711324272860605,2048,30,24576,sparse
tlr,0.25054599657104915,8.279024998855218e-5,0.25033743663073127,0.25078769735052064,0.25049288708578876,0.2506078458193046,7.359469276882453e-5,2048,30,24576,sparse
